'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COFFS HARBOUR AIRPORT New South Wales for June 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COFFS HARBOUR AIRPORT,01/06/2025,4.1,6.4, ,21.7,14.7,39,24,3.98,11.67
COFFS HARBOUR AIRPORT,02/06/2025,2.6,1.4, ,20.9,12.7,40,26,2.09,10.12
COFFS HARBOUR AIRPORT,03/06/2025,3.7,45.6, ,22.1,14.3,42,23,3.48,11.23
COFFS HARBOUR AIRPORT,04/06/2025,4.2,3.4, ,19.7,10.2,49,27,5.62,11.78
COFFS HARBOUR AIRPORT,05/06/2025,4.8,0.2, ,20.0,12.1,44,27,6.54,11.34
COFFS HARBOUR AIRPORT,06/06/2025,2.9,0.0, ,20.5,8.9,52,26,2.84,12.67
COFFS HARBOUR AIRPORT,07/06/2025,3.8,0.0, ,22.5,10.1,49,23,3.78,12.29
COFFS HARBOUR AIRPORT,08/06/2025,3.5,0.0, ,22.9,10.8,54,22,3.27,12.71
COFFS HARBOUR AIRPORT,09/06/2025,3.5,0.0, ,19.0,7.5,57,30,4.66,12.62
COFFS HARBOUR AIRPORT,10/06/2025,2.6,0.0, ,19.3,5.3,71,27,2.88,12.65
COFFS HARBOUR AIRPORT,11/06/2025,1.7,0.0, ,19.3,1.8,87,28,1.38,12.63
COFFS HARBOUR AIRPORT,12/06/2025,1.9,0.0, ,18.3,2.6,81,30,1.88,12.61
COFFS HARBOUR AIRPORT,13/06/2025,3.0,0.0, ,18.7,4.4,73,29,4.11,12.53
COFFS HARBOUR AIRPORT,14/06/2025,4.1,0.0, ,20.2,11.0,44,27,4.96,12.11
COFFS HARBOUR AIRPORT,15/06/2025,2.3,0.0, ,20.2,6.6,61,27,2.05,12.53
COFFS HARBOUR AIRPORT,16/06/2025,2.4,0.0, ,19.3,5.0,66,28,2.41,12.29
COFFS HARBOUR AIRPORT,17/06/2025,2.2,0.0, ,17.9,6.9,60,30,2.19,9.28
COFFS HARBOUR AIRPORT,18/06/2025,2.2,0.0, ,17.9,5.8,64,31,2.34,11.28
COFFS HARBOUR AIRPORT,19/06/2025,2.0,0.2, ,20.1,5.2,68,26,1.74,12.45
COFFS HARBOUR AIRPORT,20/06/2025,2.4,0.0, ,21.3,9.3,47,25,1.92,11.83
COFFS HARBOUR AIRPORT,21/06/2025,2.4,0.0, ,21.5,8.3,53,25,2.05,11.62
COFFS HARBOUR AIRPORT,22/06/2025,2.5,0.0, ,21.4,9.0,52,24,2.06,10.94
COFFS HARBOUR AIRPORT,23/06/2025,3.6,0.0, ,22.6,11.7,43,23,3.44,11.18
COFFS HARBOUR AIRPORT,24/06/2025,3.8,0.0, ,24.3,12.5,41,20,3.26,12.56
COFFS HARBOUR AIRPORT,25/06/2025,3.9,0.0, ,22.5,12.2,60,23,4.24,12.58
COFFS HARBOUR AIRPORT,26/06/2025, ,0.0, , ,6.2,68,36,4.41,12.60
COFFS HARBOUR AIRPORT,27/06/2025, , , ,19.6, ,77,55,5.30,12.31
COFFS HARBOUR AIRPORT,28/06/2025,1.8,0.0, ,19.8,11.5,100,60,3.04,11.86
COFFS HARBOUR AIRPORT,29/06/2025,1.3,0.0, ,19.5,9.1,100,68,1.51,10.39
COFFS HARBOUR AIRPORT,30/06/2025,0.7,12.8, ,15.0,12.8,100,91,5.43,4.33
Totals:,,79.9,70, ,,,,,, 
