'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COFFS HARBOUR AIRPORT New South Wales for July 2025,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COFFS HARBOUR AIRPORT,01/07/2025,2.4,43.0, ,20.5,12.4,93,44,3.55,10.71
COFFS HARBOUR AIRPORT,02/07/2025,3.7,0.0, ,20.6,11.7,62,39,5.53,11.82
COFFS HARBOUR AIRPORT,03/07/2025,2.9,0.0, ,21.1,15.1,98,42,5.17,12.79
COFFS HARBOUR AIRPORT,04/07/2025,2.1,0.0, ,20.6,4.6,100,32,2.15,12.82
COFFS HARBOUR AIRPORT,05/07/2025,1.9,0.0, ,22.0,5.3,100,52,2.25,11.98
COFFS HARBOUR AIRPORT,06/07/2025,2.7,0.0, ,24.0,12.8,95,50,4.02,12.29
COFFS HARBOUR AIRPORT,07/07/2025,2.2,2.8, ,20.5,9.0,100,38,2.73,12.81
COFFS HARBOUR AIRPORT,08/07/2025,2.3,0.0, ,21.5,4.3,100,36,2.44,12.36
COFFS HARBOUR AIRPORT,09/07/2025,2.9,0.0, ,23.3,7.5,100,30,3.27,12.81
COFFS HARBOUR AIRPORT,10/07/2025,3.5,0.0, ,23.4,10.5,92,19,3.78,12.50
COFFS HARBOUR AIRPORT,11/07/2025,2.5,0.0, ,20.8,3.0,100,28,2.69,13.15
COFFS HARBOUR AIRPORT,12/07/2025,2.3,0.0, ,20.2,3.0,100,38,2.75,13.21
COFFS HARBOUR AIRPORT,13/07/2025,1.8,0.0, ,21.2,4.1,100,37,1.50,13.16
COFFS HARBOUR AIRPORT,14/07/2025,2.4,0.0, ,20.8,3.0,100,34,2.53,13.31
COFFS HARBOUR AIRPORT,15/07/2025,1.4,0.0, ,18.2,4.9,100,53,1.81,5.88
COFFS HARBOUR AIRPORT,16/07/2025,1.8,0.0, ,17.9,5.8,100,52,2.37,13.46
COFFS HARBOUR AIRPORT,17/07/2025,2.1,0.0, ,21.7,5.3,100,55,2.73,13.19
COFFS HARBOUR AIRPORT,18/07/2025,2.0,4.8, ,18.2,12.1,100,60,4.63,10.74
COFFS HARBOUR AIRPORT,19/07/2025,2.7,0.0, ,19.6,12.5,83,60,6.28,11.48
COFFS HARBOUR AIRPORT,20/07/2025,2.2,0.0, ,18.7,13.2,93,59,5.53,7.88
COFFS HARBOUR AIRPORT,21/07/2025,1.7,1.6, ,19.7,12.7,100,71,3.87,11.25
COFFS HARBOUR AIRPORT,22/07/2025,1.7,8.0, ,20.3,10.5,100,66,2.92,9.87
COFFS HARBOUR AIRPORT,23/07/2025,1.4,0.0, ,19.1,13.0,100,74,3.47,6.36
COFFS HARBOUR AIRPORT,24/07/2025,2.4,2.6, ,17.5,9.7,100,38,3.38,14.10
COFFS HARBOUR AIRPORT,25/07/2025,2.2,0.0, ,19.6,2.5,100,42,2.36,13.90
COFFS HARBOUR AIRPORT,26/07/2025,1.8,0.0, ,17.2,11.8,95,63,4.97,5.50
COFFS HARBOUR AIRPORT,27/07/2025,2.9,3.2, ,22.0,8.2,100,34,3.43,14.35
COFFS HARBOUR AIRPORT,28/07/2025,2.7,0.0, ,20.3,4.9,99,33,3.06,14.46
COFFS HARBOUR AIRPORT,29/07/2025, ,0.0, , ,2.5,100,31,2.36,13.48
COFFS HARBOUR AIRPORT,30/07/2025,2.0, , ,19.8,7.8,98,51,2.24,12.37
COFFS HARBOUR AIRPORT,31/07/2025,2.3,0.0, ,19.0,5.5,100,58,4.60,12.84
Totals:,,68.9,66, ,,,,,, 
