'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COOMA AIRPORT New South Wales for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COOMA AIRPORT,01/04/2025,2.9,3.2, ,16.9,7.3,100,47,6.01,14.23
COOMA AIRPORT,02/04/2025,2.8,0.2, ,20.0,1.0,100,38,2.10,17.84
COOMA AIRPORT,03/04/2025,3.1,0.0, ,21.1,2.2,100,30,2.78,13.88
COOMA AIRPORT,04/04/2025,3.1,0.0, ,20.6,2.2,100,30,2.53,17.43
COOMA AIRPORT,05/04/2025,2.8,0.0, ,15.9,3.3,91,44,3.87,17.28
COOMA AIRPORT,06/04/2025,3.4,0.0, ,17.5,-0.1,91,25,4.76,10.64
COOMA AIRPORT,07/04/2025,3.1,0.0, ,18.8,2.0,99,34,3.34,16.89
COOMA AIRPORT,08/04/2025,2.7,0.0, ,18.9,2.7,100,31,2.14,16.65
COOMA AIRPORT,09/04/2025,3.7,0.0, ,21.9,4.6,100,31,4.29,16.58
COOMA AIRPORT,10/04/2025,3.2,0.0, ,22.4,6.1,99,32,3.23,13.41
COOMA AIRPORT,11/04/2025,3.2,0.0, ,23.7,2.1,95,31,2.47,15.02
COOMA AIRPORT,12/04/2025,3.5,0.0, ,23.8,3.6,100,30,3.04,15.96
COOMA AIRPORT,13/04/2025,2.9,0.0, ,23.6,4.6,100,32,2.13,14.42
COOMA AIRPORT,14/04/2025,2.2,0.2, ,20.1,3.8,99,52,2.73,11.00
COOMA AIRPORT,15/04/2025,2.2,0.0, ,17.9,10.0,99,49,2.84,12.17
COOMA AIRPORT,16/04/2025,2.8,0.2, ,20.6,-0.9,100,17,2.01,15.25
COOMA AIRPORT,17/04/2025,2.4,0.0, ,20.8,-2.3,100,17,1.36,15.26
COOMA AIRPORT,18/04/2025,2.6,0.0, ,23.1,0.3,97,33,1.70,15.03
COOMA AIRPORT,19/04/2025,3.3,0.0, ,24.1,3.6,96,27,2.91,12.49
COOMA AIRPORT,20/04/2025,4.0,0.0, ,23.8,8.1,75,27,4.20,12.13
COOMA AIRPORT,21/04/2025,1.5,3.2, ,15.6,5.8,100,72,4.98,7.98
COOMA AIRPORT,22/04/2025,0.6,9.4, ,13.9,10.1,100,99,6.13,4.37
COOMA AIRPORT,23/04/2025,1.2,11.8, ,16.3,10.4,100,79,3.46,6.38
COOMA AIRPORT,24/04/2025,2.6,1.4, ,20.2,9.1,100,50,4.30,14.00
COOMA AIRPORT,25/04/2025,2.8,0.4, ,21.2,5.6,100,39,3.54,13.83
COOMA AIRPORT,26/04/2025,2.3,0.0, ,20.3,6.7,100,43,2.78,11.30
COOMA AIRPORT,27/04/2025,1.1,0.0, ,15.2,5.5,100,79,3.34,5.76
COOMA AIRPORT,28/04/2025,1.9,1.2, ,18.1,8.1,100,61,2.92,12.05
COOMA AIRPORT,29/04/2025,0.9,2.2, ,12.1,9.5,100,82,3.91,4.69
COOMA AIRPORT,30/04/2025,1.3,2.0, ,11.4,6.3,100,69,4.86,8.21
Totals:,,76.1,35.4, ,,,,,, 
