'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COONABARABRAN AIRPORT New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COONABARABRAN AIRPORT,01/09/2024,4.5,0.0, ,23.7,12.0,63,35,4.14,18.66
COONABARABRAN AIRPORT,02/09/2024,5.8,0.0, ,21.0,13.4,59,18,6.88,18.82
COONABARABRAN AIRPORT,03/09/2024,3.6,0.0, ,16.5,3.0,77,32,4.66,18.98
COONABARABRAN AIRPORT,04/09/2024,4.0,0.0, ,19.8,6.0,65,30,3.79,19.09
COONABARABRAN AIRPORT,05/09/2024,4.1,0.0, ,21.0,9.3,85,39,5.20,19.21
COONABARABRAN AIRPORT,06/09/2024,4.3,0.0, ,22.3,9.9,75,42,4.96,19.35
COONABARABRAN AIRPORT,07/09/2024,5.4,0.0, ,25.9,13.4,71,33,5.43,19.49
COONABARABRAN AIRPORT,08/09/2024,3.1,0.0, ,21.3,13.1,78,44,3.01,11.93
COONABARABRAN AIRPORT,09/09/2024,3.2,0.0, ,17.7,9.0,69,32,3.20,12.73
COONABARABRAN AIRPORT,10/09/2024,3.9,0.0, ,22.1,7.7,84,18,2.52,19.98
COONABARABRAN AIRPORT,11/09/2024,3.7,0.0, ,23.6,10.2,91,52,4.24,17.50
COONABARABRAN AIRPORT,12/09/2024,2.6,13.0, ,18.6,10.6,100,63,4.32,15.49
COONABARABRAN AIRPORT,13/09/2024,3.3,1.0, ,17.0,6.0,97,42,4.28,20.57
COONABARABRAN AIRPORT,14/09/2024,3.7,0.0, ,20.0,7.7,85,34,3.20,19.99
COONABARABRAN AIRPORT,15/09/2024,3.8,0.0, ,14.2,3.3,90,25,6.21,20.96
COONABARABRAN AIRPORT,16/09/2024,4.2,0.0, ,16.8,1.9,82,19,4.76,21.12
COONABARABRAN AIRPORT,17/09/2024,4.0,0.0, ,19.1,4.9,67,28,3.17,21.28
COONABARABRAN AIRPORT,18/09/2024,4.2,0.0, ,20.7,7.2,65,27,3.00,21.43
COONABARABRAN AIRPORT,19/09/2024,6.1,0.0, ,22.6,10.5,51,10,5.03,21.58
COONABARABRAN AIRPORT,20/09/2024,4.6,0.0, ,20.3,8.5,56,22,3.42,21.78
COONABARABRAN AIRPORT,21/09/2024,4.5,0.0, ,19.1,8.4,57,30,4.01,21.91
COONABARABRAN AIRPORT,22/09/2024,4.4,0.0, ,20.5,9.1,56,27,3.11,22.10
COONABARABRAN AIRPORT,23/09/2024,4.9,0.0, ,24.3,11.9,48,22,2.66,22.30
COONABARABRAN AIRPORT,24/09/2024,5.5,0.0, ,24.2,12.1,42,20,3.76,19.96
COONABARABRAN AIRPORT,25/09/2024,5.3,0.0, ,24.1,15.0,68,34,5.40,17.40
COONABARABRAN AIRPORT,26/09/2024,1.3,3.6, ,15.9,12.6,100,82,3.91,6.40
COONABARABRAN AIRPORT,27/09/2024,2.7,6.8, ,15.2,7.7,100,53,6.76,14.24
COONABARABRAN AIRPORT,28/09/2024,3.8,0.2, ,18.7,5.7,94,44,5.09,21.48
COONABARABRAN AIRPORT,29/09/2024,3.8,0.0, ,22.8,8.3,100,48,3.62,19.96
COONABARABRAN AIRPORT,30/09/2024,4.9,0.0, ,21.3,12.1,93,30,5.31,22.39
Totals:,,123.2,24.6, ,,,,,, 
