'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COONABARABRAN AIRPORT New South Wales for July 2025,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COONABARABRAN AIRPORT,01/07/2025,1.6,0.0, ,11.9,4.3,94,64,6.41,11.04
COONABARABRAN AIRPORT,02/07/2025,1.5,0.8, ,11.9,5.2,99,68,9.08,11.86
COONABARABRAN AIRPORT,03/07/2025,1.5,0.0, ,12.0,5.3,95,66,5.59,11.97
COONABARABRAN AIRPORT,04/07/2025, ,0.0, , ,4.4,96,46,3.13,12.28
COONABARABRAN AIRPORT,05/07/2025,2.3, , ,17.6,5.6,92,41,4.10,11.62
COONABARABRAN AIRPORT,06/07/2025,2.4,0.0, ,17.2,8.9,89,52,5.86,10.49
COONABARABRAN AIRPORT,07/07/2025,1.9,0.0, ,13.7,6.6,79,52,3.61,11.71
COONABARABRAN AIRPORT,08/07/2025,1.7,0.0, ,12.3,5.1,87,58,4.59,10.40
COONABARABRAN AIRPORT,09/07/2025,2.8,0.0, ,17.3,5.9,82,33,4.50,12.45
COONABARABRAN AIRPORT,10/07/2025,3.2,0.0, ,12.4,6.9,61,42,8.25,12.03
COONABARABRAN AIRPORT,11/07/2025,2.1,0.0, ,13.3,4.1,81,53,5.17,12.36
COONABARABRAN AIRPORT,12/07/2025, ,0.0, , ,7.4,84,49,4.54,11.79
COONABARABRAN AIRPORT,13/07/2025, , , ,16.5, ,87,27,3.33,12.66
COONABARABRAN AIRPORT,14/07/2025,2.6, , ,15.2,6.3,73,32,4.04,12.71
COONABARABRAN AIRPORT,15/07/2025,1.5,0.2, ,11.5,6.4,99,56,4.84,6.10
COONABARABRAN AIRPORT,16/07/2025, ,8.2, , ,1.3,100,48,3.33,12.93
COONABARABRAN AIRPORT,17/07/2025, , , ,16.5, ,98,33,2.76,11.12
COONABARABRAN AIRPORT,18/07/2025,2.1,0.2, ,15.7,5.3,84,45,3.26,12.57
COONABARABRAN AIRPORT,19/07/2025, ,0.2, , ,3.8,92,35,3.10,13.10
COONABARABRAN AIRPORT,20/07/2025, , , , , ,88,26,3.24,13.18
COONABARABRAN AIRPORT,21/07/2025,2.3, , ,17.4,5.0,79,51,3.63,12.93
COONABARABRAN AIRPORT,22/07/2025,2.1,0.0, ,16.4,7.7,96,59,5.85,10.51
COONABARABRAN AIRPORT,23/07/2025,1.9,6.6, ,13.2,9.1,100,49,4.77,11.44
COONABARABRAN AIRPORT,24/07/2025,2.0,0.0, ,11.6,3.5,84,42,3.86,13.45
COONABARABRAN AIRPORT,25/07/2025,2.3,0.0, ,13.1,0.3,92,37,4.84,9.92
COONABARABRAN AIRPORT,26/07/2025,1.8,28.8, ,12.2,6.6,100,57,7.11,7.94
COONABARABRAN AIRPORT,27/07/2025,1.1,4.6, ,10.3,7.0,100,76,6.13,6.32
COONABARABRAN AIRPORT,28/07/2025,1.7,2.0, ,11.5,6.8,92,60,4.79,11.03
COONABARABRAN AIRPORT,29/07/2025,1.7,0.0, ,12.6,4.2,87,54,2.76,11.48
COONABARABRAN AIRPORT,30/07/2025,0.7,3.6, ,8.7,5.9,100,89,4.28,4.85
COONABARABRAN AIRPORT,31/07/2025,1.4,9.4, ,12.3,5.3,100,69,4.69,9.80
Totals:,,46.2,64.6, ,,,,,, 
