'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COONABARABRAN AIRPORT New South Wales for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COONABARABRAN AIRPORT,01/08/2025,1.6,0.0, ,13.4,3.8,97,61,3.65,10.48
COONABARABRAN AIRPORT,02/08/2025,0.8,11.4, ,11.1,6.1,100,88,7.15,5.70
COONABARABRAN AIRPORT,03/08/2025,2.1,6.4, ,16.4,7.1,97,66,7.94,12.02
COONABARABRAN AIRPORT,04/08/2025,2.2,0.0, ,17.2,7.7,100,51,3.65,14.77
COONABARABRAN AIRPORT,05/08/2025, ,0.2, , ,7.7,98,47,3.04,14.04
COONABARABRAN AIRPORT,06/08/2025,2.6, , ,14.4,7.3,80,38,4.04,14.67
COONABARABRAN AIRPORT,07/08/2025,2.3,0.0, ,16.4,3.4,98,50,4.12,14.42
COONABARABRAN AIRPORT,08/08/2025,1.3,0.0, ,12.4,7.4,96,73,4.07,7.30
COONABARABRAN AIRPORT,09/08/2025,2.3,1.0, ,16.1,5.6,100,50,4.47,14.51
COONABARABRAN AIRPORT,10/08/2025,2.3,0.2, ,15.7,5.5,95,49,3.78,14.41
COONABARABRAN AIRPORT,11/08/2025,2.4,0.0, ,16.7,4.6,98,34,2.65,15.32
COONABARABRAN AIRPORT,12/08/2025,2.4,0.2, ,17.1,5.7,89,37,2.41,14.99
COONABARABRAN AIRPORT,13/08/2025,1.9,0.0, ,15.2,7.6,87,48,2.22,10.69
COONABARABRAN AIRPORT,14/08/2025,2.2,0.0, ,15.5,5.7,97,46,3.44,12.76
COONABARABRAN AIRPORT,15/08/2025,2.3,0.0, ,16.6,4.8,97,47,2.88,14.94
COONABARABRAN AIRPORT,16/08/2025,2.8,0.0, ,15.8,7.3,81,42,4.84,13.03
COONABARABRAN AIRPORT,17/08/2025,2.5,0.0, ,11.8,1.8,83,39,4.21,16.40
COONABARABRAN AIRPORT,18/08/2025,2.4,0.0, ,13.3,3.4,87,36,3.19,15.80
COONABARABRAN AIRPORT,19/08/2025,2.3,0.0, ,14.4,2.7,95,47,4.31,13.40
COONABARABRAN AIRPORT,20/08/2025,1.1,0.0, ,11.6,6.0,100,79,4.95,6.65
COONABARABRAN AIRPORT,21/08/2025,2.2,19.2, ,14.4,7.4,100,50,2.66,15.83
COONABARABRAN AIRPORT,22/08/2025,2.3,0.0, ,16.0,5.1,100,51,3.29,15.10
COONABARABRAN AIRPORT,23/08/2025,3.1,0.0, ,17.6,6.6,85,44,4.76,16.76
COONABARABRAN AIRPORT,24/08/2025,3.3,0.0, ,16.7,7.7,84,31,4.33,17.41
COONABARABRAN AIRPORT,25/08/2025,3.1,0.0, ,19.9,6.1,82,39,2.92,17.54
COONABARABRAN AIRPORT,26/08/2025,3.7,0.0, ,20.7,9.3,89,44,5.65,17.68
COONABARABRAN AIRPORT,27/08/2025,3.6,0.0, ,18.7,12.6,83,43,6.90,11.77
COONABARABRAN AIRPORT,28/08/2025,3.3,0.0, ,15.2,6.8,78,34,4.92,17.22
COONABARABRAN AIRPORT,29/08/2025,3.7,0.0, ,15.8,5.6,71,34,6.08,17.19
COONABARABRAN AIRPORT,30/08/2025,2.5,1.2, ,11.1,3.7,92,48,8.22,14.85
COONABARABRAN AIRPORT,31/08/2025,2.9,0.0, ,15.9,1.3,87,30,2.97,18.43
Totals:,,73.5,39.8, ,,,,,, 
