'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COONAMBLE AIRPORT New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COONAMBLE AIRPORT,01/09/2024,4.1,0.0, ,28.2,8.2,87,31,2.48,18.62
COONAMBLE AIRPORT,02/09/2024,5.1,0.0, ,25.4,5.3,98,21,4.78,18.73
COONAMBLE AIRPORT,03/09/2024,4.4,0.0, ,19.8,5.7,75,28,5.43,18.88
COONAMBLE AIRPORT,04/09/2024,4.1,0.0, ,23.1,1.9,93,36,4.34,18.95
COONAMBLE AIRPORT,05/09/2024,5.0,0.0, ,25.8,6.9,83,36,5.23,19.03
COONAMBLE AIRPORT,06/09/2024,5.2,0.0, ,27.0,8.5,87,35,5.24,19.13
COONAMBLE AIRPORT,07/09/2024,5.8,0.0, ,31.4,10.3,88,26,4.24,19.05
COONAMBLE AIRPORT,08/09/2024,3.8,0.0, ,23.0,15.0,80,40,3.68,14.60
COONAMBLE AIRPORT,09/09/2024,3.0,0.0, ,22.2,8.7,89,26,1.82,14.37
COONAMBLE AIRPORT,10/09/2024,4.3,0.0, ,24.9,5.4,89,25,2.93,19.44
COONAMBLE AIRPORT,11/09/2024,4.3,0.0, ,28.2,6.2,88,41,3.44,16.87
COONAMBLE AIRPORT,12/09/2024,3.9,2.8, ,22.3,13.3,96,45,4.79,18.52
COONAMBLE AIRPORT,13/09/2024,4.5,0.0, ,21.7,9.1,89,32,5.28,20.00
COONAMBLE AIRPORT,14/09/2024,4.4,0.0, ,23.9,4.3,93,25,3.36,20.12
COONAMBLE AIRPORT,15/09/2024,5.0,0.0, ,19.1,5.1,80,22,6.79,20.26
COONAMBLE AIRPORT,16/09/2024,4.8,0.0, ,21.4,0.9,85,15,4.25,20.37
COONAMBLE AIRPORT,17/09/2024,4.6,0.0, ,22.7,3.2,79,23,3.60,20.50
COONAMBLE AIRPORT,18/09/2024,4.2,0.0, ,24.9,2.1,90,19,2.32,20.51
COONAMBLE AIRPORT,19/09/2024,6.1,0.0, ,27.7,4.5,83,9,3.98,20.60
COONAMBLE AIRPORT,20/09/2024,4.9,0.0, ,23.8,5.7,63,20,3.39,20.73
COONAMBLE AIRPORT,21/09/2024,4.4,0.0, ,24.2,3.4,81,24,2.85,20.84
COONAMBLE AIRPORT,22/09/2024,4.0,0.0, ,25.7,3.4,88,20,1.81,20.93
COONAMBLE AIRPORT,23/09/2024,4.8,0.0, ,28.2,6.0,79,15,2.24,21.08
COONAMBLE AIRPORT,24/09/2024,6.8,0.0, ,29.9,9.5,65,14,4.62,18.52
COONAMBLE AIRPORT,25/09/2024,5.7,0.0, ,29.6,16.1,72,27,4.92,12.44
COONAMBLE AIRPORT,26/09/2024,2.6,0.8, ,20.0,15.1,91,58,4.71,8.24
COONAMBLE AIRPORT,27/09/2024,4.5,0.6, ,22.0,8.9,92,35,6.08,16.87
COONAMBLE AIRPORT,28/09/2024,5.6,0.0, ,25.3,8.5,80,29,5.03,21.81
COONAMBLE AIRPORT,29/09/2024,5.2,0.0, ,27.8,9.5,88,35,4.38,19.32
COONAMBLE AIRPORT,30/09/2024,6.3,0.0, ,25.3,12.9,80,24,6.22,21.98
Totals:,,141.4,4.2, ,,,,,, 
