'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COONAMBLE AIRPORT New South Wales for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COONAMBLE AIRPORT,01/12/2024,7.1,24.6, ,32.1,17.2,95,38,5.51,25.93
COONAMBLE AIRPORT,02/12/2024,8.4,4.0, ,34.9,18.6,89,28,4.36,31.37
COONAMBLE AIRPORT,03/12/2024,3.0,0.6, ,25.4,21.9,96,60,3.75,9.42
COONAMBLE AIRPORT,04/12/2024,6.2,8.4, ,34.0,21.7,96,45,3.82,22.98
COONAMBLE AIRPORT,05/12/2024,6.8,4.6, ,33.7,21.7,94,49,4.48,26.57
COONAMBLE AIRPORT,06/12/2024,7.5,2.4, ,34.0,22.7,88,49,4.36,30.21
COONAMBLE AIRPORT,07/12/2024,4.9,0.0, ,30.9,24.6,93,52,4.09,17.13
COONAMBLE AIRPORT,08/12/2024,8.0,2.0, ,33.2,22.0,96,25,4.12,31.03
COONAMBLE AIRPORT,09/12/2024,4.6,0.2, ,29.1,19.4,87,43,3.32,15.06
COONAMBLE AIRPORT,10/12/2024,7.6,0.0, ,32.2,17.1,92,26,3.45,31.72
COONAMBLE AIRPORT,11/12/2024,7.9,0.0, ,31.7,17.7,85,26,4.19,31.78
COONAMBLE AIRPORT,12/12/2024,7.5,0.0, ,32.2,14.9,79,20,2.85,31.81
COONAMBLE AIRPORT,13/12/2024,8.2,0.0, ,35.3,15.7,73,21,3.11,31.82
COONAMBLE AIRPORT,14/12/2024,7.7,0.0, ,36.2,17.6,81,24,2.46,31.62
COONAMBLE AIRPORT,15/12/2024,8.8,0.0, ,37.3,21.6,76,23,3.38,31.80
COONAMBLE AIRPORT,16/12/2024,9.2,0.0, ,37.6,21.8,66,23,3.80,31.88
COONAMBLE AIRPORT,17/12/2024,9.2,0.0, ,36.6,22.6,64,29,4.11,31.92
COONAMBLE AIRPORT,18/12/2024,9.3,0.2, ,32.7,19.7,77,33,7.26,31.93
COONAMBLE AIRPORT,19/12/2024,8.4,0.2, ,31.3,15.1,67,23,4.57,32.00
COONAMBLE AIRPORT,20/12/2024,8.0,0.0, ,33.0,16.2,62,24,3.37,31.89
COONAMBLE AIRPORT,21/12/2024,8.5,0.0, ,36.9,17.6,64,16,2.91,32.01
COONAMBLE AIRPORT,22/12/2024,9.5,0.0, ,39.2,18.4,58,12,3.40,32.01
COONAMBLE AIRPORT,23/12/2024,9.8,0.0, ,28.8,16.5,54,12,7.00,32.01
COONAMBLE AIRPORT,24/12/2024,9.0,0.0, ,30.6,10.4,56,18,5.45,32.00
COONAMBLE AIRPORT,25/12/2024,8.6,0.0, ,34.4,14.9,59,18,3.59,32.00
COONAMBLE AIRPORT,26/12/2024,10.8,0.0, ,37.5,19.4,58,22,5.88,31.99
COONAMBLE AIRPORT,27/12/2024,9.5,10.4, ,36.8,21.2,77,25,6.32,24.95
COONAMBLE AIRPORT,28/12/2024,9.2,0.2, ,31.6,17.2,50,18,5.00,31.96
COONAMBLE AIRPORT,29/12/2024,9.0,0.0, ,33.6,13.7,62,16,4.32,31.94
COONAMBLE AIRPORT,30/12/2024,8.9,0.0, ,36.6,17.2,63,19,3.70,30.42
COONAMBLE AIRPORT,31/12/2024,8.6,0.0, ,35.5,21.8,85,26,4.71,28.32
Totals:,,249.7,57.8, ,,,,,, 
