'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COONAMBLE AIRPORT New South Wales for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COONAMBLE AIRPORT,01/01/2025,7.3,10.2, ,34.8,18.7,88,30,3.19,28.09
COONAMBLE AIRPORT,02/01/2025,9.0,5.6, ,36.5,19.1,91,15,4.06,30.74
COONAMBLE AIRPORT,03/01/2025,8.0,0.0, ,34.4,18.3,84,25,3.59,30.37
COONAMBLE AIRPORT,04/01/2025,8.1,0.0, ,35.3,18.8,77,24,3.49,29.63
COONAMBLE AIRPORT,05/01/2025,9.8,0.0, ,37.3,20.9,64,21,4.90,29.94
COONAMBLE AIRPORT,06/01/2025,10.2,0.0, ,39.2,22.1,61,19,4.83,28.56
COONAMBLE AIRPORT,07/01/2025,5.6,1.6, ,31.0,21.5,94,48,6.53,16.11
COONAMBLE AIRPORT,08/01/2025,6.9,12.0, ,30.6,15.0,96,35,4.03,30.01
COONAMBLE AIRPORT,09/01/2025,7.7,0.2, ,33.2,15.0,91,26,3.83,29.79
COONAMBLE AIRPORT,10/01/2025,7.9,0.0, ,34.5,18.7,93,29,4.59,27.69
COONAMBLE AIRPORT,11/01/2025,7.0,55.6, ,31.8,17.7,94,36,3.88,28.77
COONAMBLE AIRPORT,12/01/2025,7.2,0.0, ,33.1,18.5,93,32,3.27,29.55
COONAMBLE AIRPORT,13/01/2025,9.3,0.0, ,35.5,19.5,93,28,6.16,30.65
COONAMBLE AIRPORT,14/01/2025,8.1,11.8, ,36.7,18.9,91,32,3.41,30.96
COONAMBLE AIRPORT,15/01/2025,8.5,0.0, ,36.8,23.3,85,33,6.08,23.20
COONAMBLE AIRPORT,16/01/2025,8.8,1.6, ,28.3,18.8,78,20,7.45,30.67
COONAMBLE AIRPORT,17/01/2025, ,0.0, ,29.6,14.6, , , ,27.12
COONAMBLE AIRPORT,18/01/2025,9.0,0.0, ,31.6,17.5,66,36,8.65,27.34
COONAMBLE AIRPORT,19/01/2025,8.2,0.0, ,32.3,17.2,85,24,4.95,30.18
COONAMBLE AIRPORT,20/01/2025,7.9,0.0, ,33.5,14.7,73,23,3.89,28.80
COONAMBLE AIRPORT,21/01/2025,8.6,0.0, ,37.3,17.1,58,17,3.74,25.93
COONAMBLE AIRPORT,22/01/2025, ,0.0, , ,20.1,55,13,4.86,23.92
COONAMBLE AIRPORT,23/01/2025, , , ,38.5, ,73,21,4.48,26.18
COONAMBLE AIRPORT,24/01/2025,9.6,0.0, ,32.0,20.4,48,21,6.09,29.33
COONAMBLE AIRPORT,25/01/2025,8.4,0.0, ,37.0,17.3,76,19,3.52,29.10
COONAMBLE AIRPORT,26/01/2025,8.6,0.0, ,39.2,22.2,68,22,3.58,27.11
COONAMBLE AIRPORT,27/01/2025,10.0,0.0, ,39.4,22.9,69,29,5.56,28.35
COONAMBLE AIRPORT,28/01/2025,9.6,0.0, ,41.4,27.1,55,19,4.25,24.58
COONAMBLE AIRPORT,29/01/2025,11.6,0.0, ,43.8,25.7,60,19,5.92,25.11
COONAMBLE AIRPORT,30/01/2025,9.3,0.0, ,39.7,23.0,73,18,4.12,27.49
COONAMBLE AIRPORT,31/01/2025,8.9,0.0, ,38.3,22.2,79,26,4.68,26.62
Totals:,,239.1,98.6, ,,,,,, 
