'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COONAMBLE AIRPORT New South Wales for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COONAMBLE AIRPORT,01/02/2025,9.5,0.0, ,37.8,23.2,71,26,5.73,25.48
COONAMBLE AIRPORT,02/02/2025,9.0,0.0, ,36.3,21.6,67,20,4.66,27.02
COONAMBLE AIRPORT,03/02/2025,7.9,0.0, ,36.0,20.3,65,23,3.79,24.21
COONAMBLE AIRPORT,04/02/2025,7.8,0.0, ,34.0,25.5,57,34,4.99,20.82
COONAMBLE AIRPORT,05/02/2025,7.4,0.0, ,36.9,19.6,75,27,3.24,25.15
COONAMBLE AIRPORT,06/02/2025,7.0,0.0, ,35.5,20.7,76,31,3.60,22.39
COONAMBLE AIRPORT,07/02/2025,7.9,0.0, ,36.6,21.4,74,27,3.83,25.48
COONAMBLE AIRPORT,08/02/2025,9.2,0.0, ,37.4,21.2,67,24,5.50,24.27
COONAMBLE AIRPORT,09/02/2025,8.7,0.4, ,37.3,22.8,86,27,5.90,22.98
COONAMBLE AIRPORT,10/02/2025,3.3,5.8, ,27.7,20.1,93,60,5.17,8.08
COONAMBLE AIRPORT,11/02/2025,6.4,6.6, ,34.2,18.4,92,39,3.57,23.67
COONAMBLE AIRPORT,12/02/2025,7.2,0.2, ,35.3,20.0,83,34,4.34,22.79
COONAMBLE AIRPORT,13/02/2025,7.3,0.0, ,34.7,21.2,79,43,5.94,22.05
COONAMBLE AIRPORT,14/02/2025,6.6,0.0, ,35.9,22.7,98,38,5.76,17.07
COONAMBLE AIRPORT,15/02/2025,7.3,28.2, ,29.5,17.9,90,27,6.20,25.71
COONAMBLE AIRPORT,16/02/2025,7.4,0.0, ,24.7,13.9,65,19,6.87,26.16
COONAMBLE AIRPORT,17/02/2025,6.8,0.0, ,29.3,11.2,70,22,4.00,25.97
COONAMBLE AIRPORT,18/02/2025,6.4,0.0, ,31.5,13.2,83,21,2.96,25.34
COONAMBLE AIRPORT,19/02/2025,7.5,0.0, ,33.5,15.4,63,14,3.50,25.66
COONAMBLE AIRPORT,20/02/2025,7.9,0.0, ,34.5,16.8,65,22,4.33,24.68
COONAMBLE AIRPORT,21/02/2025,7.5,0.0, ,33.8,19.9,70,30,4.74,23.40
COONAMBLE AIRPORT,22/02/2025,6.9,0.0, ,33.9,18.6,78,27,3.47,24.84
COONAMBLE AIRPORT,23/02/2025,7.5,0.0, ,35.4,19.9,65,24,3.60,24.66
COONAMBLE AIRPORT,24/02/2025,7.8,0.0, ,37.6,19.8,61,23,3.54,24.52
COONAMBLE AIRPORT,25/02/2025, ,0.0, ,38.2,21.3,68,23,3.90, 
COONAMBLE AIRPORT,26/02/2025,7.8,0.0, ,37.0,22.3,77,26,4.12,24.38
COONAMBLE AIRPORT,27/02/2025,8.1,0.0, ,39.4,23.1,60,21,3.53,24.19
COONAMBLE AIRPORT,28/02/2025,8.9,0.0, ,39.1,22.1,54,18,4.21,24.01
Totals:,,203,41.2, ,,,,,, 
