'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COONAMBLE AIRPORT New South Wales for June 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COONAMBLE AIRPORT,01/06/2025,2.5,0.0, ,23.4,6.7,94,40,2.79,12.63
COONAMBLE AIRPORT,02/06/2025,1.9,0.0, ,20.8,9.2,98,56,3.27,8.69
COONAMBLE AIRPORT,03/06/2025,1.9,4.6, ,19.5,12.1,98,56,3.34,11.52
COONAMBLE AIRPORT,04/06/2025,1.9,0.0, ,14.9,6.1,95,58,5.26,12.12
COONAMBLE AIRPORT,05/06/2025,2.1,0.0, ,18.4,1.3,94,29,2.27,12.51
COONAMBLE AIRPORT,06/06/2025,2.3,0.0, ,18.8,4.1,92,42,3.47,11.25
COONAMBLE AIRPORT,07/06/2025,2.7,0.0, ,18.9,10.0,79,41,4.06,11.72
COONAMBLE AIRPORT,08/06/2025,2.3,0.0, ,16.3,5.6,89,43,4.37,11.17
COONAMBLE AIRPORT,09/06/2025,1.4,0.0, ,11.3,0.8,95,61,4.97,8.30
COONAMBLE AIRPORT,10/06/2025,1.9,0.0, ,14.7,2.9,90,45,3.71,10.15
COONAMBLE AIRPORT,11/06/2025,1.3,0.2, ,14.6,3.9,95,58,1.89,9.88
COONAMBLE AIRPORT,12/06/2025,1.6,0.0, ,16.6,0.2,98,39,2.05,9.18
COONAMBLE AIRPORT,13/06/2025,1.6,0.0, ,16.0,3.7,96,41,2.19,10.51
COONAMBLE AIRPORT,14/06/2025,1.6,0.0, ,17.5,-0.5,96,36,1.64,12.20
COONAMBLE AIRPORT,15/06/2025,2.2,0.0, ,19.0,0.3,92,36,2.79,12.08
COONAMBLE AIRPORT,16/06/2025,2.1,0.0, ,19.1,2.0,91,37,2.49,11.53
COONAMBLE AIRPORT,17/06/2025,1.7,0.0, ,17.6,1.8,95,35,1.82,11.39
COONAMBLE AIRPORT,18/06/2025,2.1,0.0, ,15.9,-0.4,97,41,3.84,12.14
COONAMBLE AIRPORT,19/06/2025,1.7,0.0, ,18.4,-1.2,97,35,1.66,12.10
COONAMBLE AIRPORT,20/06/2025,1.9,0.0, ,19.5,-0.1,93,35,2.11,10.99
COONAMBLE AIRPORT,21/06/2025,2.1,0.0, ,21.2,-0.5,95,39,2.19,12.11
COONAMBLE AIRPORT,22/06/2025,2.5,0.0, ,21.9,2.6,92,46,3.57,11.87
COONAMBLE AIRPORT,23/06/2025,2.8,0.0, ,23.0,8.8,92,50,4.89,12.04
COONAMBLE AIRPORT,24/06/2025,2.8,7.6, ,20.7,13.0,96,48,6.32,10.23
COONAMBLE AIRPORT,25/06/2025,2.4,0.0, ,16.1,4.0,88,49,5.72,11.31
COONAMBLE AIRPORT,26/06/2025,1.7,0.4, ,12.6,1.1,96,50,4.32,12.19
COONAMBLE AIRPORT,27/06/2025,2.3,0.0, ,18.0,0.5,92,33,3.15,12.18
COONAMBLE AIRPORT,28/06/2025,1.8,0.0, ,20.0,0.5,98,45,2.08,11.23
COONAMBLE AIRPORT,29/06/2025,1.8, , ,19.3,6.9,92,46,2.22,8.91
COONAMBLE AIRPORT,30/06/2025,2.8,0.0, ,20.5,3.8,95,34,3.89,11.82
Totals:,,61.7,12.8, ,,,,,, 
