'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COONAMBLE AIRPORT New South Wales for July 2025,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COONAMBLE AIRPORT,01/07/2025,2.2,0.0, ,16.2,0.7,96,50,5.53,12.26
COONAMBLE AIRPORT,02/07/2025,2.9,0.0, ,16.8,5.4,87,44,7.40,12.41
COONAMBLE AIRPORT,03/07/2025,1.8,0.0, ,16.0,0.4,96,51,3.41,12.00
COONAMBLE AIRPORT,04/07/2025,1.7,0.0, ,18.0,-0.6,98,41,1.91,12.47
COONAMBLE AIRPORT,05/07/2025,3.3,0.0, ,21.8,5.4,89,31,4.40,11.92
COONAMBLE AIRPORT,06/07/2025,3.4,0.0, ,21.4,11.0,82,37,5.30,12.19
COONAMBLE AIRPORT,07/07/2025,1.7,0.0, ,17.4,3.2,92,49,2.40,12.24
COONAMBLE AIRPORT,08/07/2025,2.2,0.0, ,17.1,2.1,94,43,3.71,10.20
COONAMBLE AIRPORT,09/07/2025,3.2,0.0, ,21.9,3.7,92,30,4.07,12.63
COONAMBLE AIRPORT,10/07/2025,3.0,0.0, ,15.9,3.2,81,35,6.21,12.59
COONAMBLE AIRPORT,11/07/2025,1.8,0.0, ,16.9,-1.6,92,40,2.14,12.68
COONAMBLE AIRPORT,12/07/2025,2.0,0.0, ,18.8,1.8,93,45,2.54,12.65
COONAMBLE AIRPORT,13/07/2025,1.8,0.0, ,18.0,-1.2,98,42,2.19,12.79
COONAMBLE AIRPORT,14/07/2025,2.3,0.0, ,18.6,1.1,93,33,2.86,12.86
COONAMBLE AIRPORT,15/07/2025,1.0,1.6, ,11.4,4.7,98,67,2.00,5.21
COONAMBLE AIRPORT,16/07/2025,1.8,7.0, ,15.2,2.2,99,50,3.33,13.19
COONAMBLE AIRPORT,17/07/2025,1.8,0.0, ,15.5,-1.7,98,45,2.74,10.05
COONAMBLE AIRPORT,18/07/2025,2.8,0.0, ,17.9,5.4,82,45,5.25,13.29
COONAMBLE AIRPORT,19/07/2025,2.4,0.0, ,18.7,1.0,95,35,2.98,13.35
COONAMBLE AIRPORT,20/07/2025,3.0,0.0, ,18.2,0.8,93,24,3.96,13.44
COONAMBLE AIRPORT,21/07/2025,2.9,0.0, ,21.6,1.5,92,42,3.89,13.41
COONAMBLE AIRPORT,22/07/2025,2.8,0.0, ,20.4,9.1,91,51,5.81,10.12
COONAMBLE AIRPORT,23/07/2025,2.5,2.2, ,16.6,7.9,95,36,3.88,13.40
COONAMBLE AIRPORT,24/07/2025,1.9,0.0, ,15.6,-0.9,98,37,2.36,13.78
COONAMBLE AIRPORT,25/07/2025,2.9,0.0, ,16.3,0.4,90,35,5.80,8.40
COONAMBLE AIRPORT,26/07/2025,2.6,16.2, ,18.2,9.6,95,54,6.91,11.19
COONAMBLE AIRPORT,27/07/2025,2.2,0.4, ,16.7,8.7,94,57,6.07,10.17
COONAMBLE AIRPORT,28/07/2025,2.0,0.0, ,15.4,4.1,97,52,4.08,13.45
COONAMBLE AIRPORT,29/07/2025,1.9,0.0, ,16.5,1.7,97,46,2.76,10.52
COONAMBLE AIRPORT,30/07/2025,1.1,4.0, ,12.3,8.0,97,79,5.00,5.84
COONAMBLE AIRPORT,31/07/2025,1.9,1.8, ,16.1,5.7,98,58,3.81,12.41
Totals:,,70.8,33.2, ,,,,,, 
