'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COORANBONG (LAKE MACQUARIE) New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COORANBONG (LAKE MACQUARIE),01/09/2024,3.0,0.0, ,28.0,5.3,97,25,1.07,17.91
COORANBONG (LAKE MACQUARIE),02/09/2024,4.5,0.0, ,26.9,6.1,96,18,3.06,18.04
COORANBONG (LAKE MACQUARIE),03/09/2024,2.3,0.0, ,18.5,2.9,93,28,0.97,18.21
COORANBONG (LAKE MACQUARIE),04/09/2024,2.5,0.0, ,21.7,1.9,98,35,1.07,18.28
COORANBONG (LAKE MACQUARIE),05/09/2024,3.1,0.0, ,26.4,3.7,98,35,1.41,18.38
COORANBONG (LAKE MACQUARIE),06/09/2024,3.6,0.0, ,27.8,6.8,97,32,1.86,18.62
COORANBONG (LAKE MACQUARIE),07/09/2024,4.1,0.0, ,29.0,19.6,94,30,2.41,16.86
COORANBONG (LAKE MACQUARIE),08/09/2024,1.1,0.0, ,19.4,14.1,97,65,0.27,5.08
COORANBONG (LAKE MACQUARIE),09/09/2024,2.6,0.4, ,24.3,6.0,98,31,0.94,16.43
COORANBONG (LAKE MACQUARIE),10/09/2024,2.4,0.2, ,22.8,5.0,98,47,0.65,17.47
COORANBONG (LAKE MACQUARIE),11/09/2024,2.9,0.0, ,26.9,5.8,99,35,0.75,19.20
COORANBONG (LAKE MACQUARIE),12/09/2024,2.2,0.0, ,22.6,14.8,95,60,1.46,11.54
COORANBONG (LAKE MACQUARIE),13/09/2024,2.3,28.0, ,18.3,11.6,95,53,1.19,14.26
COORANBONG (LAKE MACQUARIE),14/09/2024,3.0,0.0, ,22.8,5.1,100,37,1.34,19.89
COORANBONG (LAKE MACQUARIE),15/09/2024,3.0,0.0, ,17.6,9.4,90,39,2.48,18.63
COORANBONG (LAKE MACQUARIE),16/09/2024,3.1,0.0, ,21.2,4.8,94,21,1.35,20.45
COORANBONG (LAKE MACQUARIE),17/09/2024,2.8,0.2, ,21.0,5.6,98,37,0.84,20.25
COORANBONG (LAKE MACQUARIE),18/09/2024,3.5,0.0, ,26.4,3.0,98,18,1.21,20.76
COORANBONG (LAKE MACQUARIE),19/09/2024,4.5,0.0, ,27.5,7.9,75,10,2.06,20.91
COORANBONG (LAKE MACQUARIE),20/09/2024,3.8,0.0, ,26.4,6.8,80,15,1.40,21.10
COORANBONG (LAKE MACQUARIE),21/09/2024,3.7,0.0, ,25.1,4.2,94,21,1.45,21.25
COORANBONG (LAKE MACQUARIE),22/09/2024,3.5,0.0, ,26.5,4.6,96,22,1.13,21.33
COORANBONG (LAKE MACQUARIE),23/09/2024,3.7,0.0, ,28.2,5.9,97,26,1.06,21.66
COORANBONG (LAKE MACQUARIE),24/09/2024,2.7,0.0, ,24.3,8.6,94,49,0.56,17.02
COORANBONG (LAKE MACQUARIE),25/09/2024,3.2,0.0, ,29.2,13.4,96,28,1.13,14.80
COORANBONG (LAKE MACQUARIE),26/09/2024,1.3,19.2, ,16.9,13.5,95,70,1.12,5.39
COORANBONG (LAKE MACQUARIE),27/09/2024,2.7,33.8, ,18.2,11.8,94,53,2.11,15.46
COORANBONG (LAKE MACQUARIE),28/09/2024,2.6,1.8, ,19.4,11.4,97,58,1.24,16.07
COORANBONG (LAKE MACQUARIE),29/09/2024,2.0,4.6, ,20.3,12.0,98,82,0.70,12.30
COORANBONG (LAKE MACQUARIE),30/09/2024,2.5,6.6, ,21.4,14.3,99,65,1.01,14.66
Totals:,,88.2,94.8, ,,,,,, 
