'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COORANBONG (LAKE MACQUARIE) New South Wales for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COORANBONG (LAKE MACQUARIE),01/10/2024,3.2,0.8, ,22.2,7.8,100,53,0.85,22.00
COORANBONG (LAKE MACQUARIE),02/10/2024,1.7,0.8, ,20.0,11.1,99,59,0.61,8.52
COORANBONG (LAKE MACQUARIE),03/10/2024,3.0,0.8, ,21.0,12.1,98,54,0.94,18.55
COORANBONG (LAKE MACQUARIE),04/10/2024,3.3,0.0, ,24.2,6.0,100,51,0.87,21.97
COORANBONG (LAKE MACQUARIE),05/10/2024,4.4,0.0, ,28.8,14.3,96,27,1.61,21.48
COORANBONG (LAKE MACQUARIE),06/10/2024,4.5,0.0, ,29.7,9.3,99,21,1.37,23.84
COORANBONG (LAKE MACQUARIE),07/10/2024,4.4,0.0, ,30.6,8.7,98,21,1.08,23.92
COORANBONG (LAKE MACQUARIE),08/10/2024,1.4,0.6, ,17.4,12.4,93,77,1.09,6.62
COORANBONG (LAKE MACQUARIE),09/10/2024,1.5,2.6, ,16.9,12.4,96,73,0.58,7.58
COORANBONG (LAKE MACQUARIE),10/10/2024,3.7,6.8, ,23.0,12.0,97,54,1.10,23.28
COORANBONG (LAKE MACQUARIE),11/10/2024,3.4,0.0, ,24.9,10.4,100,59,0.79,21.23
COORANBONG (LAKE MACQUARIE),12/10/2024,1.8,0.4, ,18.1,14.2,97,58,1.55,7.80
COORANBONG (LAKE MACQUARIE),13/10/2024,3.0,4.8, ,20.9,12.0,98,54,1.02,18.48
COORANBONG (LAKE MACQUARIE),14/10/2024,3.0,0.2, ,24.2,8.4,99,56,0.98,17.53
COORANBONG (LAKE MACQUARIE),15/10/2024,1.9,24.0, ,18.4,14.7,96,62,0.82,9.30
COORANBONG (LAKE MACQUARIE),16/10/2024,2.0,2.4, ,19.7,11.1,97,55,0.31,11.28
COORANBONG (LAKE MACQUARIE),17/10/2024,3.6,0.6, ,23.3,7.2,100,63,0.90,23.73
COORANBONG (LAKE MACQUARIE),18/10/2024,2.1,0.4, ,25.4,14.4,99,69,0.81,10.19
COORANBONG (LAKE MACQUARIE),19/10/2024,3.4,2.2, ,26.3,16.1,98,50,1.24,17.20
COORANBONG (LAKE MACQUARIE),20/10/2024,3.5,1.0, ,22.3,15.2,100,58,1.50,20.33
COORANBONG (LAKE MACQUARIE),21/10/2024,3.6,0.0, ,22.3,16.2,82,53,1.92,18.59
COORANBONG (LAKE MACQUARIE),22/10/2024,4.1,0.0, ,24.1,10.8,96,41,1.04,24.63
COORANBONG (LAKE MACQUARIE),23/10/2024,3.9,0.0, ,30.0,8.8,100,39,0.52,22.39
COORANBONG (LAKE MACQUARIE),24/10/2024,2.7,0.0, ,23.0,13.6,99,57,1.09,13.98
COORANBONG (LAKE MACQUARIE),25/10/2024,4.5,44.8, ,23.3,11.3,98,30,1.52,26.20
COORANBONG (LAKE MACQUARIE),26/10/2024,3.7,0.0, ,20.3,8.7,93,45,1.06,24.30
COORANBONG (LAKE MACQUARIE),27/10/2024,4.2,0.0, ,26.0,8.0,98,33,0.89,25.09
COORANBONG (LAKE MACQUARIE),28/10/2024,4.5,0.0, ,30.9,9.5,99,19,1.31,20.72
COORANBONG (LAKE MACQUARIE),29/10/2024,3.7,0.0, ,23.3,14.9,93,55,0.85,21.66
COORANBONG (LAKE MACQUARIE),30/10/2024,4.8,0.0, ,25.9,14.2,96,48,1.21,27.73
COORANBONG (LAKE MACQUARIE),31/10/2024,4.6,0.0, ,29.9,11.1,99,23,1.01,24.33
Totals:,,103.1,93.2, ,,,,,, 
