'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COORANBONG (LAKE MACQUARIE) New South Wales for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COORANBONG (LAKE MACQUARIE),01/04/2025,2.5,0.0, ,24.1,18.1,80,62,1.37,11.91
COORANBONG (LAKE MACQUARIE),02/04/2025,1.5,0.0, ,21.5,15.5,97,59,0.62,6.75
COORANBONG (LAKE MACQUARIE),03/04/2025,2.7,0.0, ,28.2,10.3,100,31,0.34,18.76
COORANBONG (LAKE MACQUARIE),04/04/2025,2.7,0.0, ,27.6,11.2,100,53,0.67,16.47
COORANBONG (LAKE MACQUARIE),05/04/2025,3.0,0.0, ,27.7,10.6,100,27,0.81,18.61
COORANBONG (LAKE MACQUARIE),06/04/2025,3.0,0.0, ,28.9,10.9,100,25,0.81,18.31
COORANBONG (LAKE MACQUARIE),07/04/2025,2.8,0.0, ,27.8,9.3,94,29,0.69,18.27
COORANBONG (LAKE MACQUARIE),08/04/2025,1.6,0.0, ,23.1,13.4,96,66,0.47,9.20
COORANBONG (LAKE MACQUARIE),09/04/2025,2.5,4.4, ,24.7,12.8,99,62,0.84,15.85
COORANBONG (LAKE MACQUARIE),10/04/2025,2.2,0.0, ,25.7,11.0,100,65,0.42,14.21
COORANBONG (LAKE MACQUARIE),11/04/2025,2.6,0.0, ,29.3,11.3,100,44,0.35,17.58
COORANBONG (LAKE MACQUARIE),12/04/2025,2.3,0.0, ,26.4,13.1,100,62,0.81,14.17
COORANBONG (LAKE MACQUARIE),13/04/2025,2.1,0.0, ,25.9,12.7,100,67,0.34,13.54
COORANBONG (LAKE MACQUARIE),14/04/2025,2.6,0.2, ,27.8,11.3,100,52,0.77,17.03
COORANBONG (LAKE MACQUARIE),15/04/2025,2.2,5.6, ,23.2,17.4,95,49,1.25,11.15
COORANBONG (LAKE MACQUARIE),16/04/2025,2.0,2.4, ,22.8,15.1,95,57,1.19,10.92
COORANBONG (LAKE MACQUARIE),17/04/2025,2.0,0.8, ,23.9,15.8,98,63,1.05,11.38
COORANBONG (LAKE MACQUARIE),18/04/2025,2.5,1.6, ,26.0,12.9,99,45,0.87,16.45
COORANBONG (LAKE MACQUARIE),19/04/2025,2.3,0.0, ,29.5,9.3,100,36,0.38,16.24
COORANBONG (LAKE MACQUARIE),20/04/2025,2.4,0.0, ,30.4,10.1,100,35,0.54,16.13
COORANBONG (LAKE MACQUARIE),21/04/2025,2.4,0.0, ,28.4,14.0,97,30,0.93,12.66
COORANBONG (LAKE MACQUARIE),22/04/2025,1.3,2.4, ,21.2,10.6,98,77,0.44,7.93
COORANBONG (LAKE MACQUARIE),23/04/2025,2.0,18.8, ,25.2,14.7,100,69,1.06,11.85
COORANBONG (LAKE MACQUARIE),24/04/2025,2.0,7.6, ,25.0,13.5,100,61,0.70,13.17
COORANBONG (LAKE MACQUARIE),25/04/2025,1.4,0.2, ,22.9,13.8,100,79,0.21,9.20
COORANBONG (LAKE MACQUARIE),26/04/2025,1.7,8.4, ,24.9,12.9,100,68,0.51,11.58
COORANBONG (LAKE MACQUARIE),27/04/2025,0.7,21.8, ,19.0,16.8,100,94,0.91,2.15
COORANBONG (LAKE MACQUARIE),28/04/2025,1.8,135.4, ,23.3,16.6,100,78,1.36,11.58
COORANBONG (LAKE MACQUARIE),29/04/2025,1.9,3.6, ,25.1,12.8,100,65,0.62,13.16
COORANBONG (LAKE MACQUARIE),30/04/2025,1.5,14.8, ,19.8,14.4,100,67,1.21,8.98
Totals:,,64.2,228, ,,,,,, 
