'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COWRA AIRPORT New South Wales for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COWRA AIRPORT,01/01/2025,7.6,0.0, ,34.7,16.1,88,14,2.69,29.77
COWRA AIRPORT,02/01/2025,8.0,0.0, ,34.0,17.1,84,23,3.67,30.49
COWRA AIRPORT,03/01/2025,7.1,0.0, ,33.3,16.2,75,26,2.47,29.95
COWRA AIRPORT,04/01/2025,8.7,0.0, ,35.2,16.3,85,23,4.27,31.23
COWRA AIRPORT,05/01/2025,8.1,2.4, ,36.9,18.8,81,22,3.67,26.60
COWRA AIRPORT,06/01/2025,8.1,0.2, ,37.4,16.6,93,22,3.91,25.53
COWRA AIRPORT,07/01/2025,4.3,2.6, ,28.0,19.1,96,48,4.03,14.97
COWRA AIRPORT,08/01/2025,6.6,0.0, ,27.4,13.1,88,36,4.17,31.20
COWRA AIRPORT,09/01/2025,6.2,0.0, ,30.2,12.4,85,37,3.40,26.22
COWRA AIRPORT,10/01/2025,5.2,0.0, ,31.7,18.0,81,35,3.23,15.77
COWRA AIRPORT,11/01/2025,4.7,2.0, ,29.6,18.3,89,47,2.60,19.06
COWRA AIRPORT,12/01/2025,7.0,0.8, ,32.5,15.3,93,35,3.60,29.21
COWRA AIRPORT,13/01/2025,6.7,12.4, ,34.0,16.4,95,34,1.92,30.86
COWRA AIRPORT,14/01/2025,7.2,0.0, ,35.9,21.0,87,25,2.18,29.76
COWRA AIRPORT,15/01/2025,8.0,0.0, ,39.3,20.0,93,31,5.25,19.34
COWRA AIRPORT,16/01/2025,6.3,11.4, ,28.6,15.8,79,33,4.44,23.13
COWRA AIRPORT,17/01/2025,7.1,0.0, ,27.7,11.9,83,32,5.24,30.81
COWRA AIRPORT,18/01/2025,7.2,0.0, ,29.4,16.8,73,39,5.78,26.86
COWRA AIRPORT,19/01/2025,7.0,0.0, ,28.8,14.8,82,30,3.94,30.61
COWRA AIRPORT,20/01/2025,6.5,0.0, ,33.0,12.8,84,20,1.84,30.09
COWRA AIRPORT,21/01/2025,7.0,0.0, ,36.6,16.0,80,18,2.14,27.50
COWRA AIRPORT,22/01/2025,9.0,0.0, ,39.7,19.8,66,18,4.02,25.08
COWRA AIRPORT,23/01/2025,6.4,0.0, ,30.7,17.6,71,37,3.55,24.13
COWRA AIRPORT,24/01/2025,6.5,0.0, ,30.6,16.5,70,29,2.66,28.13
COWRA AIRPORT,25/01/2025,6.3,0.0, ,33.4,16.2,78,28,1.75,28.81
COWRA AIRPORT,26/01/2025,7.3,0.0, ,36.6,15.8,81,20,2.45,27.91
COWRA AIRPORT,27/01/2025,8.7,0.0, ,38.9,20.2,77,24,4.25,25.86
COWRA AIRPORT,28/01/2025,10.0,0.0, ,40.5,22.0,78,20,4.78,28.53
COWRA AIRPORT,29/01/2025,8.1,0.0, ,36.4,19.2,79,12,3.47,26.00
COWRA AIRPORT,30/01/2025,7.7,0.0, ,35.6,15.9,88,18,3.20,28.22
COWRA AIRPORT,31/01/2025,7.0,0.0, ,34.6,19.0,79,31,3.48,24.67
Totals:,,221.6,31.8, ,,,,,, 
