'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COWRA AIRPORT New South Wales for July 2025,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COWRA AIRPORT,01/07/2025,1.3,0.2, ,12.5,2.7,96,62,4.33,5.49
COWRA AIRPORT,02/07/2025,1.7,16.4, ,14.7,7.8,93,67,7.56,9.25
COWRA AIRPORT,03/07/2025,0.7,0.6, ,9.9,6.3,98,84,2.86,6.57
COWRA AIRPORT,04/07/2025,0.9,0.2, ,14.5,1.3,100,64,0.85,10.20
COWRA AIRPORT,05/07/2025,0.9,0.2, ,13.4,0.4,100,70,1.57,7.90
COWRA AIRPORT,06/07/2025,1.5,0.0, ,18.1,3.9,95,59,2.65,8.86
COWRA AIRPORT,07/07/2025,0.9,0.0, ,14.7,4.7,98,72,1.48,8.36
COWRA AIRPORT,08/07/2025,1.2,0.0, ,14.2,4.3,100,57,2.62,6.77
COWRA AIRPORT,09/07/2025,1.4,0.0, ,15.3,5.9,91,53,2.10,10.69
COWRA AIRPORT,10/07/2025,1.4,0.2, ,11.1,6.9,91,66,5.39,7.06
COWRA AIRPORT,11/07/2025,1.3,1.0, ,13.6,5.4,91,67,3.52,8.97
COWRA AIRPORT,12/07/2025,1.3,0.0, ,14.7,6.2,96,54,2.40,8.82
COWRA AIRPORT,13/07/2025,1.0,0.0, ,13.4,-0.4,100,65,1.90,10.40
COWRA AIRPORT,14/07/2025,1.3,0.0, ,12.4,2.0,94,54,2.65,11.59
COWRA AIRPORT,15/07/2025, ,0.0, ,10.4,0.3,98,71,1.44, 
COWRA AIRPORT,16/07/2025,0.9,0.2, ,13.0,0.6,100,58,0.60,10.83
COWRA AIRPORT,17/07/2025,1.1,0.0, ,13.5,-1.3,99,57,1.33,11.86
COWRA AIRPORT,18/07/2025,1.3,0.2, ,14.7,-1.6,99,52,1.93,12.10
COWRA AIRPORT,19/07/2025,1.1,0.0, ,14.9,-1.2,99,55,1.07,12.10
COWRA AIRPORT,20/07/2025,1.4,0.0, ,15.3,-1.8,100,43,1.73,12.26
COWRA AIRPORT,21/07/2025,1.7,0.2, ,19.6,-0.5,99,45,1.90,11.91
COWRA AIRPORT,22/07/2025,2.3,0.0, ,18.6,6.0,96,51,5.39,8.52
COWRA AIRPORT,23/07/2025,1.4,11.8, ,12.8,7.4,95,55,2.14,12.18
COWRA AIRPORT,24/07/2025,1.1,0.0, ,12.8,-0.2,99,57,1.30,11.97
COWRA AIRPORT,25/07/2025,1.4,0.0, ,13.3,-1.9,99,41,1.93,8.44
COWRA AIRPORT,26/07/2025,2.3,8.8, ,16.0,3.5,93,51,6.32,9.10
COWRA AIRPORT,27/07/2025,1.0,3.0, ,11.1,9.2,96,83,5.61,6.84
COWRA AIRPORT,28/07/2025,0.9,4.6, ,10.0,7.8,99,85,4.90,8.90
COWRA AIRPORT,29/07/2025,1.1,0.2, ,12.3,6.9,98,70,2.06,8.04
COWRA AIRPORT,30/07/2025,1.1,1.0, ,11.0,6.7,97,66,2.60,7.63
COWRA AIRPORT,31/07/2025,2.0,0.8, ,14.2,5.4,83,48,3.42,12.99
Totals:,,38.9,49.6, ,,,,,, 
