'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DENILIQUIN AIRPORT New South Wales for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DENILIQUIN AIRPORT,01/10/2024,4.3,0.0, ,22.3,5.0,95,38,4.09,22.02
DENILIQUIN AIRPORT,02/10/2024,4.4,0.0, ,24.4,3.7,96,27,2.66,22.55
DENILIQUIN AIRPORT,03/10/2024,6.4,0.0, ,28.0,9.3,87,25,5.51,21.91
DENILIQUIN AIRPORT,04/10/2024,5.4,1.2, ,28.8,14.7,90,29,5.83,10.04
DENILIQUIN AIRPORT,05/10/2024,4.2,4.4, ,21.9,8.3,93,35,4.67,17.37
DENILIQUIN AIRPORT,06/10/2024,4.7,0.0, ,23.3,10.2,89,34,4.92,19.46
DENILIQUIN AIRPORT,07/10/2024,5.1,0.0, ,25.9,7.9,92,37,5.08,19.59
DENILIQUIN AIRPORT,08/10/2024,4.5,0.0, ,18.8,3.7,93,29,5.52,22.59
DENILIQUIN AIRPORT,09/10/2024,4.7,0.0, ,23.3,0.2,93,28,3.38,23.82
DENILIQUIN AIRPORT,10/10/2024,6.1,0.0, ,28.7,8.7,85,20,3.77,23.93
DENILIQUIN AIRPORT,11/10/2024,6.4,0.0, ,24.3,7.0,86,21,6.58,24.07
DENILIQUIN AIRPORT,12/10/2024,6.0,0.0, ,26.1,4.2,94,14,4.10,24.00
DENILIQUIN AIRPORT,13/10/2024,6.2,0.0, ,26.9,8.0,71,21,4.38,23.27
DENILIQUIN AIRPORT,14/10/2024,6.3,0.0, ,30.9,12.5,65,19,3.54,19.79
DENILIQUIN AIRPORT,15/10/2024,6.2,0.0, ,28.2,14.1,79,38,6.87,18.66
DENILIQUIN AIRPORT,16/10/2024,3.6,2.0, ,23.1,12.8,94,57,4.64,16.29
DENILIQUIN AIRPORT,17/10/2024, ,0.0, , ,13.0,96,42,6.18,17.17
DENILIQUIN AIRPORT,18/10/2024, , , ,26.5, ,97,54,8.88,14.12
DENILIQUIN AIRPORT,19/10/2024,6.3,0.6, ,25.1,13.8,89,30,7.28,23.77
DENILIQUIN AIRPORT,20/10/2024,5.9,0.0, ,26.0,8.9,93,33,5.40,25.24
DENILIQUIN AIRPORT,21/10/2024,5.9,0.0, ,29.6,7.6,96,31,3.32,25.83
DENILIQUIN AIRPORT,22/10/2024,6.6,0.0, ,33.0,12.7,81,19,3.18,23.30
DENILIQUIN AIRPORT,23/10/2024,5.7,0.0, ,24.8,15.0,84,23,5.56,17.88
DENILIQUIN AIRPORT,24/10/2024,5.0,0.2, ,20.8,5.1,95,27,5.73,22.06
DENILIQUIN AIRPORT,25/10/2024,5.2,0.0, ,20.2,5.0,86,26,5.10,26.38
DENILIQUIN AIRPORT,26/10/2024,4.9,0.0, ,24.2,2.9,88,18,2.26,26.09
DENILIQUIN AIRPORT,27/10/2024,7.3,0.0, ,30.9,11.0,70,16,3.98,25.73
DENILIQUIN AIRPORT,28/10/2024,6.6,0.0, ,25.3,9.7,86,25,5.89,26.91
DENILIQUIN AIRPORT,29/10/2024,6.7,0.0, ,27.1,7.4,89,21,4.93,27.04
DENILIQUIN AIRPORT,30/10/2024,6.6,0.0, ,28.7,7.6,93,18,3.88,27.13
DENILIQUIN AIRPORT,31/10/2024,6.4,0.0, ,25.3,11.0,84,26,5.72,25.07
Totals:,,163.6,8.4, ,,,,,, 
