'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DENILIQUIN AIRPORT New South Wales for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DENILIQUIN AIRPORT,01/04/2025,4.5,0.0, ,26.2,12.4,74,31,3.61,17.66
DENILIQUIN AIRPORT,02/04/2025,4.6,0.0, ,27.0,11.1,78,24,3.35,17.52
DENILIQUIN AIRPORT,03/04/2025,5.2,0.0, ,24.9,12.8,69,31,5.32,17.86
DENILIQUIN AIRPORT,04/04/2025,4.1,0.0, ,21.8,8.6,90,31,4.59,17.64
DENILIQUIN AIRPORT,05/04/2025,4.2,0.0, ,21.0,8.9,83,28,4.72,17.55
DENILIQUIN AIRPORT,06/04/2025,3.3,0.0, ,22.4,6.5,79,37,3.34,11.61
DENILIQUIN AIRPORT,07/04/2025,3.9,0.0, ,21.7,8.7,90,32,4.61,16.03
DENILIQUIN AIRPORT,08/04/2025,3.7,0.0, ,22.3,6.6,91,35,3.77,17.02
DENILIQUIN AIRPORT,09/04/2025,3.2,0.0, ,24.4,5.3,90,29,1.97,16.42
DENILIQUIN AIRPORT,10/04/2025,3.0,0.0, ,27.5,13.2,68,24,1.19,16.67
DENILIQUIN AIRPORT,11/04/2025,3.8,0.0, ,30.7,12.7,67,21,1.79,16.47
DENILIQUIN AIRPORT,12/04/2025,4.9,0.0, ,32.3,12.7,71,20,2.86,16.31
DENILIQUIN AIRPORT,13/04/2025,4.8,0.0, ,31.4,14.2,61,22,2.97,16.04
DENILIQUIN AIRPORT,14/04/2025,5.3,0.0, ,32.6,13.4,67,22,3.39,15.89
DENILIQUIN AIRPORT,15/04/2025,4.6,0.0, ,30.2,14.5,77,29,3.37,15.70
DENILIQUIN AIRPORT,16/04/2025,4.2,0.0, ,28.6,13.4,64,31,3.09,14.72
DENILIQUIN AIRPORT,17/04/2025,2.7,0.0, ,29.5,11.6,83,27,1.07,15.35
DENILIQUIN AIRPORT,18/04/2025,4.6,0.0, ,31.0,13.2,70,22,2.95,15.31
DENILIQUIN AIRPORT,19/04/2025,6.5,0.0, ,31.6,14.0,51,15,4.74,13.83
DENILIQUIN AIRPORT,20/04/2025,4.0,0.0, ,23.9,16.4,78,29,4.47,10.04
DENILIQUIN AIRPORT,21/04/2025,2.1,1.8, ,19.2,12.3,96,60,3.97,9.57
DENILIQUIN AIRPORT,22/04/2025,3.9,0.2, ,24.2,11.4,89,42,5.35,14.79
DENILIQUIN AIRPORT,23/04/2025,4.3,0.0, ,27.7,12.6,77,36,4.21,14.45
DENILIQUIN AIRPORT,24/04/2025, ,0.0, , ,16.3,75,34,4.62,14.29
DENILIQUIN AIRPORT,25/04/2025, , , ,29.0, ,82,37,4.91,11.51
DENILIQUIN AIRPORT,26/04/2025,2.2,5.0, ,21.7,14.8,96,61,3.37,10.79
DENILIQUIN AIRPORT,27/04/2025,2.9,0.0, ,24.5,12.5,95,54,3.94,14.05
DENILIQUIN AIRPORT,28/04/2025,2.7,0.2, ,20.8,9.7,93,50,4.22,12.76
DENILIQUIN AIRPORT,29/04/2025,3.2,0.0, ,22.3,10.6,91,48,5.47,12.31
DENILIQUIN AIRPORT,30/04/2025,2.8,0.0, ,21.7,9.7,93,43,4.00,9.93
Totals:,,109.2,7.2, ,,,,,, 
