'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DUBBO AIRPORT New South Wales for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DUBBO AIRPORT,01/10/2024,4.8,0.0, ,23.5,6.2,87,30,3.66,23.25
DUBBO AIRPORT,02/10/2024,6.0,0.0, ,24.6,8.3,83,29,6.75,22.80
DUBBO AIRPORT,03/10/2024,5.4,0.0, ,25.3,9.6,89,31,4.86,22.80
DUBBO AIRPORT,04/10/2024, ,0.0, , ,9.9,93,40,5.47,15.27
DUBBO AIRPORT,05/10/2024,5.1, , ,25.4,14.8,93,32,4.23,21.60
DUBBO AIRPORT,06/10/2024,5.2,0.0, ,25.5,8.6,88,34,4.02,24.05
DUBBO AIRPORT,07/10/2024,5.3,0.0, ,28.7,6.8,96,24,2.72,24.12
DUBBO AIRPORT,08/10/2024,5.8,0.0, ,27.3,9.0,86,29,4.28,23.64
DUBBO AIRPORT,09/10/2024,4.9,0.0, ,23.0,9.3,82,46,7.05,20.58
DUBBO AIRPORT,10/10/2024,4.9,0.0, ,25.9,8.4,92,34,2.96,24.00
DUBBO AIRPORT,11/10/2024,6.0,0.0, ,30.1,7.2,94,23,3.45,23.31
DUBBO AIRPORT,12/10/2024,5.8,0.0, ,26.3,7.7,73,39,5.11,24.53
DUBBO AIRPORT,13/10/2024,6.1,0.0, ,26.6,10.5,79,36,6.02,22.76
DUBBO AIRPORT,14/10/2024,5.1,0.0, ,27.3,13.2,94,41,5.06,19.24
DUBBO AIRPORT,15/10/2024,3.8,4.8, ,22.7,12.7,94,54,6.51,15.03
DUBBO AIRPORT,16/10/2024,2.1,16.0, ,16.4,11.0,95,73,5.30,10.85
DUBBO AIRPORT,17/10/2024, ,2.8, , ,11.3,95,47,4.09,23.48
DUBBO AIRPORT,18/10/2024, , , ,28.2, ,96,54,4.85,10.93
DUBBO AIRPORT,19/10/2024,2.6,4.4, ,19.8,13.3,97,62,4.00,10.87
DUBBO AIRPORT,20/10/2024,5.7,0.2, ,29.2,7.6,98,30,2.91,26.21
DUBBO AIRPORT,21/10/2024,6.1,0.0, ,26.7,12.0,88,31,4.65,26.28
DUBBO AIRPORT,22/10/2024,6.0,0.0, ,28.4,10.9,88,29,3.72,25.07
DUBBO AIRPORT,23/10/2024,6.0,0.0, ,31.5,10.3,93,26,3.68,20.16
DUBBO AIRPORT,24/10/2024,5.3,0.0, ,24.4,12.4,77,21,4.40,16.88
DUBBO AIRPORT,25/10/2024,5.6,0.0, ,22.0,4.9,74,24,4.61,26.30
DUBBO AIRPORT,26/10/2024,5.6,0.0, ,24.5,5.7,77,22,3.36,26.61
DUBBO AIRPORT,27/10/2024,5.4,0.0, ,27.2,11.1,74,16,3.02,19.46
DUBBO AIRPORT,28/10/2024,7.7,0.0, ,32.0,6.0,87,15,4.66,23.36
DUBBO AIRPORT,29/10/2024,6.6,0.0, ,29.1,10.0,83,18,3.56,27.16
DUBBO AIRPORT,30/10/2024,6.9,0.0, ,30.8,10.8,83,18,3.53,27.18
DUBBO AIRPORT,31/10/2024,8.0,0.0, ,32.2,7.4,87,15,5.43,20.25
Totals:,,153.8,28.2, ,,,,,, 
