'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DUBBO AIRPORT New South Wales for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DUBBO AIRPORT,01/11/2024,6.7,0.0, ,27.7,8.6,90,18,4.17,27.48
DUBBO AIRPORT,02/11/2024,8.0,0.0, ,31.6,11.3,81,24,5.74,26.09
DUBBO AIRPORT,03/11/2024,8.7,0.0, ,34.6,14.2,90,20,5.77,25.17
DUBBO AIRPORT,04/11/2024,4.8,0.0, ,29.2,21.0,78,33,4.21,9.79
DUBBO AIRPORT,05/11/2024,7.3,0.0, ,33.3,11.1,92,21,3.67,26.89
DUBBO AIRPORT,06/11/2024,7.7,0.0, ,37.1,16.2,90,19,4.08,20.82
DUBBO AIRPORT,07/11/2024,6.3,0.0, ,33.6,20.8,94,27,4.83,15.71
DUBBO AIRPORT,08/11/2024,6.6,3.6, ,28.6,10.1,98,25,4.01,28.32
DUBBO AIRPORT,09/11/2024,7.9,0.0, ,31.7,10.4,78,15,4.29,27.46
DUBBO AIRPORT,10/11/2024,8.0,0.0, ,31.8,12.0,66,14,4.23,26.85
DUBBO AIRPORT,11/11/2024,2.4,0.0, ,22.0,16.9,95,60,4.19,6.10
DUBBO AIRPORT,12/11/2024,6.4,4.0, ,30.1,13.9,97,34,4.34,25.22
DUBBO AIRPORT,13/11/2024,6.5,0.0, ,33.3,15.2,96,29,4.06,20.82
DUBBO AIRPORT,14/11/2024,6.7,3.2, ,31.6,13.3,98,21,3.16,27.21
DUBBO AIRPORT,15/11/2024,8.3,0.0, ,32.5,16.7,85,25,5.91,27.05
DUBBO AIRPORT,16/11/2024,9.0,0.0, ,34.7,17.2,84,23,5.96,26.89
DUBBO AIRPORT,17/11/2024,7.7,0.0, ,34.1,18.4,97,35,7.63,20.36
DUBBO AIRPORT,18/11/2024,6.7,44.6, ,27.6,15.8,97,19,4.68,25.93
DUBBO AIRPORT,19/11/2024,7.5,0.0, ,30.3,11.3,72,27,4.54,29.36
DUBBO AIRPORT,20/11/2024,7.4,0.0, ,30.6,14.6,86,30,4.80,28.48
DUBBO AIRPORT,21/11/2024,8.2,0.0, ,30.0,15.5,79,22,5.70,29.42
DUBBO AIRPORT,22/11/2024,7.9,0.0, ,32.2,15.0,82,22,4.29,29.35
DUBBO AIRPORT,23/11/2024,7.3,0.0, ,33.1,15.0,71,27,3.19,28.61
DUBBO AIRPORT,24/11/2024,7.6,0.0, ,34.9,16.7,66,27,3.09,28.34
DUBBO AIRPORT,25/11/2024,9.4,0.0, ,35.1,19.1,60,22,5.28,28.54
DUBBO AIRPORT,26/11/2024,8.9,0.0, ,35.6,19.6,71,25,5.50,25.51
DUBBO AIRPORT,27/11/2024,4.8,0.0, ,30.6,20.7,91,40,4.43,12.23
DUBBO AIRPORT,28/11/2024,5.0,0.6, ,31.5,18.7,93,51,3.88,18.03
DUBBO AIRPORT,29/11/2024,3.4,0.4, ,26.8,19.7,97,65,4.25,12.73
DUBBO AIRPORT,30/11/2024, ,31.6, ,23.6,20.1,98,92,4.82, 
Totals:,,203.1,88, ,,,,,, 
