'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DUBBO AIRPORT New South Wales for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DUBBO AIRPORT,01/01/2025,8.2,0.0, ,35.9,16.8,89,16,3.40,29.51
DUBBO AIRPORT,02/01/2025,7.4,0.0, ,34.9,14.0,82,33,5.14,19.90
DUBBO AIRPORT,03/01/2025,8.6,2.6, ,33.6,18.2,74,29,5.27,29.65
DUBBO AIRPORT,04/01/2025,8.7,0.0, ,35.7,17.6,83,23,4.32,29.81
DUBBO AIRPORT,05/01/2025,9.1,0.0, ,37.9,17.6,73,20,4.30,27.46
DUBBO AIRPORT,06/01/2025,10.1,0.2, ,38.4,18.5,81,20,5.33,29.59
DUBBO AIRPORT,07/01/2025,5.2,2.0, ,30.2,19.7,96,46,5.72,15.73
DUBBO AIRPORT,08/01/2025,7.1,26.4, ,29.2,15.1,90,37,5.46,29.97
DUBBO AIRPORT,09/01/2025,7.2,0.0, ,32.1,13.8,91,34,4.58,27.54
DUBBO AIRPORT,10/01/2025,7.5,0.0, ,32.9,18.6,86,39,4.79,28.19
DUBBO AIRPORT,11/01/2025,7.7,0.0, ,34.0,19.1,89,33,4.75,26.53
DUBBO AIRPORT,12/01/2025,7.9,0.0, ,34.1,17.9,90,35,4.54,29.72
DUBBO AIRPORT,13/01/2025,7.7,10.0, ,35.1,16.2,97,33,3.76,29.83
DUBBO AIRPORT,14/01/2025,8.2,0.0, ,37.3,18.2,88,26,3.24,30.94
DUBBO AIRPORT,15/01/2025,9.2,0.0, ,39.5,22.0,96,32,6.84,22.61
DUBBO AIRPORT,16/01/2025,7.9,15.6, ,28.3,18.2,87,27,6.58,30.95
DUBBO AIRPORT,17/01/2025, ,0.0, ,29.7,14.1, , , ,24.75
DUBBO AIRPORT,18/01/2025,9.1,0.0, ,32.2,15.0,71,33,8.04,29.08
DUBBO AIRPORT,19/01/2025,8.1,0.0, ,30.9,14.9,88,26,5.56,30.53
DUBBO AIRPORT,20/01/2025,7.9,0.0, ,33.3,13.9,81,25,3.88,30.26
DUBBO AIRPORT,21/01/2025,8.9,0.0, ,38.8,17.4,67,18,3.93,25.99
DUBBO AIRPORT,22/01/2025,8.5,0.0, ,40.3,19.4,61,15,4.11,17.17
DUBBO AIRPORT,23/01/2025,9.1,0.0, ,34.5,19.3,66,32,6.51,27.13
DUBBO AIRPORT,24/01/2025,7.9,0.0, ,32.5,16.9,85,21,4.13,29.68
DUBBO AIRPORT,25/01/2025,8.6,0.0, ,35.5,16.8,73,24,4.25,29.46
DUBBO AIRPORT,26/01/2025,9.5,0.0, ,38.9,20.9,74,21,4.67,27.70
DUBBO AIRPORT,27/01/2025,10.2,0.0, ,39.8,20.9,85,26,5.90,28.84
DUBBO AIRPORT,28/01/2025,10.4,0.0, ,41.5,23.2,68,25,5.26,28.05
DUBBO AIRPORT,29/01/2025,10.5,0.2, ,39.4,21.6,80,23,6.34,28.00
DUBBO AIRPORT,30/01/2025,9.2,0.0, ,37.9,20.0,86,19,4.97,26.61
DUBBO AIRPORT,31/01/2025,8.7,0.0, ,36.1,22.2,81,38,6.84,25.44
Totals:,,254.3,57, ,,,,,, 
