'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DUBBO AIRPORT New South Wales for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DUBBO AIRPORT,01/04/2025,4.1,0.0, ,25.5,12.8,90,49,5.01,16.32
DUBBO AIRPORT,02/04/2025,4.5,0.0, ,25.7,15.8,89,40,4.16,19.09
DUBBO AIRPORT,03/04/2025,4.0,0.0, ,27.3,9.6,98,26,2.28,18.87
DUBBO AIRPORT,04/04/2025,4.5,0.0, ,27.0,8.1,92,25,3.02,19.15
DUBBO AIRPORT,05/04/2025,4.5,0.0, ,24.1,8.5,81,27,3.79,19.04
DUBBO AIRPORT,06/04/2025,4.0,0.0, ,24.7,4.9,89,25,2.83,18.81
DUBBO AIRPORT,07/04/2025,4.4,0.0, ,25.6,5.3,88,25,3.35,18.69
DUBBO AIRPORT,08/04/2025,4.5,0.0, ,26.5,7.1,87,31,3.57,18.52
DUBBO AIRPORT,09/04/2025,4.7,0.0, ,27.0,13.7,89,34,4.44,18.10
DUBBO AIRPORT,10/04/2025,3.5,0.0, ,27.0,15.2,91,44,3.38,12.44
DUBBO AIRPORT,11/04/2025,4.4,0.0, ,29.6,13.2,93,31,3.03,17.52
DUBBO AIRPORT,12/04/2025,5.0,0.0, ,28.2,13.5,80,41,5.28,17.84
DUBBO AIRPORT,13/04/2025,4.3,0.0, ,28.1,14.4,89,41,3.89,17.56
DUBBO AIRPORT,14/04/2025,4.0,0.0, ,28.7,13.1,96,34,2.85,17.34
DUBBO AIRPORT,15/04/2025,4.4,0.0, ,27.2,12.1,93,41,4.88,16.57
DUBBO AIRPORT,16/04/2025,4.1,0.0, ,24.6,7.8,90,28,3.69,17.17
DUBBO AIRPORT,17/04/2025,4.0,0.0, ,25.7,6.9,88,31,3.28,17.04
DUBBO AIRPORT,18/04/2025,3.8,0.0, ,27.4,9.2,95,26,2.45,16.89
DUBBO AIRPORT,19/04/2025,4.1,0.0, ,28.1,7.5,86,27,3.07,14.90
DUBBO AIRPORT,20/04/2025,5.2,0.0, ,30.4,9.1,84,26,4.05,16.14
DUBBO AIRPORT,21/04/2025,3.5,0.0, ,23.2,10.2,95,34,3.82,13.14
DUBBO AIRPORT,22/04/2025,3.7,0.0, ,25.8,6.1,97,40,3.96,14.26
DUBBO AIRPORT,23/04/2025,4.4,0.0, ,27.2,11.7,94,39,5.58,13.85
DUBBO AIRPORT,24/04/2025,4.6,0.0, ,27.1,12.7,90,39,5.66,15.90
DUBBO AIRPORT,25/04/2025,4.0,0.0, ,26.6,11.9,94,37,4.29,15.61
DUBBO AIRPORT,26/04/2025,1.7,0.0, ,20.8,15.0,97,72,4.43,6.34
DUBBO AIRPORT,27/04/2025,1.2,40.8, ,17.4,14.9,99,87,1.88,7.03
DUBBO AIRPORT,28/04/2025,2.5,7.0, ,24.7,8.6,99,48,1.63,15.35
DUBBO AIRPORT,29/04/2025,2.9,0.2, ,25.1,11.6,97,50,3.45,13.02
DUBBO AIRPORT,30/04/2025,3.1,0.0, ,23.2,9.5,94,46,4.08,12.74
Totals:,,117.6,48, ,,,,,, 
