'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DUBBO AIRPORT New South Wales for May 2025,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DUBBO AIRPORT,01/05/2025,3.1,6.0, ,20.6,6.8,94,42,4.38,14.82
DUBBO AIRPORT,02/05/2025,3.4,0.0, ,21.9,5.7,92,40,4.58,14.85
DUBBO AIRPORT,03/05/2025,3.1,0.0, ,22.5,6.4,97,44,4.16,14.72
DUBBO AIRPORT,04/05/2025,3.2,0.0, ,23.3,8.4,94,44,4.01,14.63
DUBBO AIRPORT,05/05/2025,2.6,0.0, ,23.7,10.7,96,52,2.86,13.77
DUBBO AIRPORT,06/05/2025,2.6,0.0, ,24.7,11.0,97,43,2.46,12.37
DUBBO AIRPORT,07/05/2025,2.8,0.0, ,25.5,8.8,97,43,2.77,13.27
DUBBO AIRPORT,08/05/2025,3.6,0.0, ,22.2,7.1,94,21,3.93,14.15
DUBBO AIRPORT,09/05/2025,3.4,0.0, ,21.8,7.0,85,42,5.00,14.04
DUBBO AIRPORT,10/05/2025,3.1,0.0, ,22.3,6.5,96,48,5.24,13.93
DUBBO AIRPORT,11/05/2025,3.1,0.0, ,23.2,11.6,91,50,4.84,13.79
DUBBO AIRPORT,12/05/2025,2.9,0.0, ,24.0,12.0,95,46,3.76,13.32
DUBBO AIRPORT,13/05/2025,2.8,0.0, ,23.9,11.5,96,50,3.98,13.02
DUBBO AIRPORT,14/05/2025,2.2,0.8, ,22.6,13.3,96,55,3.30,8.68
DUBBO AIRPORT,15/05/2025,2.7,0.2, ,22.8,10.3,91,56,4.32,12.63
DUBBO AIRPORT,16/05/2025,2.3,0.0, ,22.2,9.5,97,51,2.96,12.99
DUBBO AIRPORT,17/05/2025,2.5,0.0, ,21.6,5.6,98,29,2.42,13.23
DUBBO AIRPORT,18/05/2025,2.4,0.0, ,19.3,2.4,93,39,3.13,12.56
DUBBO AIRPORT,19/05/2025,3.0,1.8, ,20.0,5.0,93,39,4.81,12.89
DUBBO AIRPORT,20/05/2025,2.6,0.0, ,20.1,7.1,83,49,4.45,9.99
DUBBO AIRPORT,21/05/2025,1.8,2.0, ,19.2,12.5,93,70,4.81,9.08
DUBBO AIRPORT,22/05/2025,0.9,7.2, ,16.7,13.2,99,90,3.08,6.14
DUBBO AIRPORT,23/05/2025,2.0,8.6, ,18.9,9.9,100,46,2.97,11.62
DUBBO AIRPORT,24/05/2025,2.1,0.0, ,19.5,6.9,100,40,2.67,12.66
DUBBO AIRPORT,25/05/2025,1.9,0.0, ,19.4,4.0,100,32,1.97,7.71
DUBBO AIRPORT,26/05/2025,1.2,0.0, ,16.8,8.0,100,74,3.93,3.61
DUBBO AIRPORT,27/05/2025,2.2,26.2, ,16.9,9.7,100,49,5.13,10.90
DUBBO AIRPORT,28/05/2025,1.7,0.2, ,15.9,5.8,100,59,3.80,12.13
DUBBO AIRPORT,29/05/2025,1.2,0.0, ,15.2,5.5,100,63,1.82,9.00
DUBBO AIRPORT,30/05/2025,2.2,0.0, ,19.9,6.6,100,50,3.90,11.76
DUBBO AIRPORT,31/05/2025,2.3,0.2, ,20.0,7.1,100,53,4.64,12.23
Totals:,,76.9,53.2, ,,,,,, 
