'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DUBBO AIRPORT New South Wales for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DUBBO AIRPORT,01/08/2025,2.3,0.0, ,16.5,2.4,97,51,4.83,13.62
DUBBO AIRPORT,02/08/2025,2.2,0.0, ,16.4,4.7,99,53,5.71,9.19
DUBBO AIRPORT,03/08/2025,3.3,0.0, ,20.7,9.4,84,44,5.34,14.32
DUBBO AIRPORT,04/08/2025,2.8,0.0, ,20.7,4.1,100,45,4.26,14.43
DUBBO AIRPORT,05/08/2025,2.3,0.2, ,20.6,6.0,100,54,3.19,13.66
DUBBO AIRPORT,06/08/2025,2.2,0.0, ,16.8,1.1,100,38,2.83,14.38
DUBBO AIRPORT,07/08/2025,2.7,0.0, ,19.1,0.6,100,47,4.76,14.40
DUBBO AIRPORT,08/08/2025,1.5,0.0, ,13.2,8.2,93,70,5.01,6.51
DUBBO AIRPORT,09/08/2025,2.9,2.0, ,18.9,5.2,98,45,5.49,13.39
DUBBO AIRPORT,10/08/2025,2.5,0.0, ,18.7,2.9,100,50,4.03,14.77
DUBBO AIRPORT,11/08/2025,2.6,0.0, ,18.5,4.1,100,47,3.96,15.19
DUBBO AIRPORT,12/08/2025,2.6,0.2, ,18.6,4.2,100,38,3.30,15.41
DUBBO AIRPORT,13/08/2025,2.0,0.0, ,17.4,2.7,100,52,3.07,10.82
DUBBO AIRPORT,14/08/2025, ,6.0, , ,5.4,100,45,3.14,15.52
DUBBO AIRPORT,15/08/2025, , , ,18.2, ,100,40,2.55,15.46
DUBBO AIRPORT,16/08/2025,2.4,0.2, ,16.4,5.8,94,42,3.76,12.33
DUBBO AIRPORT,17/08/2025,1.9,0.0, ,14.8,-3.2,100,40,1.90,14.46
DUBBO AIRPORT,18/08/2025, ,0.0, , ,-1.2,100,36,3.15,15.95
DUBBO AIRPORT,19/08/2025,3.1, , ,18.1,3.4,93,41,4.88,15.59
DUBBO AIRPORT,20/08/2025,1.3,0.0, ,13.3,6.5,100,71,4.92,6.36
DUBBO AIRPORT,21/08/2025,2.2,19.6, ,17.5,7.0,100,46,2.58,13.46
DUBBO AIRPORT,22/08/2025,2.8,0.2, ,19.6,4.7,100,47,3.46,16.58
DUBBO AIRPORT,23/08/2025,2.5,0.0, ,21.3,2.6,100,41,1.82,15.92
DUBBO AIRPORT,24/08/2025,2.5,0.0, ,18.7,0.6,100,44,2.24,16.98
DUBBO AIRPORT,25/08/2025,2.7,0.2, ,21.3,1.4,100,45,2.18,17.25
DUBBO AIRPORT,26/08/2025,3.7,0.0, ,23.6,4.7,100,42,4.51,17.28
DUBBO AIRPORT,27/08/2025,2.7,0.0, ,16.0,12.5,85,52,6.07,8.58
DUBBO AIRPORT,28/08/2025,2.8,0.0, ,17.1,3.8,100,41,3.75,16.96
DUBBO AIRPORT,29/08/2025,3.7,0.2, ,19.1,1.6,97,35,5.65,16.76
DUBBO AIRPORT,30/08/2025,3.0,2.2, ,14.9,4.7,99,37,6.93,13.16
DUBBO AIRPORT,31/08/2025,2.6,0.0, ,17.6,-2.2,100,38,2.36,18.18
Totals:,,71.8,31, ,,,,,, 
