'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EVANS HEAD RAAF BOMBING RANGE New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EVANS HEAD RAAF BOMBING RANGE,01/09/2024,5.3,0.0, ,31.3,19.1,84,30,3.50,19.31
EVANS HEAD RAAF BOMBING RANGE,02/09/2024,8.0,0.0, ,35.0,21.1,69,14,5.37,19.49
EVANS HEAD RAAF BOMBING RANGE,03/09/2024,5.1,0.0, ,19.6,14.9,76,25,6.61,19.65
EVANS HEAD RAAF BOMBING RANGE,04/09/2024,3.2,0.0, ,21.3,9.7,89,54,3.66,17.26
EVANS HEAD RAAF BOMBING RANGE,05/09/2024, ,0.0, , ,10.3,95,38,3.65,19.90
EVANS HEAD RAAF BOMBING RANGE,06/09/2024, , , ,27.6, ,96,40,3.83,20.04
EVANS HEAD RAAF BOMBING RANGE,07/09/2024,5.3,0.0, ,31.5,12.0,99,31,3.57,20.24
EVANS HEAD RAAF BOMBING RANGE,08/09/2024,5.1,0.0, ,32.6,15.5,96,32,2.99,20.35
EVANS HEAD RAAF BOMBING RANGE,09/09/2024,3.4,0.0, ,25.1,17.6,99,70,3.76,19.62
EVANS HEAD RAAF BOMBING RANGE,10/09/2024,2.9,1.6, ,22.6,16.1,99,64,3.99,14.61
EVANS HEAD RAAF BOMBING RANGE,11/09/2024,3.6,0.0, ,24.4,15.1,93,63,3.27,20.02
EVANS HEAD RAAF BOMBING RANGE,12/09/2024,2.8,0.0, ,25.5,14.6,98,58,4.21,8.12
EVANS HEAD RAAF BOMBING RANGE,13/09/2024,3.0,14.8, ,19.4,12.6,95,66,8.15,16.32
EVANS HEAD RAAF BOMBING RANGE,14/09/2024,3.0,4.0, ,20.7,12.0,96,61,3.68,17.57
EVANS HEAD RAAF BOMBING RANGE,15/09/2024,4.1,0.0, ,20.4,11.0,95,47,7.89,18.65
EVANS HEAD RAAF BOMBING RANGE,16/09/2024,3.8,0.0, ,20.3,10.3,82,50,4.26,20.66
EVANS HEAD RAAF BOMBING RANGE,17/09/2024,4.0,0.0, ,21.1,11.3,81,53,4.88,21.61
EVANS HEAD RAAF BOMBING RANGE,18/09/2024,5.0,0.0, ,27.9,11.1,93,37,3.85,21.70
EVANS HEAD RAAF BOMBING RANGE,19/09/2024,4.7,0.0, ,28.3,13.5,92,37,3.41,18.78
EVANS HEAD RAAF BOMBING RANGE,20/09/2024,6.5,0.0, ,31.7,11.9,81,10,3.47,22.28
EVANS HEAD RAAF BOMBING RANGE,21/09/2024,4.5,0.0, ,24.5,10.0,81,35,3.08,22.42
EVANS HEAD RAAF BOMBING RANGE,22/09/2024,4.8,0.0, ,25.1,14.6,85,34,3.64,21.68
EVANS HEAD RAAF BOMBING RANGE,23/09/2024,4.5,0.0, ,24.5,11.2,93,40,3.50,22.82
EVANS HEAD RAAF BOMBING RANGE,24/09/2024,4.6,0.0, ,27.7,14.0,99,47,3.87,21.27
EVANS HEAD RAAF BOMBING RANGE,25/09/2024,5.0,0.0, ,27.6,13.6,93,46,4.31,23.04
EVANS HEAD RAAF BOMBING RANGE,26/09/2024,2.7,0.0, ,23.7,14.9,97,58,2.94,10.63
EVANS HEAD RAAF BOMBING RANGE,27/09/2024,0.9,23.2, ,17.6,14.6,99,94,10.75,5.21
EVANS HEAD RAAF BOMBING RANGE,28/09/2024,1.4,95.2, ,22.5,14.8,99,90,13.84,7.43
EVANS HEAD RAAF BOMBING RANGE,29/09/2024,3.7,44.6, ,24.5,15.7,98,70,6.20,20.39
EVANS HEAD RAAF BOMBING RANGE,30/09/2024,3.9,0.4, ,24.5,16.2,99,65,6.07,20.38
Totals:,,114.8,183.8, ,,,,,, 
