'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EVANS HEAD RAAF BOMBING RANGE New South Wales for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EVANS HEAD RAAF BOMBING RANGE,01/02/2025,5.5,1.8, ,29.6,22.3,95,66,5.11,26.11
EVANS HEAD RAAF BOMBING RANGE,02/02/2025,5.4,0.0, ,28.8,20.0,89,57,5.57,21.94
EVANS HEAD RAAF BOMBING RANGE,03/02/2025,5.9,3.0, ,29.5,21.5,91,61,4.54,27.76
EVANS HEAD RAAF BOMBING RANGE,04/02/2025,4.3,6.2, ,28.7,21.0,98,66,3.14,20.20
EVANS HEAD RAAF BOMBING RANGE,05/02/2025,4.0,0.0, ,28.6,21.9,92,69,2.61,17.91
EVANS HEAD RAAF BOMBING RANGE,06/02/2025,5.6,0.0, ,29.5,21.6,97,59,3.25,26.82
EVANS HEAD RAAF BOMBING RANGE,07/02/2025,5.7,0.0, ,29.8,20.1,94,55,3.59,26.58
EVANS HEAD RAAF BOMBING RANGE,08/02/2025,5.5,1.0, ,28.7,19.4,91,62,3.63,27.42
EVANS HEAD RAAF BOMBING RANGE,09/02/2025,6.0,0.0, ,29.9,21.2,91,53,3.42,27.69
EVANS HEAD RAAF BOMBING RANGE,10/02/2025,5.5,0.2, ,31.4,20.3,98,57,3.32,24.73
EVANS HEAD RAAF BOMBING RANGE,11/02/2025,5.8,0.0, ,31.2,20.4,97,58,3.89,26.82
EVANS HEAD RAAF BOMBING RANGE,12/02/2025,4.8,6.2, ,29.0,20.2,99,68,3.01,24.06
EVANS HEAD RAAF BOMBING RANGE,13/02/2025,5.2,15.6, ,28.7,21.5,96,64,3.36,25.69
EVANS HEAD RAAF BOMBING RANGE,14/02/2025,5.0,0.4, ,28.5,20.7,98,64,3.11,25.03
EVANS HEAD RAAF BOMBING RANGE,15/02/2025,6.4,2.6, ,34.7,21.8,98,47,3.97,24.46
EVANS HEAD RAAF BOMBING RANGE,16/02/2025,5.5,23.4, ,27.2,21.3,97,58,6.80,26.18
EVANS HEAD RAAF BOMBING RANGE,17/02/2025,5.8,0.0, ,26.1,17.9,79,53,5.50,26.77
EVANS HEAD RAAF BOMBING RANGE,18/02/2025,5.1,0.8, ,27.3,18.4,91,59,3.62,25.65
EVANS HEAD RAAF BOMBING RANGE,19/02/2025,4.0,0.0, ,27.5,20.6,88,60,2.94,16.83
EVANS HEAD RAAF BOMBING RANGE,20/02/2025,4.9,2.6, ,28.3,19.6,95,57,3.15,23.28
EVANS HEAD RAAF BOMBING RANGE,21/02/2025,5.9,0.2, ,28.8,21.2,86,54,5.43,24.83
EVANS HEAD RAAF BOMBING RANGE,22/02/2025,6.0,1.4, ,28.7,20.8,82,52,5.12,25.23
EVANS HEAD RAAF BOMBING RANGE,23/02/2025,4.9,1.2, ,28.9,19.9,95,59,3.66,22.51
EVANS HEAD RAAF BOMBING RANGE,24/02/2025,5.3,0.0, ,29.0,19.4,90,59,3.22,25.76
EVANS HEAD RAAF BOMBING RANGE,25/02/2025, ,0.0, ,30.0,20.2,90,55,4.21, 
EVANS HEAD RAAF BOMBING RANGE,26/02/2025,5.8,0.2, ,29.2,21.9,86,53,4.29,25.75
EVANS HEAD RAAF BOMBING RANGE,27/02/2025,5.2,0.0, ,29.3,19.6,89,58,3.44,24.31
EVANS HEAD RAAF BOMBING RANGE,28/02/2025,5.1,0.0, ,28.6,20.4,89,56,3.29,23.70
Totals:,,144.1,66.8, ,,,,,, 
