'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EVANS HEAD RAAF BOMBING RANGE New South Wales for May 2025,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EVANS HEAD RAAF BOMBING RANGE,01/05/2025,3.9,0.8, ,21.5,15.1,75,55,7.06,16.19
EVANS HEAD RAAF BOMBING RANGE,02/05/2025, ,37.8, , ,14.1,97,70,5.53,11.40
EVANS HEAD RAAF BOMBING RANGE,03/05/2025,2.2, , ,21.6,13.8,99,78,5.74,15.44
EVANS HEAD RAAF BOMBING RANGE,04/05/2025,2.6,7.2, ,23.0,15.0,99,70,4.61,15.25
EVANS HEAD RAAF BOMBING RANGE,05/05/2025,2.6,2.0, ,23.9,18.0,94,67,4.47,12.17
EVANS HEAD RAAF BOMBING RANGE,06/05/2025,2.4,8.2, ,23.2,15.6,99,72,3.02,15.52
EVANS HEAD RAAF BOMBING RANGE,07/05/2025,2.6,0.2, ,23.8,15.7,95,63,2.76,15.53
EVANS HEAD RAAF BOMBING RANGE,08/05/2025,3.6,0.0, ,24.9,14.0,97,53,6.22,15.44
EVANS HEAD RAAF BOMBING RANGE,09/05/2025,2.7,10.0, ,20.7,16.3,97,62,8.09,11.50
EVANS HEAD RAAF BOMBING RANGE,10/05/2025,2.7,9.6, ,21.8,15.3,94,63,6.99,10.70
EVANS HEAD RAAF BOMBING RANGE,11/05/2025,3.2,8.4, ,23.5,17.0,93,59,6.41,14.32
EVANS HEAD RAAF BOMBING RANGE,12/05/2025,2.4,9.2, ,23.1,17.2,98,71,4.93,12.89
EVANS HEAD RAAF BOMBING RANGE,13/05/2025,2.1,8.8, ,23.3,17.0,99,73,4.28,11.01
EVANS HEAD RAAF BOMBING RANGE,14/05/2025,2.0,12.6, ,23.1,16.9,99,71,3.21,10.27
EVANS HEAD RAAF BOMBING RANGE,15/05/2025,1.3,22.6, ,20.9,16.5,99,88,5.97,7.85
EVANS HEAD RAAF BOMBING RANGE,16/05/2025,2.1,6.2, ,23.6,15.5,99,70,2.56,12.70
EVANS HEAD RAAF BOMBING RANGE,17/05/2025,1.8,25.8, ,22.7,16.5,99,77,2.53,10.61
EVANS HEAD RAAF BOMBING RANGE,18/05/2025,1.8,0.4, ,20.9,15.6,96,74,5.02,7.33
EVANS HEAD RAAF BOMBING RANGE,19/05/2025,1.9,7.2, ,18.8,13.6,90,71,4.52,9.55
EVANS HEAD RAAF BOMBING RANGE,20/05/2025,2.2,0.2, ,22.9,13.7,97,71,3.76,14.21
EVANS HEAD RAAF BOMBING RANGE,21/05/2025,1.8,0.2, ,22.9,16.5,99,79,2.87,11.68
EVANS HEAD RAAF BOMBING RANGE,22/05/2025,2.3,0.8, ,25.1,14.8,99,64,2.46,13.69
EVANS HEAD RAAF BOMBING RANGE,23/05/2025, ,0.2, , ,15.9,99,57,2.90,14.06
EVANS HEAD RAAF BOMBING RANGE,24/05/2025,2.9, , ,25.2,14.9,94,48,3.19,13.70
EVANS HEAD RAAF BOMBING RANGE,25/05/2025,2.2,0.0, ,23.4,14.2,88,58,2.64,10.14
EVANS HEAD RAAF BOMBING RANGE,26/05/2025,2.0,0.0, ,23.6,14.5,98,69,2.74,12.37
EVANS HEAD RAAF BOMBING RANGE,27/05/2025,3.4,0.0, ,28.6,16.0,99,43,4.15,11.06
EVANS HEAD RAAF BOMBING RANGE,28/05/2025,2.9,0.0, ,22.4,11.1,74,38,2.94,13.73
EVANS HEAD RAAF BOMBING RANGE,29/05/2025,2.7,0.0, ,20.6,13.1,74,51,3.63,11.64
EVANS HEAD RAAF BOMBING RANGE,30/05/2025,1.6,0.0, ,20.1,15.3,98,74,5.29,6.77
EVANS HEAD RAAF BOMBING RANGE,31/05/2025,2.6,51.8, ,22.2,15.9,98,58,6.30,10.40
Totals:,,70.5,230.2, ,,,,,, 
