'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EVANS HEAD RAAF BOMBING RANGE New South Wales for July 2025,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EVANS HEAD RAAF BOMBING RANGE,01/07/2025,2.5,33.2, ,20.2,10.7,97,45,3.80,13.17
EVANS HEAD RAAF BOMBING RANGE,02/07/2025,3.1,0.0, ,17.3,9.1,73,50,6.87,12.67
EVANS HEAD RAAF BOMBING RANGE,03/07/2025,3.1,0.0, ,21.9,8.4,79,40,4.10,13.29
EVANS HEAD RAAF BOMBING RANGE,04/07/2025,2.5,0.0, ,19.9,8.9,74,43,3.09,13.32
EVANS HEAD RAAF BOMBING RANGE,05/07/2025,1.9,0.0, ,20.3,8.1,92,62,2.67,12.94
EVANS HEAD RAAF BOMBING RANGE,06/07/2025,2.4,0.0, ,25.6,13.3,97,55,2.90,12.62
EVANS HEAD RAAF BOMBING RANGE,07/07/2025,2.6,2.4, ,21.8,13.5,96,39,3.23,13.46
EVANS HEAD RAAF BOMBING RANGE,08/07/2025,2.9,0.0, ,22.9,9.4,81,39,3.35,12.88
EVANS HEAD RAAF BOMBING RANGE,09/07/2025,2.6,0.0, ,24.5,11.7,91,47,3.11,10.43
EVANS HEAD RAAF BOMBING RANGE,10/07/2025,3.4,0.0, ,23.6,13.0,91,30,4.11,12.43
EVANS HEAD RAAF BOMBING RANGE,11/07/2025,3.0,0.0, ,20.5,7.1,66,32,3.19,13.66
EVANS HEAD RAAF BOMBING RANGE,12/07/2025,2.9,0.0, ,19.4,10.1,64,39,3.60,13.72
EVANS HEAD RAAF BOMBING RANGE,13/07/2025,2.8,0.0, ,22.7,10.0,89,41,3.20,13.77
EVANS HEAD RAAF BOMBING RANGE,14/07/2025,3.2,0.0, ,22.2,9.4,66,33,3.40,13.81
EVANS HEAD RAAF BOMBING RANGE,15/07/2025,2.3,0.0, ,19.8,8.8,71,49,2.95,9.61
EVANS HEAD RAAF BOMBING RANGE,16/07/2025,2.6,0.0, ,19.3,12.3,78,47,3.44,13.98
EVANS HEAD RAAF BOMBING RANGE,17/07/2025,2.2,0.0, ,20.9,10.6,91,61,3.13,13.69
EVANS HEAD RAAF BOMBING RANGE,18/07/2025,1.9,9.2, ,19.5,13.0,98,70,5.37,10.76
EVANS HEAD RAAF BOMBING RANGE,19/07/2025,2.7,0.0, ,20.2,10.7,76,60,4.95,12.50
EVANS HEAD RAAF BOMBING RANGE,20/07/2025,2.1,0.0, ,18.7,11.8,96,66,6.01,11.17
EVANS HEAD RAAF BOMBING RANGE,21/07/2025,2.0,53.2, ,19.6,12.1,97,63,4.11,9.94
EVANS HEAD RAAF BOMBING RANGE,22/07/2025,1.5,8.8, ,19.5,12.2,97,75,2.32,10.10
EVANS HEAD RAAF BOMBING RANGE,23/07/2025,1.8,0.6, ,22.2,11.5,99,69,2.91,9.18
EVANS HEAD RAAF BOMBING RANGE,24/07/2025,2.4,5.6, ,17.3,9.6,93,44,3.70,14.59
EVANS HEAD RAAF BOMBING RANGE,25/07/2025,2.2,0.0, ,18.4,7.8,91,53,3.12,14.38
EVANS HEAD RAAF BOMBING RANGE,26/07/2025,1.1,0.0, ,16.9,10.4,99,76,2.46,5.64
EVANS HEAD RAAF BOMBING RANGE,27/07/2025,3.1,18.2, ,20.9,10.6,99,39,4.61,14.89
EVANS HEAD RAAF BOMBING RANGE,28/07/2025,3.0,0.0, ,20.0,8.6,83,36,3.69,14.83
EVANS HEAD RAAF BOMBING RANGE,29/07/2025,2.6,0.0, ,18.8,7.0,80,39,2.93,14.30
EVANS HEAD RAAF BOMBING RANGE,30/07/2025,3.3,0.0, ,24.7,9.6,76,41,3.17,14.18
EVANS HEAD RAAF BOMBING RANGE,31/07/2025,3.0,0.0, ,19.1,9.6,80,51,5.20,15.14
Totals:,,78.7,131.2, ,,,,,, 
