'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FORBES AIRPORT New South Wales for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FORBES AIRPORT,01/12/2024,5.8,31.2, ,31.5,19.4,100,28,2.98,21.65
FORBES AIRPORT,02/12/2024,7.6,0.2, ,35.2,15.5,96,27,3.58,28.10
FORBES AIRPORT,03/12/2024,3.5,16.2, ,27.8,20.4,100,55,3.67,11.79
FORBES AIRPORT,04/12/2024,6.0,7.0, ,32.8,20.8,100,51,2.68,26.45
FORBES AIRPORT,05/12/2024,7.1,0.0, ,34.0,21.5,94,44,3.16,29.63
FORBES AIRPORT,06/12/2024,6.2,0.0, ,34.7,21.7,100,49,3.55,23.82
FORBES AIRPORT,07/12/2024,4.1,26.2, ,31.5,20.6,100,70,3.59,16.97
FORBES AIRPORT,08/12/2024,7.0,13.4, ,29.4,21.6,100,28,3.03,31.67
FORBES AIRPORT,09/12/2024,6.0,0.0, ,28.7,14.2,93,28,2.42,28.02
FORBES AIRPORT,10/12/2024,6.3,0.0, ,30.4,13.6,93,25,1.76,31.50
FORBES AIRPORT,11/12/2024,6.6,0.0, ,29.8,14.2,92,22,2.25,31.91
FORBES AIRPORT,12/12/2024,6.3,0.0, ,31.8,12.5,93,24,1.42,31.95
FORBES AIRPORT,13/12/2024,6.3,0.0, ,34.7,14.3,96,21,1.22,30.10
FORBES AIRPORT,14/12/2024,6.6,0.0, ,36.7,15.6,93,19,1.35,30.09
FORBES AIRPORT,15/12/2024,6.9,0.0, ,37.5,17.4,88,19,1.20,32.03
FORBES AIRPORT,16/12/2024,8.6,0.0, ,37.5,20.1,84,24,3.23,32.04
FORBES AIRPORT,17/12/2024,10.3,0.0, ,36.9,23.4,61,22,5.99,27.61
FORBES AIRPORT,18/12/2024,8.6,0.0, ,31.1,15.1,67,22,4.93,32.08
FORBES AIRPORT,19/12/2024,7.2,0.0, ,29.9,13.2,70,23,2.91,32.09
FORBES AIRPORT,20/12/2024,6.8,0.0, ,32.5,12.9,85,22,1.89,31.99
FORBES AIRPORT,21/12/2024,8.6,0.0, ,37.8,15.1,83,12,2.87,31.82
FORBES AIRPORT,22/12/2024,7.7,0.0, ,33.8,13.1,89,13,2.70,32.09
FORBES AIRPORT,23/12/2024,7.7,0.0, ,25.0,15.3,63,19,5.31,31.82
FORBES AIRPORT,24/12/2024,7.1,0.0, ,28.7,9.4,68,24,3.26,32.17
FORBES AIRPORT,25/12/2024,6.2,0.0, ,34.2,10.9,84,17,1.04,32.16
FORBES AIRPORT,26/12/2024,10.4,0.0, ,37.5,13.5,77,20,5.50,32.11
FORBES AIRPORT,27/12/2024,8.7,3.0, ,30.8,20.4,91,19,5.92,32.02
FORBES AIRPORT,28/12/2024, ,0.0, , ,10.6,81,16,2.49,30.41
FORBES AIRPORT,29/12/2024, , , ,31.3, ,80,23,2.05,32.00
FORBES AIRPORT,30/12/2024,6.6,0.0, ,34.8,12.7,83,19,1.51,30.67
FORBES AIRPORT,31/12/2024,7.7,0.0, ,35.9,15.1,66,15,2.24,31.67
Totals:,,204.5,97.2, ,,,,,, 
