'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FORBES AIRPORT New South Wales for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FORBES AIRPORT,01/01/2025,8.3,0.0, ,36.6,17.0,82,11,2.90,30.74
FORBES AIRPORT,02/01/2025, ,0.0, , ,17.6,69,14,3.32,31.21
FORBES AIRPORT,03/01/2025, , , ,35.0, ,78,24,3.64,29.83
FORBES AIRPORT,04/01/2025,9.9,0.0, ,37.4,20.7,69,21,5.00,30.32
FORBES AIRPORT,05/01/2025,8.6,0.0, ,38.9,18.4,69,20,4.30,21.22
FORBES AIRPORT,06/01/2025,9.0,1.4, ,39.4,18.6,86,19,4.86,22.06
FORBES AIRPORT,07/01/2025,6.3,13.2, ,31.4,19.1,94,40,5.07,21.68
FORBES AIRPORT,08/01/2025,7.3,5.0, ,29.7,15.7,76,32,4.07,30.95
FORBES AIRPORT,09/01/2025,6.8,0.0, ,31.6,14.3,82,29,3.04,28.33
FORBES AIRPORT,10/01/2025,6.9,0.0, ,32.6,19.3,75,32,3.14,26.90
FORBES AIRPORT,11/01/2025, ,7.8, , ,18.9,94,39,3.63,19.23
FORBES AIRPORT,12/01/2025,6.9, , ,33.4,17.8,99,35,2.92,29.23
FORBES AIRPORT,13/01/2025,6.9,15.2, ,34.7,16.9,94,32,2.91,27.55
FORBES AIRPORT,14/01/2025,7.6,0.6, ,37.8,19.2,93,21,2.26,30.26
FORBES AIRPORT,15/01/2025,8.9,0.0, ,38.9,20.2,83,29,5.69,21.79
FORBES AIRPORT,16/01/2025, ,0.0, , ,16.0,71,15,6.12,30.39
FORBES AIRPORT,17/01/2025, , , ,30.3, , , , ,30.67
FORBES AIRPORT,18/01/2025, ,0.0, , ,17.5,67,33,7.65,30.31
FORBES AIRPORT,19/01/2025,7.4, , ,31.7,14.0,89,24,3.63,30.37
FORBES AIRPORT,20/01/2025,6.6,0.0, ,34.5,13.7,82,20,1.69,29.80
FORBES AIRPORT,21/01/2025,7.9,0.0, ,38.7,17.8,64,15,2.98,24.07
FORBES AIRPORT,22/01/2025,9.7,0.0, ,39.9,21.7,48,16,4.33,25.00
FORBES AIRPORT,23/01/2025,7.9,0.0, ,33.7,18.9,63,29,4.43,25.57
FORBES AIRPORT,24/01/2025,7.4,0.0, ,31.4,12.4,62,23,3.45,29.55
FORBES AIRPORT,25/01/2025, ,0.0, , ,15.6,80,23,1.98,29.22
FORBES AIRPORT,26/01/2025, , , , , ,59,17,2.06,28.39
FORBES AIRPORT,27/01/2025,10.2, , ,41.1,23.6,67,22,5.01,27.51
FORBES AIRPORT,28/01/2025,10.7,0.0, ,41.0,23.7,64,20,5.20,28.79
FORBES AIRPORT,29/01/2025,8.0, , ,36.3,20.5,77,10,3.28,26.27
FORBES AIRPORT,30/01/2025,7.4,0.0, ,35.5,14.9,74,13,2.65,28.07
FORBES AIRPORT,31/01/2025,7.6,0.0, ,36.9,21.1,77,29,3.65,24.40
Totals:,,184.2,43.2, ,,,,,, 
