'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FORBES AIRPORT New South Wales for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FORBES AIRPORT,01/03/2025,6.1,0.0, ,38.1,17.0,78,18,1.76,24.49
FORBES AIRPORT,02/03/2025,7.0,0.0, ,37.0,17.5,70,15,2.78,24.29
FORBES AIRPORT,03/03/2025,7.2,0.0, ,35.0,19.9,74,21,3.67,24.00
FORBES AIRPORT,04/03/2025,6.7,0.0, ,32.6,17.2,77,34,4.56,22.29
FORBES AIRPORT,05/03/2025,6.6,0.0, ,33.7,15.2,81,20,3.23,23.56
FORBES AIRPORT,06/03/2025,7.2,0.0, ,33.2,15.2,79,26,4.60,23.34
FORBES AIRPORT,07/03/2025,7.3,0.0, ,32.7,16.6,73,30,5.28,23.20
FORBES AIRPORT,08/03/2025,7.1,0.0, ,34.5,16.2,73,28,4.28,22.23
FORBES AIRPORT,09/03/2025,4.9,0.0, ,34.8,18.9,100,33,2.89,15.13
FORBES AIRPORT,10/03/2025,5.2,14.4, ,32.9,20.5,100,39,2.62,21.58
FORBES AIRPORT,11/03/2025,5.4,0.0, ,32.9,20.0,92,36,2.80,21.75
FORBES AIRPORT,12/03/2025,4.4,0.0, ,31.4,18.7,83,41,1.94,18.82
FORBES AIRPORT,13/03/2025,4.8,0.0, ,34.5,18.1,89,29,1.46,21.26
FORBES AIRPORT,14/03/2025,5.0,0.0, ,37.9,17.8,81,23,1.38,21.17
FORBES AIRPORT,15/03/2025,6.8,0.0, ,39.8,20.0,71,16,2.69,21.29
FORBES AIRPORT,16/03/2025,9.5,0.0, ,38.6,22.6,67,16,6.71,14.69
FORBES AIRPORT,17/03/2025,5.6,0.0, ,25.4,9.7,74,20,4.30,21.22
FORBES AIRPORT,18/03/2025,5.5,0.0, ,31.0,12.4,68,33,3.40,19.77
FORBES AIRPORT,19/03/2025,6.1,0.0, ,33.5,17.4,87,34,4.77,17.77
FORBES AIRPORT,20/03/2025,7.2,0.2, ,35.2,19.8,84,27,5.09,19.99
FORBES AIRPORT,21/03/2025,3.7,11.4, ,29.8,20.0,100,48,2.66,14.32
FORBES AIRPORT,22/03/2025,4.0,0.2, ,29.8,14.5,100,31,1.36,20.21
FORBES AIRPORT,23/03/2025,3.9,0.0, ,31.8,15.3,89,37,1.73,16.55
FORBES AIRPORT,24/03/2025,4.1,0.0, ,31.5,17.7,92,40,2.01,17.59
FORBES AIRPORT,25/03/2025,4.4,0.0, ,31.5,18.9,89,35,2.54,16.29
FORBES AIRPORT,26/03/2025,4.8,0.0, ,32.0,19.3,82,33,2.49,19.14
FORBES AIRPORT,27/03/2025,5.2,0.0, ,30.8,16.9,78,33,3.55,17.72
FORBES AIRPORT,28/03/2025,3.2,0.0, ,25.7,18.3,88,40,3.66,6.00
FORBES AIRPORT,29/03/2025,2.2,4.6, ,25.1,16.4,100,72,3.03,9.67
FORBES AIRPORT,30/03/2025,5.0,0.0, ,29.0,16.2,86,40,4.89,16.22
FORBES AIRPORT,31/03/2025,5.3,0.0, ,28.8,17.8,76,29,4.08,17.72
Totals:,,171.4,30.8, ,,,,,, 
