'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FORBES AIRPORT New South Wales for July 2025,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FORBES AIRPORT,01/07/2025,1.9,0.0, ,15.5,-1.7,99,47,4.03,9.11
FORBES AIRPORT,02/07/2025,2.0,1.4, ,15.9,6.1,93,60,6.52,10.95
FORBES AIRPORT,03/07/2025,1.0,0.0, ,13.8,4.6,99,64,1.85,7.42
FORBES AIRPORT,04/07/2025,1.0,0.2, ,17.0,-1.2,100,55,0.95,11.48
FORBES AIRPORT,05/07/2025,1.3,0.0, ,15.7,-0.7,100,56,2.42,6.79
FORBES AIRPORT,06/07/2025,2.5,0.0, ,19.7,6.4,89,42,4.08,10.44
FORBES AIRPORT,07/07/2025,1.1,0.0, ,16.5,2.7,99,57,1.44,10.22
FORBES AIRPORT,08/07/2025,1.8,0.0, ,16.4,2.3,99,54,4.50,8.08
FORBES AIRPORT,09/07/2025,1.3,0.0, ,17.9,5.0,96,42,1.25,10.62
FORBES AIRPORT,10/07/2025,2.3,0.0, ,13.8,7.8,81,53,6.96,9.05
FORBES AIRPORT,11/07/2025,1.5,0.0, ,17.0,0.1,99,56,2.80,10.48
FORBES AIRPORT,12/07/2025,1.2,0.0, ,15.9,1.3,99,53,1.41,10.53
FORBES AIRPORT,13/07/2025,1.7,0.0, ,18.0,-3.0,99,45,2.26,11.76
FORBES AIRPORT,14/07/2025,1.4,0.0, ,14.4,1.6,93,42,1.80,11.94
FORBES AIRPORT,15/07/2025, ,0.0, ,12.1,-1.0,99,64,1.20, 
FORBES AIRPORT,16/07/2025,0.9,0.2, ,14.2,-2.0,100,48,0.64,11.61
FORBES AIRPORT,17/07/2025,1.2,0.0, ,14.8,-3.8,99,47,1.31,12.14
FORBES AIRPORT,18/07/2025,1.3,0.0, ,16.4,-3.4,99,41,1.23,12.33
FORBES AIRPORT,19/07/2025,1.1,0.0, ,16.1,-4.5,99,43,0.71,12.36
FORBES AIRPORT,20/07/2025,1.4,0.0, ,17.0,-4.5,99,39,1.30,12.46
FORBES AIRPORT,21/07/2025,2.1,0.0, ,20.2,-3.9,99,46,2.84,11.97
FORBES AIRPORT,22/07/2025,2.5,0.0, ,19.8,6.9,100,53,6.71,8.37
FORBES AIRPORT,23/07/2025,1.3,15.4, ,14.2,5.3,100,53,1.80,11.60
FORBES AIRPORT,24/07/2025,1.0,0.2, ,13.5,-1.7,99,51,0.66,12.75
FORBES AIRPORT,25/07/2025,1.7,0.0, ,13.9,-2.1,99,43,3.05,6.76
FORBES AIRPORT,26/07/2025,2.0,4.0, ,16.5,3.2,99,64,8.04,9.06
FORBES AIRPORT,27/07/2025,0.9,3.8, ,12.7,9.1,99,85,6.09,7.61
FORBES AIRPORT,28/07/2025,0.9,1.4, ,11.0,7.8,97,83,4.59,7.08
FORBES AIRPORT,29/07/2025,1.3,0.0, ,14.9,5.5,99,55,1.29,10.56
FORBES AIRPORT,30/07/2025,0.8,3.0, ,10.1,7.0,99,83,2.51,6.82
FORBES AIRPORT,31/07/2025,1.9,4.0, ,15.4,6.3,93,54,3.33,13.10
Totals:,,44.3,33.6, ,,,,,, 
