'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FORBES AIRPORT New South Wales for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FORBES AIRPORT,01/08/2025,1.6,0.0, ,15.1,1.1,97,55,2.39,13.52
FORBES AIRPORT,02/08/2025,2.1,0.0, ,16.0,5.5,97,57,5.44,11.17
FORBES AIRPORT,03/08/2025,2.8,0.0, ,19.4,8.6,86,47,4.70,13.86
FORBES AIRPORT,04/08/2025,1.8,0.0, ,20.5,3.1,100,52,1.61,13.95
FORBES AIRPORT,05/08/2025,2.0,0.0, ,19.2,5.5,99,50,2.41,13.38
FORBES AIRPORT,06/08/2025,1.6,0.0, ,17.3,-0.4,99,42,1.19,13.70
FORBES AIRPORT,07/08/2025,1.6,0.0, ,17.2,-1.2,99,42,1.17,14.31
FORBES AIRPORT,08/08/2025,1.1,0.0, ,13.9,5.8,99,70,1.92,7.36
FORBES AIRPORT,09/08/2025,2.6,0.2, ,19.4,5.3,91,48,3.79,13.93
FORBES AIRPORT,10/08/2025,2.0,0.0, ,18.0,2.8,99,50,2.31,14.69
FORBES AIRPORT,11/08/2025,1.9,0.0, ,17.6,3.5,98,44,1.80,14.70
FORBES AIRPORT,12/08/2025,1.6,0.0, ,18.3,-0.4,99,39,0.82,14.81
FORBES AIRPORT,13/08/2025,1.0,2.4, ,13.5,1.3,99,82,0.92,9.05
FORBES AIRPORT,14/08/2025,1.9,0.2, ,17.8,4.0,100,48,1.69,14.61
FORBES AIRPORT,15/08/2025,2.2,0.0, ,19.3,0.8,99,40,1.91,13.93
FORBES AIRPORT,16/08/2025,2.0,0.0, ,15.2,6.5,99,44,2.70,12.53
FORBES AIRPORT,17/08/2025,1.6,0.2, ,13.8,-3.7,99,44,1.31,13.79
FORBES AIRPORT,18/08/2025,2.5,0.0, ,16.0,1.4,91,30,2.60,15.77
FORBES AIRPORT,19/08/2025,2.1,0.0, ,17.7,4.8,99,52,3.02,11.15
FORBES AIRPORT,20/08/2025,1.2,8.2, ,12.7,6.6,93,74,2.69,6.93
FORBES AIRPORT,21/08/2025,1.8,10.0, ,16.9,9.1,99,61,2.07,12.24
FORBES AIRPORT,22/08/2025,2.0,0.2, ,18.2,2.8,99,54,1.48,16.31
FORBES AIRPORT,23/08/2025,2.1,0.0, ,20.5,3.4,100,50,1.27,15.45
FORBES AIRPORT,24/08/2025,1.8,0.0, ,18.0,0.7,100,47,0.68,16.30
FORBES AIRPORT,25/08/2025,1.9,0.0, ,20.7,-0.1,99,50,0.66,16.81
FORBES AIRPORT,26/08/2025,3.3,0.0, ,23.4,3.5,100,46,3.82,16.37
FORBES AIRPORT,27/08/2025,3.3,2.6, ,18.8,11.7,99,35,5.68,11.69
FORBES AIRPORT,28/08/2025,2.5,0.8, ,17.6,1.8,100,46,3.38,15.28
FORBES AIRPORT,29/08/2025,3.7,0.0, ,19.4,5.6,92,32,6.04,12.16
FORBES AIRPORT,30/08/2025,2.7,3.2, ,13.8,5.2,96,45,6.96,14.87
FORBES AIRPORT,31/08/2025,2.1,0.0, ,16.2,-3.0,99,53,1.94,17.77
Totals:,,64.4,28, ,,,,,, 
