'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FOWLERS GAP New South Wales for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FOWLERS GAP,01/02/2025,12.2,0.0, ,43.0,22.6,32,10,5.28,28.98
FOWLERS GAP,02/02/2025,12.0,0.0, ,41.3,28.4,44,16,6.41,25.01
FOWLERS GAP,03/02/2025,8.9,0.0, ,39.7,26.2,55,16,4.10,21.62
FOWLERS GAP,04/02/2025,10.1,0.0, ,40.3,25.5,38,13,4.06,28.77
FOWLERS GAP,05/02/2025,9.4,0.0, ,39.5,26.1,58,20,3.92,28.48
FOWLERS GAP,06/02/2025,9.0,0.0, ,39.5,26.6,50,17,3.36,28.52
FOWLERS GAP,07/02/2025,9.9,0.0, ,42.3,27.4,73,15,5.18,20.42
FOWLERS GAP,08/02/2025,8.7,12.4, ,37.4,22.8,84,23,4.34,28.56
FOWLERS GAP,09/02/2025,11.0,0.0, ,38.1,24.8,29,20,5.97,25.87
FOWLERS GAP,10/02/2025,11.9,0.0, ,39.0,25.2,26,13,6.04,28.07
FOWLERS GAP,11/02/2025,9.8,0.0, ,40.4,21.9,29,5,3.75,27.83
FOWLERS GAP,12/02/2025,8.2,0.0, ,40.4,23.6,43,13,2.60,27.79
FOWLERS GAP,13/02/2025,11.6,0.0, ,41.8,28.2,39,12,6.16,19.68
FOWLERS GAP,14/02/2025,10.0,0.0, ,32.2,21.7,51,18,7.47,24.94
FOWLERS GAP,15/02/2025,8.7,0.0, ,27.4,16.9,53,20,7.57,27.00
FOWLERS GAP,16/02/2025,8.3,0.0, ,25.3,14.3,41,14,6.58,27.06
FOWLERS GAP,17/02/2025,7.5,0.0, ,29.9,12.2,34,10,3.68,26.88
FOWLERS GAP,18/02/2025,8.4,0.0, ,33.1,14.6,29,9,3.93,26.46
FOWLERS GAP,19/02/2025,9.5,0.0, ,30.7,19.0,41,15,6.44,26.55
FOWLERS GAP,20/02/2025,9.2,0.0, ,30.6,16.9,40,12,5.95,26.41
FOWLERS GAP,21/02/2025,7.7,0.0, ,37.7,16.7,34,7,2.71,26.23
FOWLERS GAP,22/02/2025,11.6,0.0, ,40.9,20.7,53,17,6.87,22.17
FOWLERS GAP,23/02/2025,11.4,0.2, ,41.3,25.3,60,14,6.24,25.37
FOWLERS GAP,24/02/2025,10.8,0.0, ,35.7,21.7,40,17,6.76,25.91
FOWLERS GAP,25/02/2025, ,0.0, ,40.7,22.1,29,10,4.46, 
FOWLERS GAP,26/02/2025,10.2,0.0, ,43.1,26.0,26,8,4.10,24.75
FOWLERS GAP,27/02/2025,10.6,0.0, ,41.8,24.8,21,7,4.54,25.18
FOWLERS GAP,28/02/2025,9.1,0.0, ,40.1,25.6,27,12,3.81,23.55
Totals:,,265.7,12.6, ,,,,,, 
