'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GLEN INNES AIRPORT New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GLEN INNES AIRPORT,01/09/2024,4.4,0.0, ,26.1,3.4,97,34,3.84,19.33
GLEN INNES AIRPORT,02/09/2024,5.5,0.0, ,20.4,9.9,79,20,7.88,19.48
GLEN INNES AIRPORT,03/09/2024,4.5,0.0, ,19.6,-2.1,84,14,4.58,19.63
GLEN INNES AIRPORT,04/09/2024,3.5,0.0, ,18.1,-4.2,98,27,3.39,19.77
GLEN INNES AIRPORT,05/09/2024,2.9,0.0, ,18.9,-4.0,98,43,2.39,19.90
GLEN INNES AIRPORT,06/09/2024,3.2,0.0, ,19.9,-1.9,97,46,3.19,19.99
GLEN INNES AIRPORT,07/09/2024,3.5,0.0, ,22.2,2.3,99,45,3.02,20.11
GLEN INNES AIRPORT,08/09/2024,3.8,0.0, ,23.3,2.8,98,42,3.25,20.19
GLEN INNES AIRPORT,09/09/2024,3.4,0.0, ,21.5,4.6,97,33,3.27,14.15
GLEN INNES AIRPORT,10/09/2024,4.2,0.4, ,22.1,3.8,92,34,4.11,19.89
GLEN INNES AIRPORT,11/09/2024,3.6,0.0, ,21.6,9.0,97,41,3.88,17.03
GLEN INNES AIRPORT,12/09/2024,1.6,30.4, ,14.8,10.3,98,73,3.02,7.69
GLEN INNES AIRPORT,13/09/2024,3.3,11.4, ,15.6,7.0,94,47,5.44,20.86
GLEN INNES AIRPORT,14/09/2024,3.3,0.2, ,17.3,0.8,96,37,3.22,21.31
GLEN INNES AIRPORT,15/09/2024,3.6,0.0, ,16.2,-1.2,97,31,4.65,20.92
GLEN INNES AIRPORT,16/09/2024,3.9,0.0, ,16.2,0.1,87,26,4.88,21.67
GLEN INNES AIRPORT,17/09/2024,3.5,0.0, ,16.9,-3.0,90,34,3.40,21.84
GLEN INNES AIRPORT,18/09/2024,3.2,0.0, ,17.2,1.3,99,44,3.46,21.01
GLEN INNES AIRPORT,19/09/2024,4.7,0.0, ,19.9,0.4,96,25,5.43,22.12
GLEN INNES AIRPORT,20/09/2024,4.8,0.0, ,19.7,-3.2,83,17,4.63,22.35
GLEN INNES AIRPORT,21/09/2024,4.3,0.0, ,18.8,-3.0,90,21,3.90,22.52
GLEN INNES AIRPORT,22/09/2024,3.8,0.0, ,18.2,-3.8,91,27,3.28,22.68
GLEN INNES AIRPORT,23/09/2024,4.3,0.0, ,21.7,-3.7,92,19,2.71,22.91
GLEN INNES AIRPORT,24/09/2024,4.0,0.0, ,21.6,0.4,89,30,3.10,19.91
GLEN INNES AIRPORT,25/09/2024,3.9,0.0, ,22.4,3.0,93,30,3.04,17.90
GLEN INNES AIRPORT,26/09/2024,1.8,0.0, ,13.9,6.9,98,57,3.40,7.42
GLEN INNES AIRPORT,27/09/2024,2.2,23.2, ,14.2,9.0,95,70,8.59,12.86
GLEN INNES AIRPORT,28/09/2024,3.1,1.4, ,16.1,7.7,94,59,8.80,18.45
GLEN INNES AIRPORT,29/09/2024,4.1,0.8, ,20.2,9.9,97,50,6.20,22.29
GLEN INNES AIRPORT,30/09/2024,3.8,0.2, ,20.6,10.2,99,44,3.98,19.96
Totals:,,109.7,68, ,,,,,, 
