'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GLEN INNES AIRPORT New South Wales for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GLEN INNES AIRPORT,01/10/2024,4.2,0.0, ,19.4,3.4,98,30,3.46,24.15
GLEN INNES AIRPORT,02/10/2024,3.8,0.0, ,17.6,5.6,98,48,6.22,23.00
GLEN INNES AIRPORT,03/10/2024,3.5,0.4, ,16.0,6.4,98,53,5.93,24.38
GLEN INNES AIRPORT,04/10/2024,3.9,0.0, ,19.3,2.2,99,38,3.20,24.19
GLEN INNES AIRPORT,05/10/2024,4.0,0.0, ,22.1,3.2,93,54,6.02,19.64
GLEN INNES AIRPORT,06/10/2024, ,0.0, , ,5.0,92,34,4.96,24.95
GLEN INNES AIRPORT,07/10/2024,5.6, , ,25.1,1.1,95,21,3.88,25.10
GLEN INNES AIRPORT,08/10/2024, ,0.0, , ,2.3,92,26,4.21,25.20
GLEN INNES AIRPORT,09/10/2024,2.1, , ,16.9,11.7,95,76,7.97,10.30
GLEN INNES AIRPORT,10/10/2024,3.7,24.2, ,19.4,9.1,98,59,5.08,22.52
GLEN INNES AIRPORT,11/10/2024,4.3,0.2, ,21.6,4.8,99,37,2.68,24.88
GLEN INNES AIRPORT,12/10/2024,4.5,0.2, ,22.2,3.7,99,42,4.94,23.20
GLEN INNES AIRPORT,13/10/2024,2.8,5.6, ,15.4,8.3,93,70,6.50,18.52
GLEN INNES AIRPORT,14/10/2024,1.8,0.0, ,14.3,8.1,97,77,3.15,10.37
GLEN INNES AIRPORT,15/10/2024,2.9,1.2, ,19.3,6.7,99,60,3.05,16.28
GLEN INNES AIRPORT,16/10/2024,2.1,0.4, ,15.7,10.0,96,72,3.17,11.68
GLEN INNES AIRPORT,17/10/2024, ,6.0, , ,11.5,99,44,2.70,24.28
GLEN INNES AIRPORT,18/10/2024, , , ,23.7, ,99,61,4.72,20.39
GLEN INNES AIRPORT,19/10/2024,4.3,24.6, ,21.9,14.0,98,56,5.84,22.37
GLEN INNES AIRPORT,20/10/2024,4.5,0.0, ,23.0,7.3,98,39,3.39,22.74
GLEN INNES AIRPORT,21/10/2024,4.7,0.2, ,21.8,7.0,98,41,3.30,27.21
GLEN INNES AIRPORT,22/10/2024,4.4,0.0, ,21.8,2.5,98,35,2.95,24.35
GLEN INNES AIRPORT,23/10/2024,5.3,0.0, ,24.6,3.5,99,27,3.00,27.37
GLEN INNES AIRPORT,24/10/2024,5.0,0.0, ,24.4,6.4,94,37,4.17,23.14
GLEN INNES AIRPORT,25/10/2024,4.8,2.2, ,19.0,6.9,96,31,4.07,27.73
GLEN INNES AIRPORT,26/10/2024,4.6,0.0, ,20.8,2.4,99,34,3.61,25.86
GLEN INNES AIRPORT,27/10/2024,3.9,0.0, ,20.2,10.7,93,46,3.58,19.54
GLEN INNES AIRPORT,28/10/2024,4.1,0.0, ,22.5,7.0,99,44,4.10,18.90
GLEN INNES AIRPORT,29/10/2024,5.2,3.0, ,24.0,3.9,97,32,3.86,25.83
GLEN INNES AIRPORT,30/10/2024, ,0.0, , ,10.3,93,36,3.72,26.13
GLEN INNES AIRPORT,31/10/2024, , , ,25.6, , , , ,27.62
Totals:,,100,68.2, ,,,,,, 
