'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GLEN INNES AIRPORT New South Wales for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GLEN INNES AIRPORT,01/08/2025,1.7,1.2, ,12.5,1.7,97,63,4.81,11.39
GLEN INNES AIRPORT,02/08/2025,0.7,24.4, ,8.9,3.0,98,90,3.12,4.87
GLEN INNES AIRPORT,03/08/2025,1.8,10.6, ,14.0,-0.6,95,68,7.02,13.03
GLEN INNES AIRPORT,04/08/2025,2.3,0.0, ,15.4,7.0,95,59,5.46,14.91
GLEN INNES AIRPORT,05/08/2025,2.3,0.0, ,16.2,-0.8,98,44,3.12,15.24
GLEN INNES AIRPORT,06/08/2025,2.0,0.2, ,14.7,-1.0,98,53,2.90,15.29
GLEN INNES AIRPORT,07/08/2025,2.5,0.0, ,15.1,-0.1,97,41,4.38,15.63
GLEN INNES AIRPORT,08/08/2025,1.4,1.0, ,10.6,6.9,98,73,7.71,8.90
GLEN INNES AIRPORT,09/08/2025,2.3,0.0, ,13.9,5.7,94,61,8.27,14.21
GLEN INNES AIRPORT,10/08/2025,2.5,0.0, ,14.2,3.2,95,53,6.52,15.97
GLEN INNES AIRPORT,11/08/2025,2.2,0.2, ,13.7,1.4,96,49,3.89,15.77
GLEN INNES AIRPORT,12/08/2025,2.2,0.0, ,14.3,0.5,99,44,3.11,15.47
GLEN INNES AIRPORT,13/08/2025,2.0,0.2, ,14.0,1.3,99,49,2.96,14.38
GLEN INNES AIRPORT,14/08/2025,2.0,0.0, ,13.7,1.2,98,45,3.01,12.57
GLEN INNES AIRPORT,15/08/2025,2.4,0.2, ,15.4,-1.7,98,39,2.89,16.57
GLEN INNES AIRPORT,16/08/2025,2.3,0.0, ,14.4,-2.7,99,47,3.79,15.50
GLEN INNES AIRPORT,17/08/2025,2.4,0.0, ,11.1,-1.9,91,31,3.72,17.07
GLEN INNES AIRPORT,18/08/2025,2.7,0.0, ,13.4,-7.2,94,24,3.39,17.16
GLEN INNES AIRPORT,19/08/2025,1.9,0.0, ,10.6,0.8,96,61,6.19,13.53
GLEN INNES AIRPORT,20/08/2025,0.9,0.2, ,9.0,5.1,96,87,5.68,6.48
GLEN INNES AIRPORT,21/08/2025,1.7,38.8, ,14.0,7.5,98,69,3.56,10.86
GLEN INNES AIRPORT,22/08/2025,2.3,1.0, ,14.7,6.0,99,55,3.74,15.55
GLEN INNES AIRPORT,23/08/2025,2.5,0.2, ,16.0,-2.1,98,50,3.30,17.94
GLEN INNES AIRPORT,24/08/2025,2.7,0.0, ,15.9,-0.9,98,42,3.33,17.88
GLEN INNES AIRPORT,25/08/2025,2.8,0.0, ,17.7,-3.3,98,42,3.01,18.20
GLEN INNES AIRPORT,26/08/2025,2.7,0.0, ,19.4,4.4,99,54,3.49,16.90
GLEN INNES AIRPORT,27/08/2025,3.1,0.0, ,18.8,4.1,99,51,5.67,17.76
GLEN INNES AIRPORT,28/08/2025, ,0.0, , ,4.7,88,40,6.34,18.52
GLEN INNES AIRPORT,29/08/2025, , , ,13.7, ,97,42,5.30,18.40
GLEN INNES AIRPORT,30/08/2025,3.1,0.0, ,10.4,3.7,81,41,9.39,17.55
GLEN INNES AIRPORT,31/08/2025,2.9,0.0, ,17.5,-7.0,94,26,2.21,19.04
Totals:,,64.3,78.2, ,,,,,, 
