'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOSFORD New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOSFORD,01/09/2024,4.3,0.0, ,27.6,9.1,82,18,2.58,17.77
GOSFORD,02/09/2024,5.8,0.0, ,26.4,9.3,79,18,5.33,17.89
GOSFORD,03/09/2024,2.9,0.0, ,18.1,9.5,89,31,2.10,18.04
GOSFORD,04/09/2024,3.1,0.0, ,21.8,4.3,95,35,2.17,18.15
GOSFORD,05/09/2024,3.9,0.0, ,28.4,6.4,91,27,2.16,17.44
GOSFORD,06/09/2024,4.5,0.0, ,29.4,14.1,72,28,2.62,18.55
GOSFORD,07/09/2024,3.6,0.0, ,28.4,16.2,94,35,2.17,15.59
GOSFORD,08/09/2024,1.7,0.0, ,19.9,15.1,96,42,1.11,6.20
GOSFORD,09/09/2024,3.7,0.0, ,24.8,9.9,76,31,2.33,16.76
GOSFORD,10/09/2024,2.5,0.0, ,21.7,9.3,95,48,1.06,16.43
GOSFORD,11/09/2024,3.0,0.0, ,26.3,8.3,97,41,0.89,18.80
GOSFORD,12/09/2024,2.4,0.0, ,20.6,15.2,93,65,3.98,10.18
GOSFORD,13/09/2024,2.9,10.4, ,19.0,12.4,95,55,2.70,17.57
GOSFORD,14/09/2024,3.6,0.0, ,24.7,7.2,97,32,2.01,19.14
GOSFORD,15/09/2024,3.6,0.0, ,16.2,9.3,70,45,5.75,17.24
GOSFORD,16/09/2024,3.4,0.0, ,19.7,7.4,86,28,2.07,20.30
GOSFORD,17/09/2024,3.2,0.0, ,20.5,8.4,92,39,1.69,20.43
GOSFORD,18/09/2024,4.2,0.0, ,26.9,5.2,93,11,1.93,20.66
GOSFORD,19/09/2024,5.2,0.0, ,27.8,7.9,73,10,2.85,20.42
GOSFORD,20/09/2024,3.9,0.0, ,24.3,10.2,77,23,1.86,20.99
GOSFORD,21/09/2024,4.4,0.0, ,25.0,7.4,84,24,2.59,21.15
GOSFORD,22/09/2024,4.0,0.0, ,26.3,7.1,83,23,1.74,20.84
GOSFORD,23/09/2024,4.3,0.0, ,29.3,8.7,86,21,1.65,21.57
GOSFORD,24/09/2024,3.2,0.0, ,24.7,12.1,91,45,1.56,17.20
GOSFORD,25/09/2024,3.2,0.0, ,29.2,14.9,93,28,1.48,12.18
GOSFORD,26/09/2024,1.2,14.6, ,17.1,12.1,95,84,3.17,4.63
GOSFORD,27/09/2024,2.9,37.0, ,17.6,11.8,89,52,3.65,14.95
GOSFORD,28/09/2024,2.9,0.6, ,19.6,12.4,95,60,2.14,17.87
GOSFORD,29/09/2024,2.1,2.4, ,20.2,12.7,97,81,0.96,12.61
GOSFORD,30/09/2024, ,9.2, , ,14.7,96,67,2.10,16.68
Totals:,,99.6,74.2, ,,,,,, 
