'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOSFORD New South Wales for June 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOSFORD,01/06/2025,1.1,0.2, ,21.6,7.8,97,56,0.44,11.41
GOSFORD,02/06/2025,1.0,0.0, ,21.1,8.5,97,64,0.23,10.02
GOSFORD,03/06/2025,1.3,0.2, ,18.5,9.8,97,53,1.38,9.54
GOSFORD,04/06/2025,1.9,0.8, ,13.9,10.7,86,50,4.60,7.08
GOSFORD,05/06/2025,1.6,3.6, ,17.6,9.8,95,49,2.20,11.35
GOSFORD,06/06/2025,1.1,0.0, ,20.0,4.1,97,41,0.75,9.82
GOSFORD,07/06/2025,2.1,0.2, ,20.3,8.7,92,34,2.66,11.29
GOSFORD,08/06/2025,2.4,0.0, ,16.9,5.7,89,35,4.11,11.25
GOSFORD,09/06/2025,2.0,0.0, ,14.6,5.8,76,46,3.78,10.74
GOSFORD,10/06/2025,2.2,0.6, ,18.8,9.9,78,42,3.21,11.17
GOSFORD,11/06/2025,1.5,0.0, ,17.2,5.4,87,42,1.87,11.19
GOSFORD,12/06/2025,1.4,0.0, ,16.4,6.6,86,53,2.01,9.83
GOSFORD,13/06/2025,1.5,0.2, ,16.2,8.8,76,59,2.54,9.23
GOSFORD,14/06/2025,1.2,0.4, ,17.6,8.9,95,65,1.69,9.95
GOSFORD,15/06/2025,1.1,0.2, ,19.9,7.1,96,51,0.87,9.79
GOSFORD,16/06/2025,0.8,0.0, ,18.0,3.8,97,47,0.42,11.09
GOSFORD,17/06/2025,1.1,0.2, ,18.5,3.3,97,43,0.94,10.99
GOSFORD,18/06/2025,0.9,0.0, ,16.6,3.0,95,46,0.64,11.10
GOSFORD,19/06/2025,0.9,0.0, ,18.8,3.4,97,57,0.68,10.78
GOSFORD,20/06/2025,0.8,0.0, ,18.1,3.1,97,44,0.40,11.10
GOSFORD,21/06/2025,0.9,0.2, ,20.6,3.8,97,54,0.45,11.11
GOSFORD,22/06/2025,0.9,0.0, ,21.9,3.8,97,43,0.31,11.11
GOSFORD,23/06/2025,1.3,0.0, ,23.3,5.1,97,51,0.99,11.11
GOSFORD,24/06/2025,1.7,0.2, ,21.7,10.7,90,55,2.22,8.58
GOSFORD,25/06/2025,3.5,0.4, ,17.4,12.4,62,39,6.34,11.09
GOSFORD,26/06/2025,1.8,0.0, ,15.3,7.8,72,44,2.66,11.08
GOSFORD,27/06/2025,1.5,0.0, ,15.8,7.8,80,57,2.47,9.00
GOSFORD,28/06/2025,1.0,0.0, ,16.8,9.6,91,64,1.12,8.80
GOSFORD,29/06/2025,0.9,0.0, ,19.2,6.1,97,54,0.54,10.68
GOSFORD,30/06/2025,1.2,0.0, ,16.9,6.7,96,58,1.77,10.35
Totals:,,42.6,7.4, ,,,,,, 
