'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOULBURN AIRPORT New South Wales for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOULBURN AIRPORT,01/11/2024,4.2,0.0, ,21.4,10.6,99,43,4.47,20.69
GOULBURN AIRPORT,02/11/2024,3.9,0.0, ,21.0,8.7,99,54,4.77,21.46
GOULBURN AIRPORT,03/11/2024,7.1,0.0, ,29.6,6.7,99,23,6.43,20.30
GOULBURN AIRPORT,04/11/2024,5.4,0.0, ,24.7,11.6,97,26,5.20,18.87
GOULBURN AIRPORT,05/11/2024,4.4,0.4, ,23.7,11.7,99,55,4.49,23.30
GOULBURN AIRPORT,06/11/2024,6.1,0.0, ,31.6,8.2,100,25,2.94,23.83
GOULBURN AIRPORT,07/11/2024,6.2,0.0, ,28.8,13.9,89,33,6.74,16.45
GOULBURN AIRPORT,08/11/2024,5.8,0.0, ,22.4,6.1,99,27,6.68,25.96
GOULBURN AIRPORT,09/11/2024,5.1,0.0, ,24.8,3.1,99,26,2.54,26.94
GOULBURN AIRPORT,10/11/2024,6.1,0.0, ,25.3,8.8,99,22,4.16,27.67
GOULBURN AIRPORT,11/11/2024,3.4,0.0, ,22.7,11.1,99,54,3.43,15.45
GOULBURN AIRPORT,12/11/2024,3.9,0.0, ,23.9,10.2,99,48,3.61,17.37
GOULBURN AIRPORT,13/11/2024,4.1,0.0, ,24.5,9.2,100,45,3.04,19.21
GOULBURN AIRPORT,14/11/2024,3.6,0.0, ,21.6,11.2,99,60,3.88,18.59
GOULBURN AIRPORT,15/11/2024,3.1,0.2, ,20.2,11.6,99,67,4.69,16.75
GOULBURN AIRPORT,16/11/2024,5.9,0.2, ,27.0,13.6,99,46,5.18,27.54
GOULBURN AIRPORT,17/11/2024,5.5,0.0, ,28.8,11.8,100,36,6.20,14.76
GOULBURN AIRPORT,18/11/2024,6.2,14.4, ,22.4,8.7,93,26,5.69,30.17
GOULBURN AIRPORT,19/11/2024,5.0,0.0, ,23.3,11.1,99,45,4.08,25.79
GOULBURN AIRPORT,20/11/2024,5.5,0.0, ,25.6,8.7,99,36,3.88,25.68
GOULBURN AIRPORT,21/11/2024, ,0.0, , ,9.7,99,39,3.99,29.44
GOULBURN AIRPORT,22/11/2024, , , ,31.0, ,99,25,2.55,24.87
GOULBURN AIRPORT,23/11/2024,6.0,0.0, ,31.7,9.1,99,23,2.38,25.27
GOULBURN AIRPORT,24/11/2024,6.4,0.0, ,32.0,9.8,99,22,3.25,23.21
GOULBURN AIRPORT,25/11/2024,6.5,0.0, ,32.3,11.7,99,26,3.50,23.48
GOULBURN AIRPORT,26/11/2024,6.9,0.0, ,31.9,13.0,99,26,4.40,23.26
GOULBURN AIRPORT,27/11/2024,5.8,0.0, ,30.6,14.4,99,33,5.15,16.00
GOULBURN AIRPORT,28/11/2024,4.0,0.2, ,28.4,14.2,99,48,3.26,14.06
GOULBURN AIRPORT,29/11/2024,1.3,1.0, ,19.2,14.5,99,88,3.75,5.40
GOULBURN AIRPORT,30/11/2024, ,17.6, ,19.9,17.0,100,93,4.28, 
Totals:,,137.4,34, ,,,,,, 
