'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOULBURN AIRPORT New South Wales for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOULBURN AIRPORT,01/03/2025,6.1,0.0, ,32.3,14.4,94,18,2.71,24.52
GOULBURN AIRPORT,02/03/2025,5.3,0.0, ,30.4,11.7,99,35,3.49,20.80
GOULBURN AIRPORT,03/03/2025,2.7,0.0, ,22.0,14.5,98,63,4.94,10.17
GOULBURN AIRPORT,04/03/2025,4.5,0.4, ,23.2,10.9,99,40,4.82,20.67
GOULBURN AIRPORT,05/03/2025,4.4,0.0, ,24.8,9.4,99,46,4.18,21.72
GOULBURN AIRPORT,06/03/2025,4.2,0.0, ,24.8,7.9,100,43,4.23,17.35
GOULBURN AIRPORT,07/03/2025,3.1,0.8, ,22.0,10.3,99,69,5.94,17.09
GOULBURN AIRPORT,08/03/2025,3.4,1.0, ,22.8,9.6,99,59,4.58,16.66
GOULBURN AIRPORT,09/03/2025,4.4,0.2, ,26.6,14.2,99,51,4.67,19.93
GOULBURN AIRPORT,10/03/2025,4.7,0.0, ,28.2,15.0,99,51,3.65,22.35
GOULBURN AIRPORT,11/03/2025,3.4,0.4, ,24.9,15.6,99,57,4.52,13.55
GOULBURN AIRPORT,12/03/2025,2.8,0.4, ,24.2,15.5,99,57,2.71,12.20
GOULBURN AIRPORT,13/03/2025,5.0,0.2, ,31.2,11.0,100,27,2.39,21.45
GOULBURN AIRPORT,14/03/2025,5.9,0.2, ,33.8,10.3,99,26,3.40,20.23
GOULBURN AIRPORT,15/03/2025,5.7,0.0, ,35.0,11.8,99,18,2.51,21.27
GOULBURN AIRPORT,16/03/2025,7.9,0.0, ,33.2,15.0,91,22,7.80,14.83
GOULBURN AIRPORT,17/03/2025,4.6,0.0, ,19.8,4.5,86,23,4.93,21.32
GOULBURN AIRPORT,18/03/2025,4.0,0.0, ,23.1,1.7,99,39,3.35,20.60
GOULBURN AIRPORT,19/03/2025,4.7,0.0, ,30.7,7.1,99,32,2.86,17.57
GOULBURN AIRPORT,20/03/2025,4.1,0.0, ,30.6,12.1,99,34,2.66,14.48
GOULBURN AIRPORT,21/03/2025,4.0,2.4, ,27.2,16.0,99,43,4.41,13.43
GOULBURN AIRPORT,22/03/2025,4.2,8.2, ,27.5,14.2,99,31,3.14,16.28
GOULBURN AIRPORT,23/03/2025,1.7,0.0, ,20.6,15.5,99,76,3.47,7.16
GOULBURN AIRPORT,24/03/2025,4.1,0.0, ,27.8,12.4,99,42,2.83,18.71
GOULBURN AIRPORT,25/03/2025,3.5,0.0, ,25.6,14.1,99,48,2.96,15.78
GOULBURN AIRPORT,26/03/2025,4.2,0.0, ,27.5,14.7,99,39,2.87,19.36
GOULBURN AIRPORT,27/03/2025,3.9,0.0, ,25.5,10.4,99,46,4.11,17.14
GOULBURN AIRPORT,28/03/2025,2.1,2.6, ,20.7,14.9,99,74,4.68,10.06
GOULBURN AIRPORT,29/03/2025,1.4,5.4, ,16.9,14.6,99,80,6.10,5.39
GOULBURN AIRPORT,30/03/2025,2.2,2.4, ,20.1,14.6,99,77,7.84,12.53
GOULBURN AIRPORT,31/03/2025,3.3,3.6, ,21.0,13.5,99,57,7.94,14.36
Totals:,,125.5,28.2, ,,,,,, 
