'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOULBURN AIRPORT New South Wales for May 2025,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOULBURN AIRPORT,01/05/2025,1.4,1.2, ,13.6,-0.9,99,68,2.52,12.09
GOULBURN AIRPORT,02/05/2025,1.8,0.4, ,17.5,0.0,100,43,1.49,13.71
GOULBURN AIRPORT,03/05/2025,1.5,0.4, ,19.1,2.3,100,37,0.78,12.50
GOULBURN AIRPORT,04/05/2025,1.7,0.0, ,19.9,1.9,100,33,1.04,12.64
GOULBURN AIRPORT,05/05/2025,1.9,0.2, ,21.5,1.2,100,39,1.32,13.03
GOULBURN AIRPORT,06/05/2025,2.5,0.0, ,21.1,1.6,99,40,3.11,10.29
GOULBURN AIRPORT,07/05/2025,3.8,0.0, ,23.3,4.4,99,35,5.84,11.58
GOULBURN AIRPORT,08/05/2025,2.4,0.0, ,18.7,2.8,99,30,2.77,12.96
GOULBURN AIRPORT,09/05/2025,1.7,0.0, ,17.9,-3.2,99,32,1.39,12.86
GOULBURN AIRPORT,10/05/2025,1.8,0.0, ,18.9,1.3,100,46,2.07,12.52
GOULBURN AIRPORT,11/05/2025,1.8,0.0, ,19.5,8.2,99,56,2.85,10.09
GOULBURN AIRPORT,12/05/2025,1.7,0.0, ,20.8,9.2,100,52,1.92,9.60
GOULBURN AIRPORT,13/05/2025,1.8,0.0, ,20.2,11.0,99,58,3.08,8.22
GOULBURN AIRPORT,14/05/2025,1.3,0.0, ,17.9,10.0,99,66,1.79,8.87
GOULBURN AIRPORT,15/05/2025,1.4,0.0, ,18.0,4.0,100,63,2.15,8.53
GOULBURN AIRPORT,16/05/2025,1.1,0.0, ,17.7,8.4,100,61,1.01,7.46
GOULBURN AIRPORT,17/05/2025,1.7,0.0, ,17.7,-0.2,100,36,1.72,11.93
GOULBURN AIRPORT,18/05/2025,1.8,0.2, ,13.3,0.7,99,54,5.28,8.73
GOULBURN AIRPORT,19/05/2025,1.5,0.4, ,12.9,6.2,99,62,5.09,9.38
GOULBURN AIRPORT,20/05/2025,1.3,0.0, ,14.1,1.5,99,66,3.81,9.06
GOULBURN AIRPORT,21/05/2025,1.0,0.2, ,15.2,8.4,99,83,3.44,6.98
GOULBURN AIRPORT,22/05/2025,0.5,5.0, ,15.6,10.7,100,99,5.33,3.56
GOULBURN AIRPORT,23/05/2025,1.0,18.4, ,16.2,12.1,99,85,4.96,5.43
GOULBURN AIRPORT,24/05/2025,1.9,6.0, ,15.5,8.6,98,60,7.10,8.39
GOULBURN AIRPORT,25/05/2025,2.0,0.0, ,16.3,1.0,99,34,3.11,8.10
GOULBURN AIRPORT,26/05/2025,2.5,0.0, ,19.5,-1.6,99,39,4.09,6.37
GOULBURN AIRPORT,27/05/2025,2.2,4.6, ,11.9,7.0,89,54,9.51,10.81
GOULBURN AIRPORT,28/05/2025,1.6,0.0, ,12.8,6.3,99,61,7.13,10.47
GOULBURN AIRPORT,29/05/2025,0.8,0.2, ,14.3,-2.5,99,56,0.42,10.18
GOULBURN AIRPORT,30/05/2025,1.1,0.0, ,17.2,-3.7,99,29,0.82,11.08
GOULBURN AIRPORT,31/05/2025,1.1,0.0, ,17.6,1.1,100,34,0.88,10.31
Totals:,,51.6,37.2, ,,,,,, 
