'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOULBURN AIRPORT New South Wales for June 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOULBURN AIRPORT,01/06/2025,1.3,0.2, ,16.6,0.6,100,38,1.47,10.76
GOULBURN AIRPORT,02/06/2025,1.0,0.0, ,15.2,-2.2,99,58,1.29,8.23
GOULBURN AIRPORT,03/06/2025,1.6,0.0, ,16.1,-1.2,100,38,2.26,10.85
GOULBURN AIRPORT,04/06/2025,1.9,0.2, ,11.9,3.8,93,40,4.75,10.83
GOULBURN AIRPORT,05/06/2025,1.0,0.0, ,13.2,-6.9,99,40,1.20,10.79
GOULBURN AIRPORT,06/06/2025,1.5,0.0, ,13.0,-4.9,98,44,2.85,7.21
GOULBURN AIRPORT,07/06/2025,2.0,0.0, ,11.7,3.0,92,53,8.59,7.96
GOULBURN AIRPORT,08/06/2025,1.3,1.4, ,8.4,4.2,97,65,9.17,7.92
GOULBURN AIRPORT,09/06/2025,0.6,0.2, ,6.7,2.9,97,89,8.14,5.31
GOULBURN AIRPORT,10/06/2025,1.3,1.4, ,10.1,3.2,96,68,7.91,8.91
GOULBURN AIRPORT,11/06/2025,1.3,0.0, ,10.6,3.4,99,60,5.63,8.74
GOULBURN AIRPORT,12/06/2025,1.1,0.0, ,11.3,-2.7,99,52,2.48,10.15
GOULBURN AIRPORT,13/06/2025,0.8,0.0, ,10.9,-6.4,99,63,1.58,8.27
GOULBURN AIRPORT,14/06/2025,0.7,0.2, ,12.6,-3.7,99,63,0.68,8.39
GOULBURN AIRPORT,15/06/2025,1.1,0.0, ,13.3,-2.0,100,53,2.07,7.74
GOULBURN AIRPORT,16/06/2025,1.4,1.2, ,12.1,-0.9,99,47,3.14,9.15
GOULBURN AIRPORT,17/06/2025,1.6,0.0, ,11.4,-2.0,99,54,6.35,9.13
GOULBURN AIRPORT,18/06/2025,1.3,0.0, ,11.0,-4.0,99,49,3.08,10.52
GOULBURN AIRPORT,19/06/2025,1.1,0.0, ,12.7,-7.3,99,41,1.60,10.01
GOULBURN AIRPORT,20/06/2025,1.1,0.0, ,15.6,-8.1,99,16,0.97,10.52
GOULBURN AIRPORT,21/06/2025,1.8,0.0, ,16.7,-10.0,98,17,1.88,10.52
GOULBURN AIRPORT,22/06/2025,1.5,0.0, ,15.2,-7.8,99,42,2.45,10.49
GOULBURN AIRPORT,23/06/2025, ,0.0, , ,-5.0,99,42,3.79,9.33
GOULBURN AIRPORT,24/06/2025,2.3, , ,13.8,5.1,99,42,7.66,6.94
GOULBURN AIRPORT,25/06/2025,1.4,4.0, ,8.1,5.1,95,63,9.39,6.65
GOULBURN AIRPORT,26/06/2025,1.3,3.6, ,10.3,-1.8,98,47,3.23,10.54
GOULBURN AIRPORT,27/06/2025,0.7,0.0, ,12.4,-6.2,99,48,0.53,10.56
GOULBURN AIRPORT,28/06/2025,0.8,0.2, ,13.8,-3.6,100,53,0.85,9.82
GOULBURN AIRPORT,29/06/2025,0.9,0.0, ,12.5,-4.5,99,51,1.15,9.93
GOULBURN AIRPORT,30/06/2025,1.0,0.2, ,12.6,-4.8,100,53,1.63,9.26
Totals:,,36.7,12.8, ,,,,,, 
