'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOULBURN AIRPORT New South Wales for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOULBURN AIRPORT,01/08/2025,1.4,0.4, ,11.5,-1.7,99,60,3.46,10.20
GOULBURN AIRPORT,02/08/2025,1.1,5.6, ,10.2,5.8,99,77,7.71,7.61
GOULBURN AIRPORT,03/08/2025,1.3,8.4, ,13.9,7.0,99,77,5.71,10.96
GOULBURN AIRPORT,04/08/2025,1.4,0.6, ,15.1,7.3,100,66,2.93,10.44
GOULBURN AIRPORT,05/08/2025,1.7,0.0, ,15.9,0.6,100,58,3.76,8.81
GOULBURN AIRPORT,06/08/2025,1.9,0.2, ,13.5,-1.4,99,47,3.75,13.54
GOULBURN AIRPORT,07/08/2025,1.4,0.2, ,14.1,-1.5,100,50,1.46,11.97
GOULBURN AIRPORT,08/08/2025,1.7,0.0, ,12.3,4.5,99,51,3.49,11.17
GOULBURN AIRPORT,09/08/2025,1.6,0.0, ,14.1,0.7,99,62,3.84,10.40
GOULBURN AIRPORT,10/08/2025,1.6,0.2, ,12.9,3.5,99,56,3.72,8.15
GOULBURN AIRPORT,11/08/2025,1.6,0.2, ,13.4,1.0,100,47,2.12,11.34
GOULBURN AIRPORT,12/08/2025,1.6,0.0, ,14.5,0.8,100,43,1.38,12.88
GOULBURN AIRPORT,13/08/2025,1.6,0.0, ,14.6,-1.7,99,46,1.67,12.66
GOULBURN AIRPORT,14/08/2025,1.8,0.2, ,14.2,0.5,100,47,2.72,13.02
GOULBURN AIRPORT,15/08/2025,1.8,0.2, ,15.5,0.1,100,51,2.68,12.37
GOULBURN AIRPORT,16/08/2025,2.3,0.0, ,11.9,2.7,98,42,6.38,12.81
GOULBURN AIRPORT,17/08/2025,1.9,0.4, ,10.8,-1.2,99,44,3.62,14.20
GOULBURN AIRPORT,18/08/2025,1.7,0.0, ,12.7,-6.4,99,42,1.85,14.38
GOULBURN AIRPORT,19/08/2025,1.2,0.6, ,9.9,1.4,99,69,3.83,8.12
GOULBURN AIRPORT,20/08/2025,1.8,1.2, ,13.5,5.1,100,59,4.30,11.06
GOULBURN AIRPORT,21/08/2025,1.1,6.8, ,12.1,7.7,99,89,5.83,10.23
GOULBURN AIRPORT,22/08/2025,1.8,2.4, ,17.2,4.0,100,59,1.97,13.57
GOULBURN AIRPORT,23/08/2025,2.7,0.0, ,17.9,5.1,100,35,3.57,13.89
GOULBURN AIRPORT,24/08/2025,2.0,0.2, ,14.8,-0.6,99,49,2.97,12.97
GOULBURN AIRPORT,25/08/2025,1.8,0.2, ,18.2,6.9,99,58,1.77,10.79
GOULBURN AIRPORT,26/08/2025,2.8,0.0, ,21.4,2.7,100,38,2.48,15.69
GOULBURN AIRPORT,27/08/2025,1.7,6.0, ,11.4,9.5,99,63,8.53,8.03
GOULBURN AIRPORT,28/08/2025,2.3,17.6, ,11.4,4.9,93,57,10.83,14.70
GOULBURN AIRPORT,29/08/2025,2.8,0.8, ,13.9,6.0,99,48,9.67,14.51
GOULBURN AIRPORT,30/08/2025,1.9,12.6, ,10.6,2.1,98,63,9.46,14.48
GOULBURN AIRPORT,31/08/2025,2.3,0.0, ,13.5,-1.9,99,52,4.45,17.15
Totals:,,55.6,65, ,,,,,, 
