'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GRAFTON AIRPORT New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GRAFTON AIRPORT,01/09/2024,3.8,0.0, ,31.6,12.3,94,34,1.42,19.28
GRAFTON AIRPORT,02/09/2024,4.6,0.0, ,33.3,13.6,97,10,1.85,19.44
GRAFTON AIRPORT,03/09/2024, ,0.0, , ,7.6,81,24,2.24,19.56
GRAFTON AIRPORT,04/09/2024,2.8, , ,22.8,4.8,96,44,1.50,17.66
GRAFTON AIRPORT,05/09/2024,3.2,0.0, ,25.6,5.7,99,35,1.22,19.82
GRAFTON AIRPORT,06/09/2024,3.5,0.0, ,27.9,7.6,98,37,1.44,19.98
GRAFTON AIRPORT,07/09/2024,3.4,0.2, ,30.1,7.9,98,33,0.91,20.14
GRAFTON AIRPORT,08/09/2024,3.8,0.0, ,32.2,11.3,98,34,1.18,20.24
GRAFTON AIRPORT,09/09/2024,3.4,0.0, ,26.5,14.4,98,48,1.40,19.03
GRAFTON AIRPORT,10/09/2024,3.3,0.0, ,24.4,11.8,93,45,1.96,17.67
GRAFTON AIRPORT,11/09/2024,3.2,0.0, ,25.9,10.6,98,49,1.30,18.83
GRAFTON AIRPORT,12/09/2024,1.1,0.0, ,18.1,13.0,98,86,1.00,5.25
GRAFTON AIRPORT,13/09/2024,3.3,7.8, ,21.1,11.9,98,50,4.03,16.60
GRAFTON AIRPORT,14/09/2024,3.1,0.0, ,22.6,10.3,96,44,1.36,18.91
GRAFTON AIRPORT,15/09/2024,3.3,0.0, ,21.2,7.0,98,40,2.73,18.13
GRAFTON AIRPORT,16/09/2024,3.5,0.0, ,22.7,4.7,93,34,1.80,21.25
GRAFTON AIRPORT,17/09/2024,3.5,0.0, ,23.2,6.0,97,39,1.91,20.77
GRAFTON AIRPORT,18/09/2024,3.5,0.0, ,26.3,7.4,99,35,0.99,21.79
GRAFTON AIRPORT,19/09/2024,3.2,0.0, ,28.5,7.0,99,19,0.90,17.32
GRAFTON AIRPORT,20/09/2024,4.5,0.2, ,29.6,5.6,98,10,1.58,22.29
GRAFTON AIRPORT,21/09/2024,4.3,0.0, ,29.1,6.2,96,16,1.55,22.45
GRAFTON AIRPORT,22/09/2024,4.2,0.0, ,26.6,6.1,97,24,1.80,22.61
GRAFTON AIRPORT,23/09/2024,4.1,0.0, ,27.7,5.4,98,20,1.37,22.84
GRAFTON AIRPORT,24/09/2024,3.7,0.0, ,28.2,7.8,97,38,1.44,19.48
GRAFTON AIRPORT,25/09/2024,4.5,0.0, ,29.6,11.0,97,37,1.97,22.39
GRAFTON AIRPORT,26/09/2024,1.2,0.0, ,18.7,15.2,97,81,1.14,4.52
GRAFTON AIRPORT,27/09/2024,1.5,30.6, ,16.9,14.4,96,86,5.08,7.48
GRAFTON AIRPORT,28/09/2024,2.3,13.4, ,22.6,13.3,96,83,5.60,12.96
GRAFTON AIRPORT,29/09/2024,3.8,21.2, ,25.1,15.2,97,63,3.05,20.94
GRAFTON AIRPORT,30/09/2024,3.5,0.0, ,26.5,13.1,98,58,2.05,18.33
Totals:,,97.1,73.4, ,,,,,, 
