'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GRAFTON AIRPORT New South Wales for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GRAFTON AIRPORT,01/11/2024,5.2,0.0, ,26.9,17.0,96,54,3.44,26.20
GRAFTON AIRPORT,02/11/2024,4.3,0.0, ,26.3,16.7,90,52,2.67,19.48
GRAFTON AIRPORT,03/11/2024,5.4,0.0, ,29.5,14.0,96,52,2.56,27.21
GRAFTON AIRPORT,04/11/2024,5.8,0.0, ,34.3,16.2,98,45,2.63,24.11
GRAFTON AIRPORT,05/11/2024,3.7,43.8, ,28.2,17.4,97,64,2.12,17.37
GRAFTON AIRPORT,06/11/2024,5.6,0.2, ,32.0,18.4,97,54,1.37,27.76
GRAFTON AIRPORT,07/11/2024,6.3,0.0, ,36.8,19.7,98,47,1.88,27.71
GRAFTON AIRPORT,08/11/2024,5.4,0.0, ,31.9,20.4,95,63,2.78,25.38
GRAFTON AIRPORT,09/11/2024,5.5,0.0, ,29.1,18.1,97,33,1.90,26.70
GRAFTON AIRPORT,10/11/2024,4.3,0.0, ,29.7,20.1,96,61,1.87,19.77
GRAFTON AIRPORT,11/11/2024,1.8,36.4, ,24.5,20.6,98,72,1.79,6.07
GRAFTON AIRPORT,12/11/2024,3.6,35.8, ,27.1,19.4,97,65,1.72,17.27
GRAFTON AIRPORT,13/11/2024,3.8,1.8, ,28.4,16.4,98,65,1.91,18.33
GRAFTON AIRPORT,14/11/2024,5.5,15.8, ,28.4,16.6,98,47,1.90,28.36
GRAFTON AIRPORT,15/11/2024,3.7,0.2, ,26.4,18.2,96,64,2.29,17.30
GRAFTON AIRPORT,16/11/2024,2.9,7.6, ,25.6,19.1,97,69,1.32,13.55
GRAFTON AIRPORT,17/11/2024,5.2,11.0, ,28.6,17.6,98,55,2.74,25.36
GRAFTON AIRPORT,18/11/2024,4.5,0.0, ,30.0,18.4,97,57,2.55,19.63
GRAFTON AIRPORT,19/11/2024,1.9,38.6, ,21.9,18.1,97,70,2.52,6.85
GRAFTON AIRPORT,20/11/2024,1.8,4.6, ,21.2,17.7,95,77,2.12,6.95
GRAFTON AIRPORT,21/11/2024, ,0.8, , ,16.9,92,58,2.66,16.74
GRAFTON AIRPORT,22/11/2024, , , ,25.1, ,97,54,2.47,22.41
GRAFTON AIRPORT,23/11/2024,5.0,0.0, ,27.6,14.3,96,51,1.76,26.65
GRAFTON AIRPORT,24/11/2024,5.9,0.0, ,28.8,16.4,97,46,2.16,30.43
GRAFTON AIRPORT,25/11/2024,5.8,0.0, ,28.8,15.5,96,50,2.56,29.42
GRAFTON AIRPORT,26/11/2024,6.3,0.0, ,30.1,17.7,96,50,2.92,30.80
GRAFTON AIRPORT,27/11/2024,6.5,0.0, ,32.1,17.1,97,51,3.06,30.84
GRAFTON AIRPORT,28/11/2024,4.7,0.0, ,31.6,19.6,97,55,1.76,20.84
GRAFTON AIRPORT,29/11/2024,4.7,0.0, ,29.7,21.7,96,63,1.24,22.60
GRAFTON AIRPORT,30/11/2024, ,1.2, ,25.5,21.6,97,78,2.93, 
Totals:,,125.1,197.8, ,,,,,, 
