'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GRAFTON AIRPORT New South Wales for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GRAFTON AIRPORT,01/01/2025,5.1,0.0, ,30.2,17.4,96,47,1.69,24.29
GRAFTON AIRPORT,02/01/2025,4.7,0.0, ,29.3,19.5,93,51,1.62,22.11
GRAFTON AIRPORT,03/01/2025,5.8,0.0, ,29.9,17.1,96,51,3.11,27.43
GRAFTON AIRPORT,04/01/2025,5.6,0.0, ,29.0,19.7,88,45,2.70,24.78
GRAFTON AIRPORT,05/01/2025,6.2,0.0, ,31.8,14.9,96,41,1.93,30.20
GRAFTON AIRPORT,06/01/2025,6.6,0.0, ,31.9,16.3,97,36,2.28,31.05
GRAFTON AIRPORT,07/01/2025,4.6,0.0, ,30.7,16.2,97,48,1.71,20.62
GRAFTON AIRPORT,08/01/2025,4.8,6.8, ,30.4,19.2,98,47,1.49,22.32
GRAFTON AIRPORT,09/01/2025,3.3,2.6, ,26.6,17.8,97,70,1.37,16.36
GRAFTON AIRPORT,10/01/2025,4.1,10.6, ,28.9,18.1,97,56,1.68,18.77
GRAFTON AIRPORT,11/01/2025,2.6,11.2, ,25.5,19.0,97,75,1.41,12.24
GRAFTON AIRPORT,12/01/2025,5.5,8.4, ,29.2,18.1,97,54,2.13,27.33
GRAFTON AIRPORT,13/01/2025,4.5,0.2, ,29.8,18.1,98,56,1.55,21.56
GRAFTON AIRPORT,14/01/2025,5.4,0.8, ,31.5,18.8,98,56,1.36,26.82
GRAFTON AIRPORT,15/01/2025,5.6,0.2, ,33.9,20.0,97,54,2.08,24.61
GRAFTON AIRPORT,16/01/2025,3.7,0.2, ,28.1,22.6,97,65,2.53,15.76
GRAFTON AIRPORT,17/01/2025, ,14.4, ,26.1,15.7, , , ,17.38
GRAFTON AIRPORT,18/01/2025,2.4,17.0, ,25.8,17.5,97,78,5.00,9.46
GRAFTON AIRPORT,19/01/2025,5.7,45.6, ,27.0,19.2,92,51,5.69,24.61
GRAFTON AIRPORT,20/01/2025,5.4,0.8, ,28.4,13.5,95,43,1.98,27.67
GRAFTON AIRPORT,21/01/2025,5.8,0.0, ,30.7,17.8,96,48,1.44,29.32
GRAFTON AIRPORT,22/01/2025,6.1,0.0, ,37.4,17.7,97,32,1.23,27.39
GRAFTON AIRPORT,23/01/2025,4.6,7.0, ,30.3,21.3,95,53,2.32,19.52
GRAFTON AIRPORT,24/01/2025,6.6,0.2, ,35.9,20.9,98,49,2.92,27.26
GRAFTON AIRPORT,25/01/2025,4.8,0.0, ,29.0,20.5,90,52,1.93,22.06
GRAFTON AIRPORT,26/01/2025,4.5,0.0, ,30.5,21.0,93,58,1.74,20.53
GRAFTON AIRPORT,27/01/2025,5.6,0.0, ,31.3,20.5,96,57,2.27,26.69
GRAFTON AIRPORT,28/01/2025,5.9,0.0, ,33.2,20.0,95,53,2.23,27.00
GRAFTON AIRPORT,29/01/2025,4.0,0.0, ,30.1,21.3,94,63,2.07,17.54
GRAFTON AIRPORT,30/01/2025,5.6,0.0, ,33.1,22.5,93,52,2.02,24.73
GRAFTON AIRPORT,31/01/2025,5.7,9.8, ,32.4,21.5,97,53,1.85,26.42
Totals:,,150.8,135.8, ,,,,,, 
