'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GRAFTON AIRPORT New South Wales for July 2025,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GRAFTON AIRPORT,01/07/2025,1.8,21.6, ,20.3,9.1,98,39,1.62,12.90
GRAFTON AIRPORT,02/07/2025,2.5,0.0, ,18.4,10.2,59,43,3.06,10.98
GRAFTON AIRPORT,03/07/2025,2.5,0.0, ,21.4,12.6,80,36,2.50,13.03
GRAFTON AIRPORT,04/07/2025,1.4,0.0, ,20.7,3.3,97,36,0.72,13.07
GRAFTON AIRPORT,05/07/2025,1.3,0.0, ,21.7,4.8,98,51,0.58,12.74
GRAFTON AIRPORT,06/07/2025,1.6,0.0, ,23.6,9.9,97,52,0.96,12.62
GRAFTON AIRPORT,07/07/2025,1.4,2.4, ,21.1,7.0,98,38,0.72,13.20
GRAFTON AIRPORT,08/07/2025,1.4,0.2, ,20.9,2.6,98,40,0.84,11.95
GRAFTON AIRPORT,09/07/2025,1.2,0.0, ,20.3,8.1,97,47,0.40,11.36
GRAFTON AIRPORT,10/07/2025,2.6,0.0, ,22.6,6.8,98,20,2.23,12.72
GRAFTON AIRPORT,11/07/2025,2.0,0.0, ,21.7,7.2,85,30,1.44,13.38
GRAFTON AIRPORT,12/07/2025,1.5,0.0, ,21.1,2.5,97,36,0.89,13.45
GRAFTON AIRPORT,13/07/2025,1.4,0.0, ,20.9,1.6,98,37,0.67,13.28
GRAFTON AIRPORT,14/07/2025,1.6,0.0, ,21.5,1.4,98,36,0.95,13.55
GRAFTON AIRPORT,15/07/2025,0.9,0.0, ,16.0,2.8,98,62,0.33,6.54
GRAFTON AIRPORT,16/07/2025,1.7,0.0, ,20.7,5.3,97,42,1.22,13.69
GRAFTON AIRPORT,17/07/2025,1.7,0.0, ,21.8,5.2,98,57,1.57,12.55
GRAFTON AIRPORT,18/07/2025,1.9,7.8, ,19.9,11.1,96,56,2.44,11.29
GRAFTON AIRPORT,19/07/2025,2.0,0.2, ,20.2,4.6,98,51,2.18,13.49
GRAFTON AIRPORT,20/07/2025,2.1,0.0, ,21.0,7.0,94,55,2.96,11.65
GRAFTON AIRPORT,21/07/2025,2.0,0.0, ,21.4,9.6,95,50,1.98,12.68
GRAFTON AIRPORT,22/07/2025,1.3,5.2, ,19.4,9.5,98,67,0.84,10.27
GRAFTON AIRPORT,23/07/2025,1.0,0.0, ,17.0,11.8,98,85,0.82,6.31
GRAFTON AIRPORT,24/07/2025,1.6,8.0, ,18.6,3.9,98,36,0.88,14.37
GRAFTON AIRPORT,25/07/2025,1.4,0.2, ,19.4,1.1,98,45,0.47,13.95
GRAFTON AIRPORT,26/07/2025,0.8,0.0, ,15.2,5.4,98,88,0.91,5.26
GRAFTON AIRPORT,27/07/2025,1.9,14.0, ,20.6,7.4,98,36,1.23,14.62
GRAFTON AIRPORT,28/07/2025,2.3,0.0, ,19.6,7.3,81,35,2.02,14.67
GRAFTON AIRPORT,29/07/2025,1.4,0.0, ,18.0,2.8,96,41,0.58,12.58
GRAFTON AIRPORT,30/07/2025,1.8,0.2, ,21.4,6.2,97,44,1.00,14.50
GRAFTON AIRPORT,31/07/2025,2.1,0.2, ,20.1,4.3,96,48,1.98,13.34
Totals:,,52.1,60, ,,,,,, 
