'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GRAFTON RESEARCH STN New South Wales for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GRAFTON RESEARCH STN,01/04/2025,2.5,4.8, ,25.3,19.5,97,59,1.85,10.74
GRAFTON RESEARCH STN,02/04/2025,1.4,12.0, ,19.4,16.9,98,77,2.71,5.31
GRAFTON RESEARCH STN,03/04/2025,1.6,29.0, ,21.6,17.1,98,87,2.52,8.89
GRAFTON RESEARCH STN,04/04/2025,3.7,8.6, ,26.6,17.6,95,46,2.27,18.19
GRAFTON RESEARCH STN,05/04/2025,4.0,0.0, ,29.7,15.6,96,37,2.08,18.82
GRAFTON RESEARCH STN,06/04/2025,3.8,0.0, ,28.2,14.8,95,43,1.87,19.83
GRAFTON RESEARCH STN,07/04/2025,3.8,0.0, ,28.4,13.9,98,27,1.69,19.71
GRAFTON RESEARCH STN,08/04/2025,3.8,0.0, ,27.4,13.3,93,47,2.52,18.87
GRAFTON RESEARCH STN,09/04/2025,2.7,2.2, ,24.4,16.4,96,63,2.09,14.22
GRAFTON RESEARCH STN,10/04/2025,3.4,3.2, ,26.1,15.4,96,59,2.48,18.37
GRAFTON RESEARCH STN,11/04/2025,3.0,0.0, ,26.5,16.5,97,65,2.64,15.26
GRAFTON RESEARCH STN,12/04/2025,3.1,3.4, ,26.4,17.9,98,65,3.19,15.26
GRAFTON RESEARCH STN,13/04/2025,3.3,23.2, ,25.6,17.6,98,54,3.14,15.62
GRAFTON RESEARCH STN,14/04/2025,3.4,2.8, ,25.7,16.5,97,57,3.30,17.20
GRAFTON RESEARCH STN,15/04/2025,3.3,0.2, ,25.8,16.0,96,52,3.73,13.35
GRAFTON RESEARCH STN,16/04/2025,4.1,3.2, ,24.3,16.7,79,46,4.00,18.12
GRAFTON RESEARCH STN,17/04/2025,3.8,0.0, ,26.5,14.6,86,50,3.53,17.41
GRAFTON RESEARCH STN,18/04/2025,3.5,0.0, ,28.2,14.0,96,40,2.01,17.96
GRAFTON RESEARCH STN,19/04/2025,2.9,0.0, ,28.6,13.3,98,50,0.87,17.68
GRAFTON RESEARCH STN,20/04/2025,3.0,0.0, ,29.5,14.6,98,50,1.11,17.39
GRAFTON RESEARCH STN,21/04/2025,1.4,0.0, ,22.7,16.0,99,80,1.08,6.69
GRAFTON RESEARCH STN,22/04/2025,3.0,8.6, ,24.8,13.2,99,50,2.27,16.78
GRAFTON RESEARCH STN,23/04/2025,2.9,0.0, ,24.6,14.2,96,63,4.21,14.47
GRAFTON RESEARCH STN,24/04/2025,3.1,20.0, ,24.9,17.0,98,56,3.28,15.92
GRAFTON RESEARCH STN,25/04/2025,1.4,4.2, ,22.4,16.0,98,85,2.68,7.03
GRAFTON RESEARCH STN,26/04/2025,1.3,31.4, ,20.9,17.4,99,93,2.32,7.44
GRAFTON RESEARCH STN,27/04/2025,3.0,45.2, ,26.0,16.4,99,50,2.40,15.53
GRAFTON RESEARCH STN,28/04/2025,3.9,0.0, ,26.8,17.5,79,48,3.83,16.22
GRAFTON RESEARCH STN,29/04/2025,3.1,0.0, ,26.1,15.2,92,48,2.27,16.43
GRAFTON RESEARCH STN,30/04/2025, ,0.0, , ,14.1,100,53,2.39,15.40
Totals:,,87.2,202, ,,,,,, 
