'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GRAFTON RESEARCH STN New South Wales for June 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GRAFTON RESEARCH STN,01/06/2025,2.1,2.4, ,22.7,13.3,94,60,2.88,11.26
GRAFTON RESEARCH STN,02/06/2025,1.5,0.2, ,22.2,12.9,98,69,1.69,9.55
GRAFTON RESEARCH STN,03/06/2025,2.2,8.0, ,22.9,14.6,98,54,2.81,11.66
GRAFTON RESEARCH STN,04/06/2025,2.9,0.0, ,20.6,11.6,81,43,4.24,12.26
GRAFTON RESEARCH STN,05/06/2025,2.3,0.0, ,20.4,10.3,90,49,3.35,12.72
GRAFTON RESEARCH STN,06/06/2025,1.8,0.0, ,21.6,7.9,96,48,1.64,12.59
GRAFTON RESEARCH STN,07/06/2025,1.9,0.0, ,23.8,10.1,98,43,1.49,12.45
GRAFTON RESEARCH STN,08/06/2025,1.9,0.0, ,23.1,6.8,98,30,1.27,13.01
GRAFTON RESEARCH STN,09/06/2025,3.0,0.0, ,17.1,9.8,76,32,4.47,12.47
GRAFTON RESEARCH STN,10/06/2025,2.8,0.0, ,18.6,8.4,68,38,3.73,12.95
GRAFTON RESEARCH STN,11/06/2025,2.9,0.0, ,18.7,9.6,73,37,4.01,12.93
GRAFTON RESEARCH STN,12/06/2025,1.9,0.0, ,18.0,3.4,96,35,2.15,12.90
GRAFTON RESEARCH STN,13/06/2025,2.1,0.0, ,19.8,4.9,92,38,2.36,12.70
GRAFTON RESEARCH STN,14/06/2025,1.8,0.0, ,20.2,5.9,96,53,2.31,12.66
GRAFTON RESEARCH STN,15/06/2025,1.8,0.0, ,22.0,7.2,98,47,1.71,12.86
GRAFTON RESEARCH STN,16/06/2025,1.8,0.0, ,20.4,6.0,96,43,1.78,12.60
GRAFTON RESEARCH STN,17/06/2025,1.2,0.0, ,16.8,7.5,97,61,1.31,9.75
GRAFTON RESEARCH STN,18/06/2025,1.6,0.0, ,18.6,7.3,98,58,2.50,10.28
GRAFTON RESEARCH STN,19/06/2025,1.8,0.0, ,20.1,7.5,96,56,2.50,12.16
GRAFTON RESEARCH STN,20/06/2025,1.9,0.0, ,21.8,10.1,97,50,2.26,11.22
GRAFTON RESEARCH STN,21/06/2025,2.2,0.0, ,22.0,9.2,95,47,2.66,11.81
GRAFTON RESEARCH STN,22/06/2025,1.6,0.0, ,21.2,10.2,97,60,1.59,11.52
GRAFTON RESEARCH STN,23/06/2025,1.4,0.0, ,21.0,11.0,98,68,1.26,10.61
GRAFTON RESEARCH STN,24/06/2025,2.1,0.0, ,24.8,11.0,99,53,2.03,12.82
GRAFTON RESEARCH STN,25/06/2025,3.3,1.6, ,21.0,13.7,92,27,4.77,12.88
GRAFTON RESEARCH STN,26/06/2025,2.5,0.2, ,17.8,10.4,87,32,3.39,12.89
GRAFTON RESEARCH STN,27/06/2025,1.8,0.0, ,19.6,4.9,94,55,2.43,11.78
GRAFTON RESEARCH STN,28/06/2025,1.5,0.0, ,19.3,10.3,98,63,1.79,10.27
GRAFTON RESEARCH STN,29/06/2025,1.2,0.0, ,19.5,10.9,99,66,0.76,9.71
GRAFTON RESEARCH STN,30/06/2025,0.7,15.6, ,15.5,12.8,98,93,3.21,4.45
Totals:,,59.5,28, ,,,,,, 
