'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GREEN CAPE New South Wales for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GREEN CAPE,01/10/2024,4.0,0.0, ,20.3,10.4,87,52,6.21,21.66
GREEN CAPE,02/10/2024,4.2,0.0, ,20.4,11.7,83,49,5.57,21.68
GREEN CAPE,03/10/2024,3.4,0.0, ,19.3,12.5,86,64,6.82,18.32
GREEN CAPE,04/10/2024,2.7,0.0, ,18.9,14.4,95,73,7.69,15.86
GREEN CAPE,05/10/2024,3.1,4.8, ,20.2,13.8,96,67,5.64,18.34
GREEN CAPE,06/10/2024,3.5,0.2, ,21.0,12.4,89,63,5.14,19.15
GREEN CAPE,07/10/2024,4.0,0.0, ,22.3,13.7,87,60,8.15,17.17
GREEN CAPE,08/10/2024,4.1,0.0, ,17.2,9.8,76,51,9.32,19.79
GREEN CAPE,09/10/2024,4.2,0.0, ,17.5,8.3,76,48,6.54,23.45
GREEN CAPE,10/10/2024,4.2,0.0, ,19.8,11.3,80,61,8.42,22.97
GREEN CAPE,11/10/2024,3.5,0.2, ,19.3,11.5,83,57,5.92,16.33
GREEN CAPE,12/10/2024,4.3,0.0, ,17.6,11.8,77,53,9.79,21.02
GREEN CAPE,13/10/2024,4.0,0.0, ,18.2,9.5,86,58,9.55,24.18
GREEN CAPE,14/10/2024,2.9,0.0, ,18.7,12.8,89,60,6.83,9.83
GREEN CAPE,15/10/2024,4.2,0.8, ,18.9,13.1,74,44,5.10,17.92
GREEN CAPE,16/10/2024,4.2,0.0, ,19.3,11.1,82,50,5.47,22.24
GREEN CAPE,17/10/2024,4.0,0.0, ,21.6,12.2,88,66,5.74,24.11
GREEN CAPE,18/10/2024,1.5,0.0, ,18.4,16.1,96,88,7.91,8.04
GREEN CAPE,19/10/2024,3.5,5.8, ,18.3,15.9,93,64,12.77,19.01
GREEN CAPE,20/10/2024,3.3,0.0, ,17.9,13.3,90,66,11.81,17.07
GREEN CAPE,21/10/2024,4.1,0.0, ,19.6,13.8,88,61,7.34,23.60
GREEN CAPE,22/10/2024,3.6,0.0, ,19.7,11.1,91,70,5.96,23.58
GREEN CAPE,23/10/2024,1.9,0.0, ,17.5,14.8,92,73,5.50,5.70
GREEN CAPE,24/10/2024,5.4,2.6, ,19.0,12.5,74,43,10.03,24.90
GREEN CAPE,25/10/2024,5.0,0.0, ,16.1,11.4,76,41,11.59,24.80
GREEN CAPE,26/10/2024,4.5,0.0, ,19.6,9.7,79,52,7.02,23.78
GREEN CAPE,27/10/2024,4.8,0.0, ,23.8,12.8,84,51,5.64,22.23
GREEN CAPE,28/10/2024,5.2,0.0, ,19.0,14.8,74,51,10.74,24.49
GREEN CAPE,29/10/2024,4.8,0.0, ,19.2,11.9,81,53,8.66,26.50
GREEN CAPE,30/10/2024,4.5,0.0, ,20.5,11.7,89,57,5.52,26.75
GREEN CAPE,31/10/2024,3.5,0.0, ,19.7,14.5,82,63,6.87,14.03
Totals:,,120.1,14.4, ,,,,,, 
