'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GREEN CAPE New South Wales for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GREEN CAPE,01/12/2024,3.7,12.0, ,22.7,17.3,98,61,4.83,17.52
GREEN CAPE,02/12/2024,5.3,0.0, ,25.2,17.0,94,70,3.29,31.26
GREEN CAPE,03/12/2024,2.3,0.0, ,23.6,17.6,98,81,6.48,10.15
GREEN CAPE,04/12/2024,4.6,0.0, ,21.1,16.5,86,65,7.06,25.72
GREEN CAPE,05/12/2024,4.2,0.0, ,23.6,15.7,95,74,5.41,25.19
GREEN CAPE,06/12/2024, ,0.0, , ,18.0,96,71,3.58,27.72
GREEN CAPE,07/12/2024,3.5, , ,24.3,19.1,98,83,3.67,19.91
GREEN CAPE,08/12/2024,5.0,0.0, ,20.0,17.1,89,59,11.33,27.85
GREEN CAPE,09/12/2024,3.5,0.0, ,20.2,15.5,74,57,4.56,12.37
GREEN CAPE,10/12/2024,4.4,0.0, ,23.0,15.2,80,61,6.42,18.67
GREEN CAPE,11/12/2024,4.3,0.0, ,21.9,15.7,82,57,3.36,21.28
GREEN CAPE,12/12/2024,5.4,0.0, ,24.1,15.3,90,63,3.48,31.61
GREEN CAPE,13/12/2024, ,0.0, , ,17.4,94,72,7.09,21.51
GREEN CAPE,14/12/2024,3.7, , ,24.3,16.7,90,62,2.45,17.51
GREEN CAPE,15/12/2024,5.3,0.0, ,25.6,18.4,93,69,3.46,29.31
GREEN CAPE,16/12/2024,5.3,0.0, ,26.1,19.9,94,75,8.18,31.06
GREEN CAPE,17/12/2024, ,0.0, , ,19.4,94,62,9.85,9.88
GREEN CAPE,18/12/2024,5.7, , ,21.0,15.6,75,56,10.26,27.71
GREEN CAPE,19/12/2024,5.4,0.0, ,22.3,14.1,80,55,6.55,27.48
GREEN CAPE,20/12/2024,5.7,0.0, ,24.3,13.8,84,52,3.51,31.40
GREEN CAPE,21/12/2024,5.7,0.0, ,22.4,15.3,86,55,9.39,30.36
GREEN CAPE,22/12/2024,3.8,0.0, ,25.0,15.1,89,63,5.00,15.44
GREEN CAPE,23/12/2024,5.0,0.0, ,18.9,12.7,84,49,13.71,21.69
GREEN CAPE,24/12/2024,4.4,1.4, ,20.2,12.0,79,60,12.00,17.71
GREEN CAPE,25/12/2024,6.0,0.0, ,26.0,15.6,87,60,5.55,31.98
GREEN CAPE,26/12/2024,5.4,0.0, ,25.8,17.8,90,71,9.79,31.31
GREEN CAPE,27/12/2024,4.8,0.0, ,22.5,18.4,93,57,10.33,20.92
GREEN CAPE,28/12/2024,4.7,0.0, ,22.1,15.1,83,53,3.52,24.11
GREEN CAPE,29/12/2024,5.5,0.0, ,23.2,16.2,83,60,7.71,29.30
GREEN CAPE,30/12/2024,5.8,0.0, ,25.3,17.7,87,63,4.64,31.93
GREEN CAPE,31/12/2024,5.3,0.0, ,22.9,18.1,90,66,5.12,30.74
Totals:,,133.7,13.4, ,,,,,, 
