'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GREEN CAPE New South Wales for May 2025,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GREEN CAPE,01/05/2025,2.4, , ,17.1,13.0,91,63,8.69,9.14
GREEN CAPE,02/05/2025,2.4,4.2, ,20.4,11.9,89,55,3.78,12.55
GREEN CAPE,03/05/2025,2.0,0.0, ,19.2,11.0,92,63,3.95,12.41
GREEN CAPE,04/05/2025,2.8,0.2, ,20.6,13.4,85,60,6.51,12.16
GREEN CAPE,05/05/2025, ,0.0, , ,14.6,86,48,4.34,11.22
GREEN CAPE,06/05/2025, , , , ,14.6,84,47,4.99,11.98
GREEN CAPE,07/05/2025,3.6, , ,23.4,16.4,84,51,7.18,11.87
GREEN CAPE,08/05/2025,3.7,0.0, ,16.4,12.2,74,50,11.77,11.41
GREEN CAPE,09/05/2025,2.7,0.0, ,21.0,12.0,84,51,4.91,11.68
GREEN CAPE,10/05/2025,1.7,0.0, ,20.0,11.3,93,64,2.80,11.57
GREEN CAPE,11/05/2025,1.9,0.2, ,20.3,12.4,94,66,4.03,11.46
GREEN CAPE,12/05/2025,1.8,0.0, ,22.4,13.7,91,66,2.63,11.05
GREEN CAPE,13/05/2025,1.8,0.2, ,21.4,13.6,89,70,3.48,11.22
GREEN CAPE,14/05/2025,1.9,0.2, ,22.0,14.2,93,69,3.71,10.97
GREEN CAPE,15/05/2025,1.9, , ,20.7,13.5,91,61,3.52,10.83
GREEN CAPE,16/05/2025,1.5,0.2, ,20.4,14.1,92,76,3.99,7.93
GREEN CAPE,17/05/2025,2.8,0.4, ,17.7,13.9,83,59,8.85,10.30
GREEN CAPE,18/05/2025,1.3,7.4, ,12.6,10.5,96,77,10.64,5.19
GREEN CAPE,19/05/2025,2.1,20.8, ,17.6,10.1,87,59,5.33,10.62
GREEN CAPE,20/05/2025,1.6,0.0, ,18.2,10.7,93,65,3.77,7.58
GREEN CAPE,21/05/2025,1.1,2.2, ,17.8,12.3,95,83,2.88,8.15
GREEN CAPE,22/05/2025,1.1,14.0, ,20.1,13.8,97,83,5.56,3.70
GREEN CAPE,23/05/2025,1.9,33.4, ,20.5,14.9,97,76,13.00,5.48
GREEN CAPE,24/05/2025,2.4,30.8, ,20.4,13.3,88,44,3.94,10.29
GREEN CAPE,25/05/2025,3.0,0.2, ,21.3,11.9,75,31,3.99,6.62
GREEN CAPE,26/05/2025,3.8,0.0, ,19.7,13.4,83,41,9.86,9.16
GREEN CAPE,27/05/2025,3.2,0.0, ,17.5,13.5,88,39,8.48,9.38
GREEN CAPE,28/05/2025,2.3,1.8, ,14.8,11.1,88,64,13.48,5.88
GREEN CAPE,29/05/2025,2.3,0.2, ,16.3,12.9,83,63,8.46,9.97
GREEN CAPE,30/05/2025,2.3,0.0, ,16.3,12.4,76,65,7.25,7.20
GREEN CAPE,31/05/2025,1.9,0.0, ,19.2,11.9,87,59,4.39,9.86
Totals:,,65.2,116.4, ,,,,,, 
