'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GRIFFITH AIRPORT New South Wales for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GRIFFITH AIRPORT,01/10/2024,4.1,0.0, ,23.1,4.1,99,33,2.60,22.53
GRIFFITH AIRPORT,02/10/2024,4.8,0.0, ,25.6,5.4,92,25,2.94,22.81
GRIFFITH AIRPORT,03/10/2024,5.8,0.0, ,26.5,11.5,83,28,5.05,21.83
GRIFFITH AIRPORT,04/10/2024,4.6,0.0, ,26.5,15.4,97,35,5.45,12.44
GRIFFITH AIRPORT,05/10/2024,4.3,2.2, ,23.8,7.4,97,32,3.20,20.19
GRIFFITH AIRPORT,06/10/2024,4.2, , ,23.6,6.1,97,39,3.51,20.15
GRIFFITH AIRPORT,07/10/2024,5.5,0.0, ,28.9,8.2,95,29,3.71,21.83
GRIFFITH AIRPORT,08/10/2024,5.0,0.0, ,20.9,8.1,87,26,5.09,23.25
GRIFFITH AIRPORT,09/10/2024,5.3,0.0, ,24.1,6.1,82,31,4.37,24.01
GRIFFITH AIRPORT,10/10/2024,5.4,0.0, ,27.7,8.6,87,25,2.96,24.07
GRIFFITH AIRPORT,11/10/2024,5.9,0.0, ,26.4,8.6,86,15,3.92,22.51
GRIFFITH AIRPORT,12/10/2024,5.6,0.0, ,26.6,3.1,95,28,4.07,24.46
GRIFFITH AIRPORT,13/10/2024,6.4,0.0, ,27.3,9.7,71,25,4.85,23.40
GRIFFITH AIRPORT,14/10/2024,6.2,0.0, ,30.8,13.8,74,20,3.44,21.25
GRIFFITH AIRPORT,15/10/2024,6.4,0.0, ,29.1,15.2,89,34,6.48,20.35
GRIFFITH AIRPORT,16/10/2024,3.6,3.8, ,24.9,13.5,98,54,4.01,14.93
GRIFFITH AIRPORT,17/10/2024, ,0.0, , ,12.7,98,38,4.25,18.75
GRIFFITH AIRPORT,18/10/2024,5.4, , ,27.6,18.1,98,42,7.57,17.25
GRIFFITH AIRPORT,19/10/2024,5.9,2.4, ,25.8,14.7,85,38,6.37,22.58
GRIFFITH AIRPORT,20/10/2024,5.5,0.0, ,27.1,9.7,93,32,3.50,25.68
GRIFFITH AIRPORT,21/10/2024,6.1,0.0, ,30.4,10.9,93,28,3.25,25.92
GRIFFITH AIRPORT,22/10/2024,6.2,0.0, ,32.8,11.6,82,17,2.48,24.29
GRIFFITH AIRPORT,23/10/2024, ,0.0, , ,15.0,100,39,3.14,13.63
GRIFFITH AIRPORT,24/10/2024, , , ,22.0, ,71,24,5.49,26.00
GRIFFITH AIRPORT,25/10/2024,5.7,0.0, ,21.1,7.1,71,22,5.05,26.27
GRIFFITH AIRPORT,26/10/2024,4.6,0.0, ,23.9,3.3,84,14,1.69,25.57
GRIFFITH AIRPORT,27/10/2024,5.7,0.0, ,29.8,9.1,61,16,2.03,25.64
GRIFFITH AIRPORT,28/10/2024,7.1,0.0, ,27.5,11.0,74,19,4.86,26.94
GRIFFITH AIRPORT,29/10/2024,6.5,0.0, ,28.0,8.4,78,18,3.70,27.10
GRIFFITH AIRPORT,30/10/2024,6.0,0.0, ,29.2,7.0,82,17,2.47,27.23
GRIFFITH AIRPORT,31/10/2024,5.7,0.0, ,27.4,10.9,71,24,3.99,18.26
Totals:,,153.5,8.4, ,,,,,, 
