'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GRIFFITH AIRPORT New South Wales for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GRIFFITH AIRPORT,01/02/2025,10.0,0.0, ,39.3,21.4,69,19,5.06,27.96
GRIFFITH AIRPORT,02/02/2025,10.9,0.0, ,39.5,24.3,56,17,5.55,28.37
GRIFFITH AIRPORT,03/02/2025,9.9,0.0, ,39.3,24.4,47,13,4.19,28.25
GRIFFITH AIRPORT,04/02/2025,10.1,0.0, ,40.8,22.9,68,13,4.51,27.14
GRIFFITH AIRPORT,05/02/2025,9.7,1.0, ,39.2,24.2,76,23,5.14,27.48
GRIFFITH AIRPORT,06/02/2025,8.6,0.0, ,38.8,20.9,82,20,3.66,27.97
GRIFFITH AIRPORT,07/02/2025,10.0,0.0, ,40.6,26.3,81,22,6.76,19.49
GRIFFITH AIRPORT,08/02/2025,4.8,19.0, ,31.4,18.7,89,43,3.00,16.92
GRIFFITH AIRPORT,09/02/2025,6.3,1.2, ,33.9,18.8,97,31,3.22,23.00
GRIFFITH AIRPORT,10/02/2025,7.3,0.0, ,32.9,19.6,94,37,5.97,24.88
GRIFFITH AIRPORT,11/02/2025,7.4,0.6, ,34.2,17.4,92,22,3.70,27.06
GRIFFITH AIRPORT,12/02/2025,8.4,0.0, ,36.0,20.2,69,24,4.30,27.21
GRIFFITH AIRPORT,13/02/2025,9.3,0.0, ,38.3,23.5,83,22,5.49,25.23
GRIFFITH AIRPORT,14/02/2025,6.1,1.0, ,29.9,19.7,83,24,4.75,16.07
GRIFFITH AIRPORT,15/02/2025,7.2,0.0, ,25.1,15.3,71,26,7.22,26.38
GRIFFITH AIRPORT,16/02/2025,6.6,0.0, ,23.4,9.7,63,23,5.94,26.66
GRIFFITH AIRPORT,17/02/2025,6.4,0.0, ,27.5,9.7,67,20,3.59,26.43
GRIFFITH AIRPORT,18/02/2025,7.1,0.0, ,31.9,11.5,62,12,3.30,26.03
GRIFFITH AIRPORT,19/02/2025,7.0,0.0, ,28.5,13.1,73,21,4.63,25.99
GRIFFITH AIRPORT,20/02/2025,6.5,0.0, ,31.1,9.9,81,24,3.39,25.83
GRIFFITH AIRPORT,21/02/2025, ,0.0, , ,15.8,72,22,5.43,24.63
GRIFFITH AIRPORT,22/02/2025,9.6, , ,37.9,21.5,55,19,5.84,20.24
GRIFFITH AIRPORT,23/02/2025,9.9,0.0, ,38.6,24.3,63,19,6.52,18.66
GRIFFITH AIRPORT,24/02/2025,7.9,0.8, ,33.5,18.2,55,15,4.01,25.11
GRIFFITH AIRPORT,25/02/2025,8.5,0.0, ,36.9,15.7,67,17,4.36,24.74
GRIFFITH AIRPORT,26/02/2025,9.3,0.0, ,39.1,21.2,72,11,4.60,24.71
GRIFFITH AIRPORT,27/02/2025,8.3,0.0, ,39.4,17.2,46,13,3.35,24.36
GRIFFITH AIRPORT,28/02/2025,6.7,0.0, ,36.5,21.6,52,23,2.85,21.09
Totals:,,219.8,23.6, ,,,,,, 
