'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GRIFFITH AIRPORT New South Wales for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GRIFFITH AIRPORT,01/03/2025,7.7,0.0, ,39.0,18.5,62,18,3.29,22.76
GRIFFITH AIRPORT,02/03/2025,7.6,0.0, ,33.8,16.9,49,16,3.80,23.85
GRIFFITH AIRPORT,03/03/2025,7.0,0.0, ,33.8,13.4,79,22,3.76,24.06
GRIFFITH AIRPORT,04/03/2025,8.1,0.0, ,34.3,18.2,70,26,5.44,23.85
GRIFFITH AIRPORT,05/03/2025,8.2,0.0, ,33.8,17.0,69,21,5.38,23.60
GRIFFITH AIRPORT,06/03/2025,9.1,0.0, ,34.5,18.1,69,16,6.31,23.35
GRIFFITH AIRPORT,07/03/2025,8.4,0.0, ,32.2,17.8,66,27,7.13,23.18
GRIFFITH AIRPORT,08/03/2025,8.0,0.0, ,34.1,16.6,79,23,5.55,23.07
GRIFFITH AIRPORT,09/03/2025,5.3,0.0, ,33.3,20.6,100,36,4.93,13.21
GRIFFITH AIRPORT,10/03/2025,4.6,9.0, ,31.2,21.6,99,48,3.67,17.06
GRIFFITH AIRPORT,11/03/2025,7.3,0.0, ,34.6,19.7,92,28,5.17,22.79
GRIFFITH AIRPORT,12/03/2025,6.7,0.0, ,33.8,21.0,73,32,4.26,21.83
GRIFFITH AIRPORT,13/03/2025,6.0,0.0, ,36.6,20.5,76,27,2.61,21.42
GRIFFITH AIRPORT,14/03/2025,6.5,0.0, ,38.5,20.4,79,21,2.69,21.45
GRIFFITH AIRPORT,15/03/2025,7.6,0.0, ,39.9,23.6,51,15,3.32,20.80
GRIFFITH AIRPORT,16/03/2025,9.6,0.0, ,37.7,27.6,75,17,8.28,11.38
GRIFFITH AIRPORT,17/03/2025,5.6,0.0, ,23.2,10.5,67,25,5.24,21.29
GRIFFITH AIRPORT,18/03/2025,5.9,0.0, ,29.2,11.5,61,30,4.28,19.47
GRIFFITH AIRPORT,19/03/2025,8.1,0.0, ,36.6,16.9,64,20,5.07,19.16
GRIFFITH AIRPORT,20/03/2025,7.1,0.0, ,35.4,23.9,99,27,6.68,15.14
GRIFFITH AIRPORT,21/03/2025,4.2,6.2, ,29.0,21.1,100,41,3.61,15.16
GRIFFITH AIRPORT,22/03/2025,4.5,0.2, ,28.3,13.3,98,29,2.61,20.52
GRIFFITH AIRPORT,23/03/2025,5.7,0.0, ,32.6,16.4,80,28,3.41,19.63
GRIFFITH AIRPORT,24/03/2025,5.6,0.0, ,33.7,18.4,75,29,3.19,18.69
GRIFFITH AIRPORT,25/03/2025,5.9,0.0, ,33.3,18.9,78,32,3.94,18.68
GRIFFITH AIRPORT,26/03/2025, ,0.0, , ,19.6,100,30,2.75,18.17
GRIFFITH AIRPORT,27/03/2025, , , , , ,69,24,4.35,19.02
GRIFFITH AIRPORT,28/03/2025, , , ,27.0, ,94,40,4.06,5.66
GRIFFITH AIRPORT,29/03/2025,1.9,8.8, ,23.3,17.3,100,80,4.59,9.12
GRIFFITH AIRPORT,30/03/2025,5.3,0.8, ,29.5,16.0,93,33,4.73,18.62
GRIFFITH AIRPORT,31/03/2025,5.2,0.0, ,28.5,16.1,85,30,4.28,18.47
Totals:,,182.7,25, ,,,,,, 
