'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GUNNEDAH AIRPORT New South Wales for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GUNNEDAH AIRPORT,01/11/2024,6.7,0.0, ,30.3,10.0,78,20,3.35,26.69
GUNNEDAH AIRPORT,02/11/2024,6.8,0.0, ,31.9,14.0,86,24,3.89,23.99
GUNNEDAH AIRPORT,03/11/2024,6.9,0.0, ,33.4,13.8,85,29,3.73,24.48
GUNNEDAH AIRPORT,04/11/2024,6.3,0.0, ,35.0,15.7,85,24,3.13,19.61
GUNNEDAH AIRPORT,05/11/2024,8.2,0.0, ,36.4,19.0,77,24,4.03,26.76
GUNNEDAH AIRPORT,06/11/2024,7.0,0.0, ,36.5,17.8,85,23,3.04,23.76
GUNNEDAH AIRPORT,07/11/2024,8.8,0.0, ,39.4,21.3,72,20,4.73,21.22
GUNNEDAH AIRPORT,08/11/2024,8.0,0.0, ,33.4,15.2,80,14,3.94,27.51
GUNNEDAH AIRPORT,09/11/2024,7.6,0.0, ,34.5,13.3,64,13,3.00,27.46
GUNNEDAH AIRPORT,10/11/2024,4.9,0.0, ,32.2,13.2,78,30,2.27,16.26
GUNNEDAH AIRPORT,11/11/2024,5.7,0.0, ,32.3,17.8,89,41,5.33,14.39
GUNNEDAH AIRPORT,12/11/2024,6.1,4.6, ,30.6,16.3,90,38,4.47,22.11
GUNNEDAH AIRPORT,13/11/2024,6.9,0.0, ,33.8,15.6,95,26,3.89,23.05
GUNNEDAH AIRPORT,14/11/2024,6.9,0.0, ,33.4,12.7,95,25,3.38,25.51
GUNNEDAH AIRPORT,15/11/2024,8.5,0.0, ,35.2,17.1,86,23,5.46,24.68
GUNNEDAH AIRPORT,16/11/2024,7.5,0.0, ,35.1,15.8,89,25,3.67,26.53
GUNNEDAH AIRPORT,17/11/2024,7.3,0.0, ,34.2,19.3,95,32,4.64,24.43
GUNNEDAH AIRPORT,18/11/2024, ,11.0, , ,18.7,97,63,2.17,8.13
GUNNEDAH AIRPORT,19/11/2024,6.1, , ,31.1,14.0,98,39,4.64,22.33
GUNNEDAH AIRPORT,20/11/2024,7.8,0.0, ,31.2,13.6,92,18,4.52,29.11
GUNNEDAH AIRPORT,21/11/2024,7.2,6.2, ,30.7,13.7,95,24,4.37,28.08
GUNNEDAH AIRPORT,22/11/2024,7.4,0.0, ,32.2,13.1,88,23,3.68,29.20
GUNNEDAH AIRPORT,23/11/2024,7.1,0.0, ,33.3,15.6,86,19,2.65,29.07
GUNNEDAH AIRPORT,24/11/2024,7.2,0.0, ,35.5,13.8,82,23,2.39,29.27
GUNNEDAH AIRPORT,25/11/2024,7.3,0.0, ,35.3,15.4,83,26,2.63,29.38
GUNNEDAH AIRPORT,26/11/2024,7.6,0.0, ,36.5,16.7,82,25,2.73,29.39
GUNNEDAH AIRPORT,27/11/2024,7.8,0.0, ,36.6,17.1,83,24,3.61,25.34
GUNNEDAH AIRPORT,28/11/2024,3.0,0.6, ,28.9,21.4,90,54,2.60,8.03
GUNNEDAH AIRPORT,29/11/2024,2.9,5.2, ,27.0,20.1,98,62,3.03,9.85
GUNNEDAH AIRPORT,30/11/2024, ,28.6, ,22.3,20.3,98,89,1.87, 
Totals:,,191.5,56.2, ,,,,,, 
