'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GUNNEDAH AIRPORT New South Wales for May 2025,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GUNNEDAH AIRPORT,01/05/2025,3.5,0.2, ,19.8,10.6,83,51,7.36,15.35
GUNNEDAH AIRPORT,02/05/2025,3.4,0.0, ,22.0,9.2,92,44,5.19,15.28
GUNNEDAH AIRPORT,03/05/2025,3.1,0.0, ,22.5,7.0,96,47,4.28,15.27
GUNNEDAH AIRPORT,04/05/2025,3.0,0.0, ,23.9,8.4,93,48,3.35,15.14
GUNNEDAH AIRPORT,05/05/2025,2.8,0.0, ,24.0,11.4,95,51,3.05,14.38
GUNNEDAH AIRPORT,06/05/2025,2.6,0.0, ,24.9,11.6,96,46,2.03,14.43
GUNNEDAH AIRPORT,07/05/2025,2.3,0.0, ,24.4,6.8,98,49,1.62,14.12
GUNNEDAH AIRPORT,08/05/2025,3.0,0.0, ,23.8,7.9,98,35,2.90,14.70
GUNNEDAH AIRPORT,09/05/2025,3.4,0.0, ,21.9,11.7,87,46,5.46,14.59
GUNNEDAH AIRPORT,10/05/2025,3.2,0.0, ,23.0,8.5,92,47,4.59,14.03
GUNNEDAH AIRPORT,11/05/2025,3.1,0.0, ,24.5,10.9,92,49,4.43,12.37
GUNNEDAH AIRPORT,12/05/2025,2.9,0.4, ,23.9,10.8,95,47,3.51,14.27
GUNNEDAH AIRPORT,13/05/2025,2.7,0.0, ,24.2,10.5,97,50,3.19,14.12
GUNNEDAH AIRPORT,14/05/2025,1.7,0.0, ,21.7,13.2,93,66,2.39,8.43
GUNNEDAH AIRPORT,15/05/2025,1.5,6.4, ,20.1,13.8,97,69,2.41,7.74
GUNNEDAH AIRPORT,16/05/2025,1.5,5.4, ,19.9,14.6,97,76,2.53,9.47
GUNNEDAH AIRPORT,17/05/2025,1.6,2.0, ,22.0,11.8,98,61,1.40,8.86
GUNNEDAH AIRPORT,18/05/2025,2.5,0.8, ,20.5,3.8,98,45,3.42,13.69
GUNNEDAH AIRPORT,19/05/2025,3.0,0.0, ,18.4,10.4,89,52,7.94,12.72
GUNNEDAH AIRPORT,20/05/2025,1.6,1.4, ,16.6,11.9,94,79,7.91,8.81
GUNNEDAH AIRPORT,21/05/2025,1.9,1.6, ,20.6,12.1,97,74,5.49,10.49
GUNNEDAH AIRPORT,22/05/2025,1.9,2.8, ,21.3,13.5,96,60,2.80,9.82
GUNNEDAH AIRPORT,23/05/2025,1.7,0.0, ,19.5,9.3,98,56,2.20,10.69
GUNNEDAH AIRPORT,24/05/2025,1.7,0.0, ,20.1,3.1,98,49,1.45,12.78
GUNNEDAH AIRPORT,25/05/2025,1.6,0.0, ,21.4,3.5,98,44,1.26,9.61
GUNNEDAH AIRPORT,26/05/2025,1.4,0.0, ,20.1,8.8,97,70,2.74,5.81
GUNNEDAH AIRPORT,27/05/2025,2.2,28.2, ,18.0,12.1,98,44,3.82,10.10
GUNNEDAH AIRPORT,28/05/2025,2.1,0.0, ,17.8,4.1,93,47,3.26,12.92
GUNNEDAH AIRPORT,29/05/2025,1.3,0.0, ,14.9,6.8,96,66,3.02,7.76
GUNNEDAH AIRPORT,30/05/2025,2.1,0.0, ,20.4,9.3,94,61,3.89,11.47
GUNNEDAH AIRPORT,31/05/2025,2.3,0.0, ,20.4,10.6,92,58,4.63,11.83
Totals:,,72.6,49.2, ,,,,,, 
