'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GUNNEDAH AIRPORT New South Wales for June 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GUNNEDAH AIRPORT,01/06/2025,2.1,0.0, ,20.8,7.1,96,57,3.27,12.70
GUNNEDAH AIRPORT,02/06/2025,1.6,0.0, ,18.6,10.2,96,63,2.62,10.05
GUNNEDAH AIRPORT,03/06/2025,1.4,8.4, ,18.0,9.0,98,62,2.49,7.75
GUNNEDAH AIRPORT,04/06/2025,1.9,2.0, ,16.2,6.4,96,49,3.64,10.68
GUNNEDAH AIRPORT,05/06/2025,1.4,0.0, ,16.0,-0.6,98,58,2.06,12.44
GUNNEDAH AIRPORT,06/06/2025,1.6,0.0, ,17.6,2.9,96,56,2.31,11.37
GUNNEDAH AIRPORT,07/06/2025,1.5,0.0, ,17.9,4.7,98,51,1.91,10.91
GUNNEDAH AIRPORT,08/06/2025,1.3,0.0, ,14.2,1.5,98,61,2.69,8.94
GUNNEDAH AIRPORT,09/06/2025,1.4,1.4, ,11.1,0.0,98,56,3.82,9.83
GUNNEDAH AIRPORT,10/06/2025,1.8,0.2, ,14.5,5.2,88,54,3.98,9.48
GUNNEDAH AIRPORT,11/06/2025,1.4,0.0, ,14.8,4.5,97,52,2.15,10.00
GUNNEDAH AIRPORT,12/06/2025,1.2,0.0, ,14.1,-1.3,100,53,1.54,9.42
GUNNEDAH AIRPORT,13/06/2025,1.1,0.2, ,14.8,-1.9,98,53,1.32,10.07
GUNNEDAH AIRPORT,14/06/2025,1.2,0.0, ,16.1,-2.2,98,56,1.25,12.06
GUNNEDAH AIRPORT,15/06/2025,1.2,0.0, ,16.9,-0.5,98,51,1.07,12.11
GUNNEDAH AIRPORT,16/06/2025,1.3,0.0, ,17.2,-1.1,98,43,1.11,11.72
GUNNEDAH AIRPORT,17/06/2025,1.0,0.0, ,14.4,-0.2,98,60,1.00,9.68
GUNNEDAH AIRPORT,18/06/2025,1.1,0.2, ,13.4,-2.5,98,56,1.40,11.03
GUNNEDAH AIRPORT,19/06/2025,1.6,0.2, ,16.7,-1.7,98,44,2.12,11.83
GUNNEDAH AIRPORT,20/06/2025,1.8,0.2, ,18.1,-0.9,97,46,2.32,12.26
GUNNEDAH AIRPORT,21/06/2025,1.8,0.0, ,19.1,0.4,97,45,2.24,12.25
GUNNEDAH AIRPORT,22/06/2025,1.9,0.0, ,20.7,1.9,97,47,2.40,12.18
GUNNEDAH AIRPORT,23/06/2025,1.8,0.0, ,21.3,5.4,96,54,2.30,11.55
GUNNEDAH AIRPORT,24/06/2025,1.4,0.0, ,18.4,7.1,95,74,4.58,4.54
GUNNEDAH AIRPORT,25/06/2025,1.9,9.0, ,15.4,2.9,97,50,4.23,12.08
GUNNEDAH AIRPORT,26/06/2025,1.4,0.4, ,12.9,0.4,94,49,2.32,12.32
GUNNEDAH AIRPORT,27/06/2025,2.1,0.0, ,16.1,0.6,92,45,3.87,12.33
GUNNEDAH AIRPORT,28/06/2025,1.8,0.0, ,18.0,3.2,97,50,2.66,12.18
GUNNEDAH AIRPORT,29/06/2025,1.6,0.0, ,18.3,2.4,97,49,2.10,9.45
GUNNEDAH AIRPORT,30/06/2025, ,0.0, , ,1.8,98,55,3.65,10.42
Totals:,,44.6,22.2, ,,,,,, 
