'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GUNNEDAH AIRPORT New South Wales for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GUNNEDAH AIRPORT,01/08/2025,2.2,0.8, ,17.2,7.8,95,58,5.02,12.46
GUNNEDAH AIRPORT,02/08/2025,1.2,45.6, ,15.1,8.1,97,78,4.96,4.91
GUNNEDAH AIRPORT,03/08/2025,2.5,22.8, ,19.3,7.8,93,65,7.04,13.70
GUNNEDAH AIRPORT,04/08/2025,2.3,0.0, ,19.0,8.9,95,55,3.26,14.85
GUNNEDAH AIRPORT,05/08/2025,2.0,0.0, ,19.1,8.2,97,57,1.86,15.01
GUNNEDAH AIRPORT,06/08/2025,2.3,0.2, ,18.4,7.3,98,33,2.11,14.66
GUNNEDAH AIRPORT,07/08/2025,2.6,0.0, ,19.3,3.8,95,54,4.74,15.26
GUNNEDAH AIRPORT,08/08/2025,1.3,0.0, ,14.3,9.5,96,75,3.69,6.64
GUNNEDAH AIRPORT,09/08/2025,3.1,3.4, ,19.5,8.4,93,46,5.66,15.43
GUNNEDAH AIRPORT,10/08/2025,2.8,0.0, ,18.4,6.6,92,52,5.61,15.09
GUNNEDAH AIRPORT,11/08/2025,2.6,0.0, ,17.9,6.0,95,49,4.08,15.81
GUNNEDAH AIRPORT,12/08/2025,2.2,0.0, ,18.5,4.5,97,48,2.24,15.78
GUNNEDAH AIRPORT,13/08/2025,2.4,0.0, ,19.1,4.2,93,48,2.51,15.37
GUNNEDAH AIRPORT,14/08/2025,2.6,0.0, ,18.2,4.3,98,51,4.41,15.24
GUNNEDAH AIRPORT,15/08/2025,2.4,0.0, ,18.7,3.1,98,37,2.12,16.27
GUNNEDAH AIRPORT,16/08/2025,2.4,0.0, ,19.4,3.7,98,47,3.05,13.09
GUNNEDAH AIRPORT,17/08/2025,2.4,0.0, ,15.2,-0.7,95,36,2.62,16.60
GUNNEDAH AIRPORT,18/08/2025,2.6,0.0, ,16.0,-1.6,97,41,3.50,16.74
GUNNEDAH AIRPORT,19/08/2025,2.9,0.0, ,18.2,4.1,90,42,4.12,14.86
GUNNEDAH AIRPORT,20/08/2025,1.2,1.2, ,12.0,7.4,97,75,3.72,5.97
GUNNEDAH AIRPORT,21/08/2025,1.7,24.0, ,16.4,9.1,97,67,2.16,10.73
GUNNEDAH AIRPORT,22/08/2025,2.1,3.6, ,17.7,4.5,98,54,1.46,16.61
GUNNEDAH AIRPORT,23/08/2025,2.7,0.0, ,20.9,2.9,98,44,2.37,16.70
GUNNEDAH AIRPORT,24/08/2025,2.8,0.0, ,20.3,3.1,98,34,2.02,17.61
GUNNEDAH AIRPORT,25/08/2025,2.4,0.0, ,20.2,1.7,98,53,1.78,17.75
GUNNEDAH AIRPORT,26/08/2025,2.7,0.0, ,22.7,6.3,98,52,1.96,17.91
GUNNEDAH AIRPORT,27/08/2025,3.6,0.0, ,22.9,6.7,98,42,4.50,16.72
GUNNEDAH AIRPORT,28/08/2025,3.0,0.0, ,18.7,3.1,98,36,3.08,18.03
GUNNEDAH AIRPORT,29/08/2025,3.1,0.0, ,18.2,1.6,97,33,3.18,18.23
GUNNEDAH AIRPORT,30/08/2025,2.7,0.0, ,14.4,4.9,89,46,5.70,13.39
GUNNEDAH AIRPORT,31/08/2025,2.5,0.0, ,17.6,-2.4,97,36,1.69,18.67
Totals:,,75.3,101.6, ,,,,,, 
