'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GUNNEDAH RESOURCE CENTRE New South Wales for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GUNNEDAH RESOURCE CENTRE,01/11/2024,4.4,0.0, ,29.2,16.3,64,23,0.00,27.82
GUNNEDAH RESOURCE CENTRE,02/11/2024,4.2,0.0, ,31.0,14.9,81,26,0.00,25.69
GUNNEDAH RESOURCE CENTRE,03/11/2024,4.4,0.0, ,32.4,16.8,70,32,0.00,25.48
GUNNEDAH RESOURCE CENTRE,04/11/2024,3.4,0.0, ,34.0,20.0,61,28,0.00,18.01
GUNNEDAH RESOURCE CENTRE,05/11/2024,4.6,0.0, ,35.6,19.0,75,24,0.00,25.70
GUNNEDAH RESOURCE CENTRE,06/11/2024,4.2,0.0, ,35.2,19.3,78,25,0.00,23.16
GUNNEDAH RESOURCE CENTRE,07/11/2024,4.1,0.0, ,39.6,23.4,69,23,0.00,20.95
GUNNEDAH RESOURCE CENTRE,08/11/2024,4.6,0.4, ,33.0,16.7,75,14,0.00,28.29
GUNNEDAH RESOURCE CENTRE,09/11/2024,4.4,0.0, ,33.6,14.3,60,14,0.00,28.17
GUNNEDAH RESOURCE CENTRE,10/11/2024,3.3,0.0, ,31.0,17.9,74,35,0.00,17.38
GUNNEDAH RESOURCE CENTRE,11/11/2024,3.2,0.0, ,32.0,18.0,87,42,0.00,16.32
GUNNEDAH RESOURCE CENTRE,12/11/2024,3.9,6.0, ,29.9,17.0,92,42,0.00,21.36
GUNNEDAH RESOURCE CENTRE,13/11/2024,4.2,7.6, ,33.1,16.1,89,29,0.00,23.27
GUNNEDAH RESOURCE CENTRE,14/11/2024,4.4,0.8, ,32.3,13.6,93,27,0.00,25.74
GUNNEDAH RESOURCE CENTRE,15/11/2024,4.6,0.0, ,34.4,17.9,82,24,0.00,25.88
GUNNEDAH RESOURCE CENTRE,16/11/2024,4.8,0.0, ,34.0,17.3,83,28,0.00,27.31
GUNNEDAH RESOURCE CENTRE,17/11/2024,4.9,0.0, ,33.8,19.5,95,33,0.00,26.00
GUNNEDAH RESOURCE CENTRE,18/11/2024,1.7,19.8, ,21.7,19.1,97,71,0.00,7.61
GUNNEDAH RESOURCE CENTRE,19/11/2024,4.2,4.0, ,29.4,15.5,96,41,0.00,23.65
GUNNEDAH RESOURCE CENTRE,20/11/2024,4.9,0.0, ,29.3,15.8,86,28,0.00,29.41
GUNNEDAH RESOURCE CENTRE,21/11/2024, ,0.2, , ,14.5,81,27,0.00,28.34
GUNNEDAH RESOURCE CENTRE,22/11/2024, , , ,30.8, ,76,25,0.00,29.90
GUNNEDAH RESOURCE CENTRE,23/11/2024,5.0,0.0, ,32.2,17.1,79,23,0.00,29.39
GUNNEDAH RESOURCE CENTRE,24/11/2024,5.1,0.0, ,34.2,17.6,66,25,0.00,29.66
GUNNEDAH RESOURCE CENTRE,25/11/2024,5.3,0.0, ,34.5,19.3,67,27,0.00,29.98
GUNNEDAH RESOURCE CENTRE,26/11/2024,5.4,0.0, ,35.4,20.2,63,26,0.00,30.23
GUNNEDAH RESOURCE CENTRE,27/11/2024,5.1,0.0, ,35.3,21.0,82,25,0.00,27.21
GUNNEDAH RESOURCE CENTRE,28/11/2024,2.0,0.2, ,28.1,21.7,88,58,0.00,8.65
GUNNEDAH RESOURCE CENTRE,29/11/2024,2.4,5.6, ,26.3,19.9,97,64,0.00,11.20
GUNNEDAH RESOURCE CENTRE,30/11/2024, ,30.6, ,22.9,19.9,98,90,0.00, 
Totals:,,112.7,75.2, ,,,,,, 
