'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GUNNEDAH RESOURCE CENTRE New South Wales for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GUNNEDAH RESOURCE CENTRE,01/01/2025,4.9,2.4, ,33.7,18.1,84,31,0.00,26.41
GUNNEDAH RESOURCE CENTRE,02/01/2025,5.3,0.2, ,34.7,20.3,77,32,0.00,28.52
GUNNEDAH RESOURCE CENTRE,03/01/2025,5.2,0.0, ,33.4,17.8,79,31,0.00,28.79
GUNNEDAH RESOURCE CENTRE,04/01/2025,5.3,0.0, ,35.1,17.6,79,18,0.00,30.30
GUNNEDAH RESOURCE CENTRE,05/01/2025,5.4,0.0, ,36.6,19.8,63,22,0.00,30.64
GUNNEDAH RESOURCE CENTRE,06/01/2025,5.5,0.0, ,37.6,19.6,66,21,0.00,30.93
GUNNEDAH RESOURCE CENTRE,07/01/2025,1.8,0.0, ,23.3,22.1,96,43,0.00,7.79
GUNNEDAH RESOURCE CENTRE,08/01/2025,3.2,12.2, ,25.9,16.2,94,54,0.00,17.28
GUNNEDAH RESOURCE CENTRE,09/01/2025,5.1,6.0, ,30.3,15.0,91,38,0.00,29.58
GUNNEDAH RESOURCE CENTRE,10/01/2025,4.7,0.0, ,33.4,18.8,83,35,0.00,24.89
GUNNEDAH RESOURCE CENTRE,11/01/2025,3.2,0.0, ,31.3,20.4,93,39,0.00,15.96
GUNNEDAH RESOURCE CENTRE,12/01/2025,5.3,3.2, ,33.1,17.4,85,30,0.00,29.99
GUNNEDAH RESOURCE CENTRE,13/01/2025,5.4,10.0, ,34.1,17.0,95,33,0.00,29.59
GUNNEDAH RESOURCE CENTRE,14/01/2025,5.7,0.2, ,36.9,20.3,80,27,0.00,30.68
GUNNEDAH RESOURCE CENTRE,15/01/2025,5.2,0.0, ,38.8,22.4,87,30,0.00,25.95
GUNNEDAH RESOURCE CENTRE,16/01/2025,5.0,17.4, ,30.2,17.6,95,29,0.00,28.67
GUNNEDAH RESOURCE CENTRE,17/01/2025, ,0.2, ,23.6,16.1, , , ,18.37
GUNNEDAH RESOURCE CENTRE,18/01/2025, ,0.2, ,28.2,17.4, , , ,26.40
GUNNEDAH RESOURCE CENTRE,19/01/2025,5.3,0.0, ,28.2,18.3,85,33,0.00,30.74
GUNNEDAH RESOURCE CENTRE,20/01/2025,4.8,0.0, ,30.9,14.0,75,18,0.00,30.21
GUNNEDAH RESOURCE CENTRE,21/01/2025,4.1,0.0, ,34.3,16.2,65,21,0.00,23.32
GUNNEDAH RESOURCE CENTRE,22/01/2025, ,0.0, , ,20.9,56,20,0.00,20.95
GUNNEDAH RESOURCE CENTRE,23/01/2025, , , ,37.3, ,76,28,0.00,27.65
GUNNEDAH RESOURCE CENTRE,24/01/2025,5.2,0.2, ,35.3,20.3,79,15,0.00,30.19
GUNNEDAH RESOURCE CENTRE,25/01/2025,5.2,0.0, ,36.3,17.7,67,22,0.00,30.03
GUNNEDAH RESOURCE CENTRE,26/01/2025,4.8,0.0, ,36.9,21.2,75,28,0.00,25.53
GUNNEDAH RESOURCE CENTRE,27/01/2025,5.4,0.0, ,37.9,24.2,72,32,0.00,27.85
GUNNEDAH RESOURCE CENTRE,28/01/2025,5.3,0.0, ,39.4,24.7,60,27,0.00,27.68
GUNNEDAH RESOURCE CENTRE,29/01/2025,5.2,0.0, ,40.9,23.5,92,23,0.00,26.34
GUNNEDAH RESOURCE CENTRE,30/01/2025,5.0,7.0, ,37.7,21.2,97,34,0.00,25.04
GUNNEDAH RESOURCE CENTRE,31/01/2025,5.0,12.4, ,33.3,20.2,95,44,0.00,26.03
Totals:,,131.5,71.6, ,,,,,, 
