'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GUNNEDAH RESOURCE CENTRE New South Wales for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GUNNEDAH RESOURCE CENTRE,01/02/2025,5.3,0.2, ,35.2,20.6,82,34,0.00,28.23
GUNNEDAH RESOURCE CENTRE,02/02/2025,5.1,0.0, ,33.9,17.7,80,25,0.00,29.40
GUNNEDAH RESOURCE CENTRE,03/02/2025,4.0,0.0, ,34.3,19.4,73,25,0.00,22.17
GUNNEDAH RESOURCE CENTRE,04/02/2025,3.5,0.0, ,32.2,22.3,65,36,0.00,18.24
GUNNEDAH RESOURCE CENTRE,05/02/2025,4.9,0.0, ,36.0,20.5,92,27,0.00,26.18
GUNNEDAH RESOURCE CENTRE,06/02/2025,4.9,3.6, ,34.8,19.4,84,32,0.00,27.11
GUNNEDAH RESOURCE CENTRE,07/02/2025,4.7,0.0, ,35.0,20.0,75,27,0.00,25.96
GUNNEDAH RESOURCE CENTRE,08/02/2025,4.8,0.0, ,35.5,20.2,72,28,0.00,26.52
GUNNEDAH RESOURCE CENTRE,09/02/2025,4.5,0.0, ,36.9,20.8,94,28,0.00,23.35
GUNNEDAH RESOURCE CENTRE,10/02/2025,2.5,5.4, ,26.8,19.1,96,61,0.00,12.15
GUNNEDAH RESOURCE CENTRE,11/02/2025,3.7,3.8, ,30.7,16.9,93,49,0.00,19.71
GUNNEDAH RESOURCE CENTRE,12/02/2025,4.5,6.8, ,29.9,19.3,85,47,0.00,25.08
GUNNEDAH RESOURCE CENTRE,13/02/2025,4.6,0.0, ,34.9,20.4,80,36,0.00,24.71
GUNNEDAH RESOURCE CENTRE,14/02/2025,3.6,0.0, ,32.8,21.0,82,39,0.00,18.35
GUNNEDAH RESOURCE CENTRE,15/02/2025,4.1,0.2, ,32.3,21.5,90,23,0.00,22.34
GUNNEDAH RESOURCE CENTRE,16/02/2025,3.9,0.0, ,26.9,14.0,51,15,0.00,27.46
GUNNEDAH RESOURCE CENTRE,17/02/2025,4.1,0.0, ,30.3,13.6,60,23,0.00,27.19
GUNNEDAH RESOURCE CENTRE,18/02/2025,3.9,0.0, ,31.9,16.0,70,28,0.00,23.60
GUNNEDAH RESOURCE CENTRE,19/02/2025,4.2,0.0, ,34.1,18.9,71,26,0.00,24.48
GUNNEDAH RESOURCE CENTRE,20/02/2025,4.2,0.0, ,32.9,20.4,75,39,0.00,22.83
GUNNEDAH RESOURCE CENTRE,21/02/2025,4.4,0.0, ,32.8,18.1,85,31,0.00,25.50
GUNNEDAH RESOURCE CENTRE,22/02/2025,4.2,0.0, ,33.3,19.7,75,25,0.00,24.77
GUNNEDAH RESOURCE CENTRE,23/02/2025,4.1,0.0, ,34.4,18.1,69,26,0.00,24.61
GUNNEDAH RESOURCE CENTRE,24/02/2025,4.3,0.0, ,37.0,20.0,58,22,0.00,25.82
GUNNEDAH RESOURCE CENTRE,25/02/2025, ,0.0, ,36.0,22.0,76,31,0.00, 
GUNNEDAH RESOURCE CENTRE,26/02/2025,4.5,0.0, ,35.9,19.4,85,29,0.00,25.39
GUNNEDAH RESOURCE CENTRE,27/02/2025,3.9,0.0, ,37.0,22.5,69,22,0.00,21.91
GUNNEDAH RESOURCE CENTRE,28/02/2025,4.2,0.0, ,37.9,21.6,59,22,0.00,24.26
Totals:,,114.6,20, ,,,,,, 
